date_mesure;02516X0071_P3-90;01446X0005_S3-91;01506X0016_P1;01474X0048_P1;01801X0010_S1;01245X0010_S1;00985X0040_S1;00592X0001_S1;01487X0001_S1;01252X0011_S1;01795X0011_S1;01807X0051_S1;00773X0002_S1;00993X0002_S1;00578X0002_S1;01198X0002_S1;01461X0012_S1;02535X0012_S1;01508X0133_S1;01192X0043_S1;00578X0043_S1;00762X0004_S1;01013X0004_S1;00766X0004_S1;00604X0224_S1;01251X0044_S1;01193X0044_S1;01017X0074_S1;00583X0005_S1;02144X0005_S1;00957X0005_S1;01515X2015_S1;01794X0035_S1;00956X0055_S1;00755X0006_S1;00608X0206_S1;01805X0036_S1;01213X0166_S1;01216X0086_S1;00776X0096_S1;01211X0037_S1;01473X0087_S1;01003X0008_S1;01756X0008_S1;00777X0008_S1;01491X0009_S1;01206X0009_S1;02527X0009_S1;00987X0009_S1;00435X0079_S1;00941X0034_S-2;01227X0038_S22;02895X0004_FE1-92;02133X0008_S1-92;01195X0200_F2;01234X0297_F2;02523X0002_S2;01768X0022_S2;00765X0124_BT2;01792X0020_PZ2;02535X0018_FE1-93;02883X0017_F3;01242X0530_FN3;00775X0099_F14;00937X0030_F4;01423X0044_F4;02135X0016_S4;02131X0018_S4;00974X0128_PZ1908;01198X0029_S8;02531X0001_F;01176X0061_F;00945X0064_F;01778X0015_F;02503X0011_FO;01508X0100_P;01493X0001_P;02152X0051_P;01227X0022_P;00732X0032_P;01776X0023_P;01803X0004_P;02101X0044_P;00581X0015_P;01011X0045_P;01168X0065_P;01232X0006_P;00445X0006_P;00606X0086_P;00441X0007_P;01186X0007_P;02473X0037_P;00588X0037_P;01465X0067_P;01004X0019_P;02523X0029_P;00582X0069_P;BSS003UJSA_X;BSS003VFXE_X;BSS003UJOK_X;BSS003VEVM_X;BSS003VEUS_X;BSS003UKJY_X;BSS003VETY_X;BSS003VFXY_X;00955X0066_PZ
2009-09-06;-7.5042857142857144;-7.087142857142857;-68.815;-7.917142857142857;-19.262857142857143;-39.47714285714286;-34.085;-54.71142857142858;-24.945714285714285;-20.38;-19.408571428571427;-7.17;-36.65714285714286;-88.55;-50.28285714285715;-22.094285714285714;-26.326666666666668;-32.145714285714284;-2.0025;-19.937142857142856;-2.9614285714285713;-32.67285714285715;-44.00571428571429;-68.11;-62.06;-68.8157142857143;-12.68;-19.76571428571429;-62.294285714285714;-27.52;-6.532857142857144;-61.63428571428572;-32.371428571428574;-6.435714285714285;-83.99285714285715;-37.574285714285715;-15.078333333333333;-3.49;-19.832857142857144;-2.037142857142857;-13.01;-27.482857142857142;-56.222857142857144;-6.075714285714286;-39.56857142857143;-41.31857142857143;-8.35;-8.208571428571428;-64.87285714285714;-59.84571428571429;-1.7557142857142856;-17.722857142857144;-1.7757142857142856;-17.34;-2.5285714285714285;14.844285714285714;-8.90857142857143;-4.79;-3.4085714285714284;-28.055714285714284;-2.202857142857143;-13.959999999999999;-6.122857142857143;-2.025714285714286;-2.1471428571428572;-7.4628571428571435;-13.834285714285715;-9.782857142857143;-3.3125;-2.052857142857143;-60.11;-2.947142857142857;-1.28;-3.605714285714286;-15.815714285714288;-31.627499999999998;-41.93571428571429;-33.84571428571429;-16.72714285714286;-2.6042857142857145;-5.765714285714286;-63.94571428571429;-10.264285714285714;-65.08;-4.768571428571429;-4.075714285714286;-46.75142857142857;-46.85142857142857;-28.564285714285713;-56.42;-2.4085714285714284;-7.3914285714285715;-25.787142857142857;-14.26;-2.065714285714286;-11.662857142857144;-4.814285714285715;-3.184285714285714;-1.3357142857142859;-4.6257142857142854;-2.2471428571428573;-2.301428571428571;-1.8485714285714285;-2.0557142857142856;-8.814285714285715;-28.42
2009-09-13;-7.321428571428571;-7.258571428571429;-68.83;-7.9628571428571435;-19.27857142857143;-39.56285714285714;-34.11;-54.75;-24.95;-20.38;-19.575714285714287;-7.1814285714285715;-36.940000000000005;-88.5675;-50.42285714285714;-22.264285714285712;-26.457142857142856;-32.17285714285714;-2.005;-20.071428571428573;-2.98;-32.79;-44.098571428571425;-68.2825;-62.184285714285714;-68.83571428571429;-12.605;-19.80857142857143;-62.41428571428572;-27.533749999999998;-6.5928571428571425;-61.79714285714285;-32.401428571428575;-6.525714285714286;-84.01428571428572;-37.64142857142857;-15.146666666666667;-3.595;-19.735714285714288;-2.052857142857143;-13.0525;-27.509999999999998;-56.24285714285714;-6.160000000000001;-39.667142857142856;-41.31428571428571;-8.3625;-8.225714285714286;-64.88857142857144;-59.88285714285714;-1.7685714285714287;-17.73;-1.7671428571428573;-17.46857142857143;-2.5799999999999996;14.978571428571428;-8.945714285714287;-4.814285714285715;-3.5357142857142856;-28.07857142857143;-2.207142857142857;-14.02;-5.948571428571428;-2.03;-2.152857142857143;-7.451428571428572;-13.852857142857143;-9.894285714285715;-3.3333333333333335;-2.1;-60.115;-2.9828571428571427;-1.28;-3.6185714285714283;-15.891428571428571;-31.625;-41.94428571428572;-33.86;-16.777142857142856;-2.6785714285714284;-5.867142857142857;-63.99571428571429;-10.272857142857143;-65.19749999999999;-4.797142857142857;-4.107142857142857;-46.77571428571429;-47.13857142857143;-28.824285714285715;-56.43333333333334;-2.4757142857142855;-7.422857142857143;-25.948571428571427;-14.301428571428572;-2.062857142857143;-11.671428571428573;-4.8742857142857146;-3.54;-1.3628571428571428;-4.78;-2.322857142857143;-2.3685714285714283;-1.9714285714285713;-2.09;-8.957142857142857;-28.405714285714286
2009-09-20;-7.341428571428572;-7.291428571428571;-68.845;-7.99;-19.28;-39.67142857142857;-34.135;-54.798571428571435;-24.951428571428572;-20.80857142857143;-19.632857142857144;-7.19;-37.24571428571429;-88.58500000000001;-50.53142857142858;-22.287142857142857;-26.405714285714286;-32.19571428571429;-2.0075;-20.09;-2.9985714285714287;-32.91428571428572;-44.17714285714286;-68.455;-62.29714285714285;-68.84857142857143;-12.530000000000001;-19.86285714285714;-62.49428571428571;-27.5475;-6.638571428571429;-61.74714285714286;-32.424285714285716;-6.605714285714286;-84.04428571428572;-37.68857142857143;-15.215;-3.7;-19.771428571428572;-2.067142857142857;-13.094999999999999;-27.52285714285714;-56.27285714285715;-6.208571428571429;-39.794285714285714;-41.371428571428574;-8.375;-8.241428571428571;-64.89660714285715;-59.910000000000004;-1.7385714285714287;-17.73;-1.7657142857142856;-17.57857142857143;-2.575714285714286;15.144285714285715;-8.97857142857143;-4.839999999999999;-3.585714285714286;-28.05857142857143;-2.2114285714285713;-14.01;-6.142857142857143;-2.072857142857143;-2.1257142857142854;-7.521428571428571;-13.858571428571427;-9.879999999999999;-3.354166666666667;-2.077142857142857;-60.120000000000005;-2.9857142857142853;-1.28;-3.6314285714285717;-15.915714285714285;-31.622500000000002;-41.941428571428574;-33.88285714285714;-16.807142857142857;-2.7214285714285715;-5.967142857142858;-63.98142857142857;-10.28;-65.315;-4.822857142857144;-4.118571428571429;-46.80142857142857;-47.41428571428572;-29.07857142857143;-56.446666666666665;-2.4828571428571427;-7.457142857142857;-26.104285714285712;-14.322857142857144;-2.0714285714285716;-11.694285714285714;-4.937142857142858;-3.6957142857142857;-1.3714285714285714;-4.771428571428571;-2.3985714285714286;-2.392857142857143;-2.087142857142857;-2.111428571428571;-9.041428571428572;-28.391428571428573
2009-09-27;-7.365714285714286;-7.437142857142858;-68.86;-8.027142857142858;-19.254285714285714;-39.75857142857143;-34.16;-54.82857142857143;-24.955714285714286;-21.38;-19.759999999999998;-7.19;-37.49857142857143;-88.6025;-50.645714285714284;-22.437142857142856;-26.495714285714286;-32.22142857142857;-2.01;-20.09;-3.0285714285714285;-33.04857142857143;-44.26142857142857;-68.6275;-62.40714285714286;-68.87;-12.455;-19.93;-62.60142857142858;-27.56125;-6.6899999999999995;-61.879999999999995;-32.45285714285715;-6.68;-84.05999999999999;-37.74714285714286;-15.283333333333333;-3.805;-18.494285714285716;-2.084285714285714;-13.1375;-27.54;-56.30714285714286;-6.291428571428571;-39.962857142857146;-41.33;-8.3875;-8.254285714285714;-64.90464285714286;-59.965714285714284;-1.747142857142857;-17.73;-1.76;-17.69;-2.61;15.337142857142856;-9.018571428571429;-4.868571428571428;-3.0928571428571425;-28.099999999999998;-2.21;-14.082857142857142;-5.928571428571429;-2.1185714285714288;-2.162857142857143;-7.435714285714286;-13.87142857142857;-10.01;-3.375;-2.077142857142857;-60.125;-3.0271428571428567;-1.28;-3.6314285714285717;-16.001428571428573;-31.62;-41.95;-33.90857142857143;-16.861428571428572;-2.7785714285714285;-6.0371428571428565;-64.07142857142857;-10.288571428571428;-65.4325;-4.845714285714286;-4.13;-46.81;-47.66857142857143;-29.33285714285714;-56.46;-2.5385714285714287;-7.451428571428572;-26.268571428571427;-14.342857142857143;-2.08;-11.702857142857143;-5.008571428571429;-3.8728571428571428;-1.3842857142857141;-4.927142857142857;-2.494285714285714;-2.467142857142857;-2.192857142857143;-2.1342857142857143;-9.141428571428571;-28.377142857142857
2009-10-04;-7.382857142857143;-7.498571428571429;-68.86;-8.06;-19.207142857142856;-39.84571428571429;-34.175;-54.854285714285716;-24.952857142857145;-21.38;-19.818571428571428;-7.19;-37.74428571428571;-88.62;-50.769999999999996;-22.482857142857142;-26.474285714285713;-32.24142857142857;-1.9449999999999998;-20.09;-3.0814285714285714;-33.16428571428572;-44.34571428571429;-68.8;-62.50571428571429;-68.88;-12.38;-19.987142857142857;-62.69714285714286;-27.575;-6.732857142857143;-61.87428571428571;-32.44714285714286;-6.75;-84.08285714285715;-37.798571428571435;-15.34;-3.91;-19.744285714285716;-2.1;-13.18;-27.538571428571426;-56.34428571428572;-6.3585714285714285;-40.18;-41.394285714285715;-8.4;-8.264285714285714;-64.91267857142857;-60.0;-1.76;-17.73;-1.762857142857143;-17.785714285714285;-2.6457142857142855;15.477142857142857;-9.052857142857144;-4.882857142857143;-3.312857142857143;-28.085714285714285;-2.2157142857142857;-14.087142857142856;-6.235714285714286;-2.1700000000000004;-2.1671428571428573;-7.502857142857144;-13.884285714285713;-9.959999999999999;-3.3958333333333335;-2.1042857142857145;-60.13;-3.0185714285714282;-1.467142857142857;-3.642857142857143;-16.01857142857143;-31.595;-41.95;-33.94428571428572;-16.889999999999997;-2.84;-6.1000000000000005;-64.08714285714287;-10.307142857142859;-65.55;-4.868571428571428;-4.147142857142858;-46.81;-47.88142857142857;-29.574285714285715;-56.51571428571429;-2.5942857142857143;-7.501428571428571;-26.41714285714286;-14.370000000000001;-2.0942857142857143;-11.698571428571428;-5.067142857142857;-3.9771428571428573;-1.3714285714285714;-4.808571428571428;-2.57;-2.4842857142857144;-2.2885714285714287;-2.158571428571429;-9.204285714285716;-28.362857142857145
2009-10-11;-7.402857142857143;-7.535714285714286;-68.86;-8.065714285714286;-19.18;-39.89714285714285;-34.19;-54.86;-24.964285714285715;-21.391428571428573;-19.282857142857143;-7.152857142857143;-37.88857142857143;-88.63333333333334;-50.87571428571429;-22.504285714285714;-26.381428571428575;-32.25857142857143;-1.88;-20.09;-3.0614285714285714;-33.277142857142856;-44.40428571428571;-68.98666666666666;-62.57571428571429;-68.9;-12.176666666666668;-20.042857142857144;-62.784285714285716;-27.588749999999997;-6.742857142857143;-61.848571428571425;-32.480000000000004;-6.801428571428572;-84.10285714285715;-37.839999999999996;-15.315714285714288;-3.97;-19.84;-2.1042857142857145;-13.19;-27.548571428571428;-56.37714285714286;-6.374285714285714;-40.33857142857143;-41.38142857142857;-8.453333333333333;-8.274285714285714;-64.9207142857143;-59.99285714285714;-1.7285714285714284;-17.73;-1.7242857142857144;-17.865714285714287;-2.62;15.678571428571429;-9.078571428571427;-4.878571428571428;-3.204285714285714;-28.05857142857143;-2.1785714285714284;-14.105714285714285;-5.832857142857143;-2.217142857142857;-2.1271428571428572;-7.517142857142857;-13.891428571428573;-9.90857142857143;-3.416666666666667;-1.9485714285714286;-60.10666666666667;-3.0414285714285714;-1.5785714285714287;-3.6357142857142857;-16.044285714285714;-31.57;-41.95;-33.96714285714285;-16.94142857142857;-2.8200000000000003;-6.13;-64.07285714285715;-10.302857142857144;-65.6725;-4.88;-4.13;-46.81571428571429;-48.08714285714286;-29.787142857142857;-56.58285714285715;-1.9728571428571429;-7.51;-26.557142857142857;-14.395714285714288;-2.085714285714286;-11.695714285714287;-5.090000000000001;-3.9914285714285715;-1.3242857142857143;-4.72;-2.577142857142857;-2.4914285714285715;-2.3628571428571425;-2.1357142857142857;-9.227142857142857;-28.34857142857143
2009-10-18;-7.424285714285714;-7.675714285714286;-68.86;-8.088571428571429;-19.177142857142858;-39.98571428571429;-34.205;-54.88;-24.972857142857144;-21.482857142857142;-19.832857142857144;-7.138571428571429;-38.0075;-88.64666666666666;-51.01714285714286;-22.631428571428575;-26.534285714285716;-32.27285714285715;-1.815;-20.09;-3.067142857142857;-33.34142857142857;-44.49;-69.17333333333333;-62.68571428571429;-68.92142857142858;-11.973333333333333;-20.101428571428574;-62.90571428571429;-27.6025;-6.7700000000000005;-62.05857142857143;-32.50571428571429;-6.817142857142857;-84.12857142857142;-37.892857142857146;-15.267142857142858;-4.03;-19.762857142857143;-2.1042857142857145;-13.200000000000001;-27.571428571428573;-56.434285714285714;-6.435714285714285;-40.43142857142857;-41.371428571428574;-8.506666666666668;-8.288571428571428;-64.92875000000001;-60.01285714285715;-1.6928571428571428;-17.73;-1.7057142857142857;-17.94142857142857;-2.6385714285714283;15.774285714285714;-9.104285714285714;-4.88;-3.2271428571428573;-28.08142857142857;-2.177142857142857;-14.172857142857142;-5.992857142857143;-2.25;-2.0757142857142856;-7.522857142857143;-13.897142857142857;-10.221428571428572;-3.4375;-1.8914285714285715;-60.083333333333336;-3.042857142857143;-1.5714285714285714;-3.6342857142857143;-16.10571428571429;-31.545;-41.95;-33.98571428571429;-16.98;-2.8728571428571428;-6.117142857142857;-64.11571428571429;-10.304285714285713;-65.795;-4.902857142857143;-4.098571428571429;-46.82714285714285;-48.27428571428572;-29.97142857142857;-56.59571428571429;-2.142857142857143;-7.51;-26.69142857142857;-14.442857142857141;-2.087142857142857;-11.705714285714285;-5.155714285714287;-4.03;-1.2871428571428571;-5.551428571428572;-2.584285714285714;-2.52;-2.424285714285714;-2.14;-9.234285714285715;-28.334285714285716
2009-10-25;-7.425714285714285;-7.624285714285714;-68.86;-8.09;-19.207142857142856;-40.06571428571429;-34.22;-54.9;-24.964285714285715;-21.571428571428573;-19.201428571428572;-7.138571428571429;-38.092666666666666;-88.66;-51.13285714285714;-22.575714285714287;-26.349999999999998;-32.27428571428572;-1.75;-20.09;-3.0685714285714285;-33.465714285714284;-44.52571428571429;-69.36;-62.76714285714286;-68.92142857142858;-11.77;-20.147142857142857;-62.964285714285715;-27.61625;-6.797142857142857;-61.90571428571429;-32.52;-6.835714285714286;-84.15428571428572;-37.96142857142858;-15.165;-4.09;-19.818571428571428;-2.1157142857142857;-13.21;-27.587142857142858;-56.455714285714286;-6.475714285714285;-40.521428571428565;-41.457142857142856;-8.56;-8.291428571428572;-64.93678571428572;-60.01428571428572;-1.7185714285714284;-17.73;-1.6928571428571428;-18.018571428571427;-2.63;16.027142857142856;-9.134285714285715;-4.874285714285714;-3.1714285714285713;-28.062857142857144;-2.164285714285714;-14.104285714285714;-5.851428571428571;-2.222857142857143;-2.072857142857143;-7.472857142857143;-13.894285714285715;-9.887142857142859;-3.4583333333333335;-1.8542857142857143;-60.06;-3.012857142857143;-1.5742857142857143;-3.6257142857142854;-16.08142857142857;-31.52;-41.941428571428574;-34.005714285714284;-17.017142857142858;-2.9071428571428575;-5.8342857142857145;-64.05285714285715;-10.33;-65.9175;-4.914285714285714;-4.092857142857143;-46.83571428571429;-48.41142857142857;-30.155714285714286;-56.58;-2.2471428571428573;-7.445833333333333;-26.837142857142855;-14.467142857142859;-2.0828571428571427;-11.725714285714286;-5.218571428571429;-4.035714285714286;-1.2357142857142858;-4.5928571428571425;-2.5928571428571425;-2.48;-2.4614285714285713;-2.1414285714285715;-9.20857142857143;-28.32
2009-11-01;-7.427142857142857;-7.768571428571429;-68.92166666666667;-8.111428571428572;-19.207142857142856;-40.13285714285714;-34.235;-54.90571428571428;-24.97142857142857;-21.665714285714284;-19.74857142857143;-7.13;-38.17783333333333;-88.6725;-51.30142857142857;-22.764285714285712;-26.481428571428573;-32.26571428571429;-1.78;-20.569999999999997;-3.0799999999999996;-33.59142857142857;-44.598571428571425;-69.45375;-62.87428571428571;-68.94;-11.751999999999999;-20.20285714285714;-63.08285714285715;-27.63;-6.851428571428571;-62.09285714285715;-32.54571428571428;-6.876;-84.17857142857143;-38.019999999999996;-15.13825;-4.016;-18.857142857142858;-2.1142857142857143;-13.218;-27.618571428571432;-56.51428571428572;-6.531428571428571;-40.67714285714286;-41.394285714285715;-8.51;-8.305714285714286;-64.94482142857143;-60.06285714285714;-1.6914285714285715;-17.73;-1.687142857142857;-18.072857142857142;-2.6685714285714286;16.055714285714284;-9.144285714285715;-4.865714285714286;-3.165714285714286;-28.082857142857144;-2.1571428571428575;-14.168571428571429;-6.094285714285713;-2.2471428571428573;-2.084285714285714;-7.481428571428572;-13.9;-9.948571428571428;-3.288452380952381;-1.8928571428571428;-60.066;-3.0585714285714287;-1.5714285714285714;-3.6271428571428572;-16.17142857142857;-31.556666666666665;-41.95;-34.03142857142857;-17.057142857142857;-2.947142857142857;-5.102857142857142;-64.13857142857144;-10.35142857142857;-66.04;-4.934285714285714;-4.098571428571429;-46.86;-48.48571428571428;-30.34;-56.60333333333333;-2.2800000000000002;-7.381666666666667;-26.987142857142857;-14.495714285714286;-2.077142857142857;-11.72;-5.3;-4.0842857142857145;-1.2157142857142857;-4.45;-2.6014285714285714;-2.531428571428571;-2.5728571428571425;-2.1257142857142854;-9.217142857142859;-28.228
2009-11-08;-7.392857142857143;-7.585714285714286;-68.98333333333333;-8.221428571428572;-19.19142857142857;-40.07;-34.25;-54.9;-24.95;-21.747142857142858;-17.694285714285716;-7.0842857142857145;-38.263;-88.685;-51.36571428571428;-22.68285714285714;-26.28;-32.244285714285716;-1.7514285714285713;-20.648571428571426;-2.8414285714285716;-33.59571428571429;-44.65714285714286;-69.5475;-62.94714285714286;-68.93285714285715;-11.734;-20.237142857142857;-63.121428571428574;-27.623124999999998;-6.828571428571428;-61.94;-32.55142857142857;-6.812857142857142;-83.77428571428571;-38.05142857142857;-15.1115;-3.942;-18.11;-2.06;-13.226;-27.618571428571432;-56.52285714285715;-6.131428571428572;-40.83285714285715;-41.49285714285714;-8.46;-8.305714285714286;-64.95285714285714;-60.08714285714286;-1.5285714285714285;-17.71857142857143;-1.6485714285714284;-18.082857142857144;-2.5942857142857143;16.20714285714286;-9.14;-4.741428571428571;-2.384285714285714;-28.052857142857142;-2.1114285714285717;-14.117142857142856;-5.7057142857142855;-2.1785714285714284;-2.0014285714285713;-7.494285714285715;-13.885714285714286;-9.76142857142857;-3.1185714285714283;-1.7914285714285714;-60.072;-3.001428571428572;-1.4614285714285715;-3.5714285714285716;-16.142857142857142;-31.593333333333334;-41.93285714285714;-34.04;-17.080000000000002;-2.825714285714286;-4.722857142857143;-64.03571428571429;-10.180000000000001;-66.12791666666666;-4.882857142857143;-4.018571428571429;-46.84571428571429;-48.48142857142857;-30.44;-56.61;-1.5057142857142856;-7.3175;-27.0;-14.501428571428573;-2.007142857142857;-11.794285714285715;-5.195714285714286;-3.1257142857142854;-1.0728571428571427;-4.214285714285714;-2.3242857142857143;-2.334285714285714;-2.152857142857143;-2.0357142857142856;-9.125714285714285;-28.136
