date_mesure;05005X0131_CG-21;04728X0050_F1;05031X0072_F1;05012X0024_F1;05822X0024_F1;05266X0084_F1;04706X0067_F1;05013X0001_SM1;05213X0018_P1;04661X0002_S1;03302X1012_S1;02961X1003_S1;05794X0021_PZ1;06252X0063_PZ1;04973X0005_PZ1;05245X0047_PZ1;05277X1008_PZ1;05811X0159_F2;05553X0009_S2;05573X0084_F.6;04698X0112_F6;05011X1051_S6;05295X0025_Q5-17;05285X0374_P7;05487X0126_P209;04103X0065_S9;06024X0045_PZ9;04713X0137_F.REC;04103X0022_FC;03676X0003_FORAGE;04714X0033_FORAGE;05026X0013_F;04111X0023_F;05818X0073_F;02962X1004_F;05025X0138_F;04992X0011_SONDAG;04398X0002_SONDAG;05765X0013_SONDAG;04697X0004_SONDAG;05002X0114_SONDAG;04051X0016_SONDAG;03708X0007_SONDAG;05271X0017_SONDAG;04704X1009_SONDAG;04702X0019_SONDAG;04014X0010_P;04738X0150_P;04333X0011_P;04987X0022_P;03318X0043_P;06241X0016_P;05487X0017_P;05537X0127_P;05772X0037_P;04022X0058_P;06003X0088_P;06234X0098_P;03304X0039_P;06231X0139_P;05488X0059_P;04434X0089_P;04994X0204_S;04642X0007_S;04332X0008_S;04438X0018_S;05264X0029_S;04994X0229_S;04644X0002_PUITS;04643X0012_PUITS;02967X0006_PUITS;04354X0026_PUITS;03673X0017_PUITS;03686X0038_PUITS;05797X0145_FPZ;04994X0528_FPZ
2010-05-02;-10.918571428571429;-1.5285714285714285;-15.507142857142856;-11.33;-1.342857142857143;-20.09142857142857;-1.9685714285714284;-4.231428571428571;-7.158571428571428;-3.7685714285714282;-30.35571428571429;-22.018571428571427;-10.545714285714286;-7.1242857142857146;-4.1085714285714285;-11.85;-14.39857142857143;-3.5942857142857143;-11.102857142857143;-5.9071428571428575;-24.104285714285712;-2.894285714285714;-3.0;-4.881428571428572;-2.2514285714285713;-42.80571428571428;-4.605714285714286;-2.16;-2.705714285714286;-4.671428571428572;-19.085;-14.194285714285714;-19.59857142857143;-99.86428571428571;-32.30428571428571;-3.442857142857143;-16.23857142857143;-23.558750000000003;-4.778571428571429;-9.87857142857143;0.7142857142857143;-22.94;-4.867142857142857;-4.128571428571429;-2.26;-4.711428571428571;-15.897142857142857;-2.447142857142857;-25.29285714285714;-2.8885714285714283;-33.51571428571429;-4.031428571428571;-2.02;-2.8385714285714285;-1.7657142857142856;-25.87;-5.18;-4.797142857142857;-23.648571428571426;-6.37;-12.37857142857143;-1.1385714285714286;-13.48;-33.30714285714286;-3.3757142857142854;-30.66;-5.88;-17.964285714285715;-21.169999999999998;-20.905714285714286;-47.92;-3.59;-32.79714285714285;-8.864285714285714;-4.982857142857143;-20.71
2010-05-09;-10.92;-1.4642857142857142;-15.56857142857143;-11.345714285714285;-1.3;-20.38714285714286;-1.9985714285714287;-4.221428571428571;-7.18;-3.435714285714286;-30.35;-22.397142857142857;-10.540000000000001;-6.9399999999999995;-4.1085714285714285;-11.997142857142858;-14.422857142857142;-3.6357142857142857;-11.102857142857143;-6.012857142857143;-24.555714285714284;-3.0485714285714285;-3.0100000000000002;-5.03;-2.1057142857142854;-42.784285714285716;-4.6571428571428575;-2.16;-2.7642857142857147;-4.684285714285714;-19.055714285714284;-14.274285714285714;-19.65285714285714;-98.78428571428572;-32.24142857142857;-3.512857142857143;-16.597142857142856;-24.334500000000002;-4.654285714285714;-10.115714285714287;0.7242857142857143;-22.945714285714285;-4.905714285714287;-4.1;-2.292857142857143;-4.95;-15.978571428571428;-2.6314285714285717;-25.361428571428572;-3.097142857142857;-33.95285714285714;-3.9885714285714284;-1.8800000000000001;-2.8642857142857143;-1.7214285714285715;-25.87;-5.3;-2.5028571428571427;-23.640000000000004;-6.37;-12.277142857142858;-1.14;-13.48;-33.29571428571428;-3.467142857142857;-30.837142857142858;-5.988571428571428;-17.95714285714286;-21.204285714285714;-22.268571428571427;-47.925714285714285;-3.3814285714285712;-32.83857142857143;-8.867142857142856;-5.024285714285715;-20.568571428571428
2010-05-16;-10.921428571428573;-1.5214285714285716;-15.290000000000001;-11.260000000000002;-1.292857142857143;-20.614285714285717;-1.987142857142857;-4.095714285714286;-7.090000000000001;-3.38;-30.354285714285716;-22.759999999999998;-10.534285714285714;-6.758571428571429;-3.6028571428571428;-11.924285714285714;-14.49;-3.654285714285714;-11.125714285714285;-6.085714285714286;-23.78857142857143;-3.108571428571428;-2.9285714285714284;-5.091428571428572;-1.8342857142857143;-42.82;-4.74;-2.16;-2.7542857142857144;-4.684285714285714;-19.06142857142857;-13.847142857142858;-19.447142857142858;-92.38;-32.30142857142857;-3.5228571428571427;-16.27285714285714;-25.11025;-4.042857142857143;-9.438571428571427;0.7414285714285713;-23.01142857142857;-4.927142857142857;-4.087142857142857;-2.294285714285714;-5.2299999999999995;-16.13142857142857;-2.1714285714285713;-25.52285714285714;-2.7871428571428574;-34.244285714285716;-3.904285714285714;-1.6214285714285714;-2.8757142857142854;-1.4785714285714284;-25.87;-5.3500000000000005;-1.0842857142857143;-23.642857142857142;-6.361428571428571;-11.935714285714285;-1.032857142857143;-13.487142857142857;-33.31285714285714;-3.537142857142857;-30.39428571428571;-6.124285714285714;-17.935714285714287;-21.325714285714287;-23.36285714285714;-47.93142857142857;-3.4014285714285712;-32.88285714285714;-8.825714285714286;-5.001428571428571;-20.415714285714284
2010-05-23;-10.957142857142857;-1.602857142857143;-15.437142857142858;-11.362857142857141;-1.3442857142857143;-20.794285714285714;-2.0471428571428567;-4.261428571428572;-7.142857142857143;-3.737142857142857;-30.388571428571428;-23.16857142857143;-10.577142857142858;-7.0442857142857145;-3.794285714285714;-11.772857142857143;-14.604285714285714;-3.692857142857143;-11.161428571428571;-6.151428571428572;-23.617142857142856;-3.0714285714285716;-2.988571428571429;-5.048571428571428;-2.042857142857143;-42.89714285714285;-4.894285714285714;-2.16;-2.8099999999999996;-4.688571428571429;-19.118571428571425;-14.462857142857143;-19.424285714285713;-96.80285714285715;-32.387142857142855;-3.544285714285714;-16.44142857142857;-25.886000000000003;-4.118571428571428;-9.645714285714286;0.8014285714285715;-23.18857142857143;-4.985714285714286;-4.117142857142857;-2.412857142857143;-5.525714285714286;-16.354285714285716;-2.2528571428571427;-25.648571428571426;-3.1057142857142854;-34.46714285714285;-4.155714285714286;-1.8257142857142858;-2.8742857142857146;-1.7571428571428573;-25.87;-5.481428571428571;-2.2742857142857145;-23.669999999999998;-6.382857142857143;-11.944285714285714;-1.1614285714285713;-13.5;-33.35;-3.5685714285714285;-30.37857142857143;-6.274285714285715;-17.93285714285714;-21.51142857142857;-24.33142857142857;-47.94285714285714;-3.718571428571429;-32.931428571428576;-8.725714285714286;-5.068571428571429;-20.5
2010-05-30;-10.962857142857144;-1.512857142857143;-15.724285714285713;-11.43857142857143;-1.4042857142857144;-20.94142857142857;-2.1414285714285715;-4.385714285714286;-7.222857142857143;-3.7800000000000002;-30.47;-23.245714285714286;-10.62142857142857;-7.355714285714286;-4.138571428571429;-11.817142857142857;-14.698571428571428;-3.7271428571428573;-11.154285714285715;-6.227142857142858;-24.03857142857143;-2.9;-3.0714285714285716;-5.114285714285714;-2.177142857142857;-42.84142857142857;-5.0128571428571425;-2.16;-2.88;-4.724285714285714;-19.05;-14.81857142857143;-19.632857142857144;-99.05571428571429;-32.31285714285714;-3.6185714285714283;-16.7;-26.49857142857143;-4.521428571428571;-9.814285714285715;0.8357142857142856;-23.27857142857143;-5.022857142857142;-4.101428571428571;-2.59;-5.812857142857142;-16.495714285714286;-2.632857142857143;-25.697142857142858;-3.3685714285714283;-34.64142857142857;-4.208571428571429;-1.9142857142857141;-2.88;-1.7228571428571429;-25.845714285714283;-5.5685714285714285;-2.4499999999999997;-23.669999999999998;-6.394285714285714;-12.144285714285715;-1.3414285714285714;-13.515714285714285;-33.31285714285714;-3.5599999999999996;-29.974285714285713;-6.375714285714286;-17.951428571428572;-21.674285714285713;-25.21142857142857;-47.957142857142856;-3.71;-32.94;-8.47;-5.101428571428571;-20.68
2010-06-06;-10.998571428571427;-1.497142857142857;-15.664285714285715;-11.417142857142858;-1.2900000000000003;-21.095714285714287;-2.197142857142857;-4.372857142857143;-7.24;-3.595714285714286;-30.524285714285718;-21.447142857142858;-10.647142857142857;-7.461428571428571;-4.430000000000001;-10.865714285714287;-14.78;-3.7399999999999998;-11.174285714285714;-6.251428571428571;-25.132857142857144;-2.9200000000000004;-2.8657142857142857;-5.185714285714286;-2.2342857142857144;-42.855714285714285;-5.1085714285714285;-2.15;-2.9285714285714284;-4.725714285714285;-19.06;-14.482857142857142;-19.64428571428571;-94.28142857142858;-32.347142857142856;-3.64;-17.080000000000002;-26.942857142857143;-4.747142857142856;-10.12857142857143;0.8357142857142856;-23.405714285714286;-5.018571428571428;-4.114285714285715;-2.704285714285714;-6.105714285714286;-16.532857142857143;-2.7199999999999998;-25.76571428571429;-3.545714285714286;-34.785714285714285;-4.154285714285715;-1.9642857142857142;-2.875;-1.6071428571428572;-25.84;-5.637142857142857;-1.3514285714285716;-23.678571428571427;-6.408571428571428;-12.221428571428572;-1.2128571428571429;-13.534285714285714;-33.33;-3.4857142857142853;-28.63714285714286;-6.518571428571429;-17.985714285714284;-21.889999999999997;-26.084285714285716;-47.980000000000004;-3.7314285714285718;-33.0;-8.37142857142857;-5.1414285714285715;-20.752857142857145
2010-06-13;-11.032857142857141;-1.3342857142857143;-15.715714285714286;-11.415714285714285;-1.3371428571428574;-21.21857142857143;-2.1942857142857144;-4.182857142857143;-7.097142857142857;-3.4114285714285715;-30.56142857142857;-20.925714285714285;-10.661428571428571;-7.755714285714285;-4.525714285714286;-10.698571428571428;-14.85;-3.7514285714285713;-11.182857142857143;-6.251428571428571;-25.268571428571427;-2.7142857142857144;-2.915714285714286;-5.181428571428571;-2.084285714285714;-42.83571428571429;-5.207142857142857;-2.15;-2.955714285714286;-4.695714285714286;-19.034285714285716;-14.205714285714285;-19.69857142857143;-98.16285714285713;-32.32;-3.63;-17.34714285714286;-26.925714285714285;-4.687142857142858;-10.198571428571428;0.7957142857142857;-23.37857142857143;-5.021428571428571;-4.087142857142857;-2.382857142857143;-6.371428571428572;-16.195714285714285;-2.8685714285714283;-25.88;-3.1757142857142857;-34.887142857142855;-4.238571428571428;-1.8671428571428572;-2.8744444444444444;-1.4271428571428573;-25.84;-5.687142857142858;-2.4071428571428575;-23.694285714285716;-6.425714285714285;-12.207142857142857;-1.3385714285714287;-13.555714285714286;-33.30285714285714;-3.3957142857142855;-28.02857142857143;-6.645714285714285;-18.015714285714285;-22.085714285714285;-26.845714285714287;-48.01285714285715;-3.6485714285714286;-33.08428571428571;-8.385714285714286;-5.161428571428572;-20.654285714285713
2010-06-20;-11.018571428571429;-1.3542857142857143;-15.604285714285714;-11.377142857142857;-1.2985714285714285;-21.21142857142857;-2.1714285714285713;-4.027142857142858;-6.86;-3.56;-30.59714285714286;-20.990000000000002;-10.661428571428571;-7.655714285714287;-4.435714285714286;-10.401428571428571;-14.911428571428571;-3.7685714285714282;-11.2;-6.235714285714286;-24.56142857142857;-2.62;-2.7714285714285714;-5.17;-2.0385714285714287;-42.86285714285714;-5.231428571428571;-2.15;-2.9614285714285713;-4.707142857142857;-19.034285714285716;-13.824285714285713;-19.72714285714286;-95.83857142857143;-32.347142857142856;-3.5714285714285716;-17.174285714285713;-26.99857142857143;-4.341428571428572;-9.870000000000001;0.78;-23.44;-5.0042857142857144;-4.08;-2.1885714285714286;-6.572857142857143;-16.291428571428572;-2.8485714285714288;-26.02857142857143;-2.067142857142857;-34.965714285714284;-4.251428571428571;-1.8699999999999999;-2.873888888888889;-1.195714285714286;-25.84;-5.61;-1.8571428571428572;-23.72142857142857;-6.435714285714286;-12.1;-1.1742857142857142;-13.575714285714286;-33.32285714285714;-3.494285714285714;-27.82;-6.717142857142856;-18.014285714285712;-22.314285714285713;-27.364285714285717;-48.06;-3.6471428571428572;-33.15571428571429;-8.458571428571428;-5.174285714285714;-20.514285714285712
2010-06-27;-11.025714285714285;-1.41;-15.187142857142858;-11.402857142857142;-1.3142857142857145;-21.16142857142857;-2.185714285714286;-4.225714285714286;-7.068571428571429;-3.807142857142857;-30.61;-21.42142857142857;-10.685714285714285;-7.3428571428571425;-4.37;-9.87857142857143;-14.952857142857143;-3.7857142857142856;-11.215714285714286;-5.978571428571429;-25.365714285714287;-2.775714285714286;-2.63;-5.104285714285714;-2.212857142857143;-42.89;-5.3028571428571425;-2.15;-2.934285714285714;-4.721428571428571;-19.047142857142855;-13.882857142857144;-19.72714285714286;-94.49714285714286;-32.40428571428571;-3.5042857142857144;-17.30857142857143;-27.25142857142857;-4.0042857142857144;-9.69;0.84;-23.53;-5.035714285714286;-4.098571428571428;-2.3085714285714287;-6.678571428571429;-16.534285714285712;-2.6357142857142857;-26.205714285714286;-2.0385714285714287;-35.04;-4.26;-1.997142857142857;-2.8733333333333335;-1.3414285714285714;-25.85;-5.531428571428571;-2.0142857142857142;-23.745714285714286;-6.43;-12.255714285714285;-1.3599999999999999;-13.597142857142856;-33.34428571428571;-3.5928571428571425;-28.524285714285718;-6.675714285714286;-18.0;-22.560000000000002;-27.937142857142856;-48.120000000000005;-3.7142857142857144;-33.207142857142856;-8.51142857142857;-5.1675;-20.565714285714286
2010-07-04;-11.071428571428571;-1.3985714285714284;-15.530000000000001;-11.48;-1.4142857142857144;-21.27;-2.27;-4.474285714285714;-7.188571428571429;-3.9;-30.715714285714284;-21.708571428571428;-10.75;-7.82;-4.635714285714285;-10.907142857142857;-14.977142857142857;-3.8242857142857143;-11.234285714285715;-5.965714285714285;-25.76142857142857;-2.9614285714285713;-2.96;-5.121428571428572;-2.317142857142857;-42.93142857142857;-5.441428571428572;-2.15;-3.025714285714286;-4.742857142857143;-19.051428571428573;-14.447142857142856;-19.885714285714283;-98.80857142857143;-32.44285714285714;-3.6128571428571425;-17.647142857142857;-27.40857142857143;-4.581428571428572;-10.052857142857144;0.9114285714285714;-23.55857142857143;-5.091428571428572;-4.122857142857143;-2.544285714285714;-6.8342857142857145;-16.83142857142857;-3.012857142857143;-26.400000000000002;-2.8657142857142857;-35.11714285714286;-4.4071428571428575;-2.1;-2.8885714285714283;-1.4928571428571427;-25.85;-5.648571428571429;-3.7585714285714285;-23.78142857142857;-6.46;-12.425714285714287;-1.5728571428571427;-13.634285714285713;-33.385714285714286;-3.738571428571429;-28.374285714285715;-6.7057142857142855;-18.0405;-22.794285714285714;-28.53857142857143;-48.19;-3.9085714285714284;-33.26714285714286;-8.528571428571428;-5.2006250000000005;-20.784285714285716
