date_mesure,B,A,C
2009-11-26,-0.32437686909543695,-0.7953660669395386,1.343104994683011
2009-12-03,-0.33802623377782764,-0.5718446807436492,1.2087452056585257
2009-12-10,-0.3571685177503501,-0.4977681759573307,1.239910522839738
2009-12-17,-0.3601280136993827,-0.562882764450046,1.1518815451524582
2009-12-24,-0.37530033337141644,-0.15203965111297438,1.0295814439106357
2009-12-31,-0.3704229815294651,0.1469937194110213,0.9960677155511928
2010-01-07,-0.37368894602147135,0.054552588340680296,0.921396751920638
2010-01-14,-0.36018284020793073,0.20745073044350998,0.810991192008619
2010-01-21,-0.36084599962644537,0.24749156827821334,0.8756451211077819
2010-01-28,-0.3228196053533013,0.13817028892134567,0.7886996745744779
2010-02-04,-0.3087247531404812,0.25342039204883243,0.7533284879036201
2010-02-11,-0.28805602125718105,0.28114335467712015,0.698838835079026
2010-02-18,-0.2416309358926954,0.5467985610303081,0.7560839451718675
2010-02-25,-0.2173210120822613,0.8682593414451052,0.760611002434378
2010-03-04,-0.1972963741203716,0.7691433117277381,0.7852045644511222
2010-03-11,-0.20484691527127646,0.42830788422936317,0.7141910087004196
2010-03-18,-0.19623775322420517,0.2777925147702217,0.7648234686163264
2010-03-25,-0.16344439362825608,0.46233950978893834,0.6119082084407617
2010-04-01,-0.12075796762260416,0.8029292002170134,0.6548346079985496
2010-04-08,-0.07140489578118292,0.7176259608714756,0.6648958032277111
2010-04-15,-0.06142526965242012,0.4323404620789724,0.7239956446773357
2010-04-22,-0.09752023931757944,0.21108688716191942,0.6654172754019382
2010-04-29,-0.0742571519347714,0.06350417950356897,0.6799685893736389
2010-05-06,-0.03385352635944444,0.5056279978352317,0.6369086095260227
2010-05-13,0.0027254154803141306,0.7456196222443334,0.5965244356688745
2010-05-20,0.009759855535619977,0.4345838096716162,0.6174772144645553
2010-05-27,0.00787252940332625,0.2791842670285405,0.5880599306283695
2010-06-03,-0.009423965574317017,0.25667141327002074,0.5524559387613968
2010-06-10,-0.011290434466530913,0.2920386787988638,0.45030909955113385
2010-06-17,0.048919884635637956,0.6436599300835522,0.43930399626542366
2010-06-24,-0.000901474724862461,0.3929903728099459,0.5983524168040837
2010-07-01,-0.11168946751315295,0.09899040550392324,0.7165906153556746
2010-07-08,-0.21977379754182358,-0.12073188200032539,0.7880330881044986
2010-07-15,-0.2845090306997956,-0.33740340681723435,0.9265728360633174
2010-07-22,-0.31140892931287173,-0.3282960426248934,0.9842430428770337
2010-07-29,-0.35372556585930937,-0.4594098264098524,1.0961228211882754
2010-08-05,-0.3858924542476501,-0.5195469194482087,1.1016373598839904
2010-08-12,-0.4472910604896385,-0.6255166682937846,1.187396050440228
2010-08-19,-0.4621058744673317,-0.6756135578019695,1.191900933013406
2010-08-26,-0.49392715916239294,-0.7487965058895117,1.2506299791297737
2010-09-02,-0.5000967899808013,-0.7511752310585158,1.1623870791026643
2010-09-09,-0.44654865004743377,-0.53602422330837,1.0852590128502584
2010-09-16,-0.4338022795020236,-0.6833090420652191,1.1496228233099561
2010-09-23,-0.42287652292006056,-0.6953103714275202,1.096336924121658
2010-09-30,-0.43068245672818045,-0.7025600514989445,1.13079457266386
2010-10-07,-0.44436689953484154,-0.6420597792836633,1.2153282771620342
2010-10-14,-0.45204353565103106,-0.7335684354613108,1.176162217964746
2010-10-21,-0.46472058016928475,-0.7087153005270159,0.9886747600996272
2010-10-28,-0.4014598229324731,-0.47534751508975037,1.0046259110376647
2010-11-04,-0.41440753042094447,-0.20649051305154945,1.080101471562249
2010-11-11,-0.37276003298215543,0.13000104527052062,0.9977766191602946
2010-11-18,-0.3465477788712454,0.5673480426362851,1.0151894688943788
2010-11-25,-0.359139278196848,0.43468115579202193,0.9615243548467427
2010-12-02,-0.31946858137382883,0.5554627708853952,0.6921975862676241
2010-12-09,-0.3324474182156122,1.060125572014627,0.8351225173333563
2010-12-16,-0.28930500904228396,0.8324666790765762,0.5462123264420783
2010-12-23,-0.27071059446181023,1.1629568966222859,0.47014436582895036
2010-12-30,-0.26655272206496516,0.9775744293315336,0.594993491055855
2011-01-06,-0.244319167969836,0.8439325362926203,0.4147917233227465
2011-01-13,-0.23190461213071467,0.902356195972831,0.462114506545055
2011-01-20,-0.20602502830114777,0.6532854486465005,0.5354302597438076
2011-01-27,-0.23286855734526885,0.4048425679583739,0.48662534403298274
2011-02-03,-0.20551001237921918,0.1813249223816988,0.5426895276475524
2011-02-10,-0.26163476203085406,0.06086002892696449,0.5848528687121152
2011-02-17,-0.18869741481300628,-0.0058220698226080355,0.5344974323916177
2011-02-24,-0.1771622045192748,0.043842332955685626,0.46321700267035326
2011-03-03,-0.15928575738773101,0.026651541106986636,0.538048908933298
2011-03-10,-0.21061564365542185,0.027450907134071865,0.5502994777756046
2011-03-17,-0.18497519504459006,0.31166841626950376,0.4940703022702043
2011-03-24,-0.2480456317675243,0.23887916025123596,0.5827637346847137
2011-03-31,-0.2575108271013795,0.23973805243300972,0.49260162199560087
2011-04-07,-0.269973413137505,0.0981109171404245,0.45601100052786564
2011-04-14,-0.3294902716092909,-0.10048334075439633,0.5706092449182899
2011-04-21,-0.37615252891835954,-0.26631454276117383,0.64370262537694
2011-04-28,-0.42875690133280264,-0.360066497581751,0.6885689086758502
2011-05-05,-0.5329799726821651,-0.5648251125298106,0.7457393819794914
2011-05-12,-0.5663661901599999,-0.6198654915839354,0.7601702701631543
2011-05-19,-0.628876780761488,-0.7550605317148368,0.896403382043511
2011-05-26,-0.6720728360759626,-0.8536642146494124,0.9111986064829005
