date_mesure,B,A,C
2006-03-23,0.46829768586956655,1.2825372954909513,1.2375057971188757
2006-03-30,0.7247621180115482,1.6219592999643095,1.7050680449139013
2006-04-06,0.831735538439614,1.3463751947238483,0.9295804686684164
2006-04-13,0.7955292015506356,1.0641733739070403,0.3764670973381948
2006-04-20,0.7093255664341849,0.8508526399282069,0.05886907385412454
2006-04-27,0.6125449118868205,0.662272730147046,-0.1431967166763886
2006-05-04,0.497114872370909,0.4775913459429331,-0.31302704141379956
2006-05-11,0.3976071755397112,0.3296567615492907,-0.4429769100444866
2006-05-18,0.31732176912204046,0.240933441306531,-0.38643540391441117
2006-05-25,0.1945303665530758,0.13885198806177268,-0.1357943778894805
2006-06-01,0.09393795703573615,0.011190071506856972,-0.29382500923390453
2006-06-08,0.01085486897451532,-0.09960022503305588,-0.5009368542835586
2006-06-15,-0.07800460317569757,-0.21115771197991762,-0.6574752623882535
2006-06-22,-0.17228092955788765,-0.3292709056490069,-0.7765841700452876
2006-06-29,-0.2674762004957014,-0.45166624564577995,-0.8698122217542847
2006-07-06,-0.3559472164582579,-0.5243842228379538,-0.9450077793672969
2006-07-13,-0.44642892462852224,-0.6347504365078155,-1.0187191514085998
2006-07-20,-0.5296370509458435,-0.7367106188856241,-1.0977001244530205
2006-07-27,-0.6034834235043419,-0.8306862881465741,-1.156054608788879
2006-08-03,-0.6938570287316922,-0.9328461102234448,-1.2067355413582364
2006-08-10,-0.762353080887523,-1.015548420187217,-1.26656907055864
2006-08-17,-0.8423895971581522,-1.0824958319716578,-1.3138268140966745
2006-08-24,-0.9111157515908223,-1.1334630249700322,-1.322067901863198
2006-08-31,-0.9865041241211273,-1.2088019113959898,-1.331411962966603
2006-09-07,-1.0519172352076027,-1.2472432593685274,-1.3744702689820767
2006-09-14,-1.066686843355476,-1.228731870579243,-1.4123051789310073
2006-09-21,-1.1115177506422067,-1.256776910097662,-1.4349100821034841
2006-09-28,-1.1576368292250443,-1.275067184870503,-1.3723209306918467
2006-10-05,-1.2026896463483225,-1.2974338918917512,-1.2266008972897715
2006-10-12,-1.2338677033684404,-1.260254835836662,-1.1022998377520414
2006-10-19,-1.2458947520993444,-1.1452932437485634,-0.782255954517936
2006-10-26,-1.2530554152666604,-0.9093620438599072,-0.2397617569406818
2006-11-02,-1.283834205830658,-0.9025069166130261,-0.46997046540790866
2006-11-09,-1.3158621424063779,-0.919475472709341,-0.6771468623881345
2006-11-16,-1.2850111848115546,-0.7970812214483269,-0.0540619984668248
2006-11-23,-1.1570295072991936,-0.22411624138708602,1.1315462644073977
2006-11-30,-0.9413208583113668,0.4296799429328557,1.5969226648801598
2006-12-07,-0.3690138000988932,1.4336464868521928,2.0479022383654066
2006-12-14,0.10321198604175452,1.4543891914835043,1.4774848890382242
2006-12-21,0.21385540320060703,1.162373962707195,0.7816716086666456
2006-12-28,0.3514266463177187,1.1926585779925925,0.8784042361584375
2007-01-04,0.649878985752315,1.4012066495681856,1.269609654658643
2007-01-11,0.7154627106615775,1.334368027810281,1.2945145282941775
2007-01-18,0.8304133413627524,1.487840225092722,1.59458250069422
2007-01-25,0.8506947222069774,1.332952000577027,1.1581587890665987
2007-02-01,0.8419710220788263,1.1025639273113597,0.578495050224291
2007-02-08,0.9224027163636104,1.2182848328764482,1.0788250886575215
2007-02-15,1.286630034383479,1.6928899584892239,1.82956235289014
2007-02-22,1.3215007174368278,1.659039873680269,1.545460122397038
2007-03-01,1.4817525136411516,1.825762606012138,1.837809679096514
2007-03-08,1.653609678246651,1.8282466995812963,1.7071435265098256
2007-03-15,1.5719088138221742,1.4000452730033974,0.8254702165858557
2007-03-22,1.460094044778138,1.1254563136878475,0.39429747858429276
2007-03-29,1.3320759628890437,0.9815804715331808,0.20143795743785975
2007-04-05,1.2233490635466326,0.8062243033712388,0.05096564398042458
2007-04-12,1.069276661583086,0.5948745880603019,-0.19483353202042675
2007-04-19,0.9223642923829205,0.4177991751214179,-0.38469355596911
2007-04-26,0.7919324917979742,0.28271386453375386,-0.4566482290857414
2007-05-03,0.6628861467482721,0.16575879206035027,-0.4131738253212818
2007-05-10,0.5613656087188674,0.07423365070246087,-0.41159934197776027
2007-05-17,0.4961780741493338,0.04961094189080571,-0.18683329152983819
2007-05-24,0.517920402870406,0.04691589558732118,-0.24211323404491913
2007-05-31,0.5026564259309261,0.07307768917894773,-0.0009162054876862002
2007-06-07,0.4719188900410602,0.029670717331997276,-0.04790300521595245
2007-06-14,0.41888324004693206,0.04964667691871162,-0.0821921440396268
2007-06-21,0.39440967414767775,0.20159508198830867,0.5686613695523859
2007-06-28,0.5000883543350245,0.37650991913408166,0.8445212776440836
2007-07-05,0.46954533514515534,0.3874380744702378,0.7506671348311669
2007-07-12,0.45863024903039024,0.31248021605348636,0.33425148526308435
2007-07-19,0.4557636431139502,0.2317386918779995,0.2328374927451583
2007-07-26,0.4558145847330951,0.12932118486520267,0.28353763370687884
2007-08-02,0.4037472001166047,0.005432657653874323,0.17408758941079708
2007-08-09,0.3402931963084604,-0.1079392214335,-0.0572217015874289
2007-08-16,0.294086547833851,-0.15083915199380526,-0.014628001953619236
2007-08-23,0.37931717222358224,-0.137902688324988,0.011689532419634618
2007-08-30,0.3465877169435821,-0.24353412927442153,-0.20570194036534728
2007-09-06,0.27586950145118017,-0.35797320170166846,-0.43033164165202564
2007-09-13,0.2060849792213793,-0.4486545245288748,-0.6082620733135491
2007-09-20,0.1343731821715865,-0.5212848571725656,-0.7107893078316911
2007-09-27,0.09051374855277666,-0.568212872104632,-0.7797712773249463
