date_mesure;09892X0679_EXH70;09648X0083_F90-1;10906X0039_C2-1;10964X0119_NYLS-1;09364X0017_111111;08635X0015_LZG211;09914X0391_V1191;10136X0222_C1;10163X0157_F1;10906X0038_C2-2;09653X0244_CH52;09652X0199_COURB2;08614X0010_SCE2;10388X0028_F2;10404X0056_S1003;10402X0133_SRAE13;10897X0010_F3;10915X0255_F2N3;10912X0112_BAR3;10912X0110_TOR3;09405X0229_S3;09907X0321_MLS3;09914X0350_CH14;09646X0074_B4;10916X0061_F1N4;10912X0061_F3N4;10912X0111_BAR4;10396X0162_F5;10403X0154_SRAE16;10403X0314_F136;09897X0081_DDEP6;10405X0124_F17;10157X0104_1777;10153X0069_VLHR8;09134X0245_CNR459;10401X0294_DRN379;10403X0350_PEZENA;10148X0031_POMPA;10401X0128_CLAIRA;10613X0036_INRA;09655X0266_CAISSA;10912X0134_BARQUA;10972X0003_ALENYA;10403X0235_2031B;09382X0052_C;09894X0077_DRAC;08626X0014_BERNAD;10403X0216_SAUZED;09648X0082_UCHAUD;10396X0068_SADE;09912X0278_FORAGE;08627X0059_GAUCHE;09914X0380_TEMPIE;09914X0370_PERRIE;10406X0060_DRILLE;09388X0111_OULE;10916X0090_PHARE;09913X0158_AIRE;09124X0293_SISE;10795X0028_CARSTE;09805X0030_F;09911X0280_F;08807X0011_F;09903X0111_F;09541X0021_F;09908X0351_F;09824X0002_F;09546X0022_F;09793X0003_F;08323X0205_F;08811X0055_F;08323X0206_F;10072X0026_F;08565X0007_F;10603X0027_F;10384X0048_F;10407X0071_GOLF;09128X0053_CAL;09905X0064_CMBSAL;09656X0175_RODIL;10406X0077_ASL;09125X0083_HBCM;09917X0192_P5CEHM;09888X0111_LACAN;10388X0017_STALIN;09912X0254_BRUN;10782X0008_COUMBO;08627X0010_SO;09911X0303_BRES-P;09655X0107_P;10592X0012_AEP;09916X0098_LANSAR;10908X0263_FIGUER;BSS002PTEJ_MONTFR;10402X0046_BOUR;09911X0302_BRES-S;10364X0001_S;09894X0005_S;09651X0009_S;10405X0171_VALRAS;09628X0043_BUEGES;09915X0181_AUNES;09911X0317_P3BIS;09655X0265_CLOS;09914X0284_FAGET;09634X0074_CLARET;10972X0137_PONT;09388X0052_VIGNOT;10154X0076_MAMERT;10963X0059_MEDALU;10162X0226_V;09625X0231_LADOUX
2009-10-11;-29.75857142857143;-18.351428571428574;-2.8000000000000003;-15.284285714285714;0.19;0.11;-3.932857142857143;-24.792857142857144;-4.362857142857143;-4.648571428571429;-2.314285714285714;-9.49;0.23714285714285713;-10.27;-7.012857142857143;-4.224285714285714;-79.62714285714286;-6.031428571428571;-3.6342857142857143;-2.6971428571428575;-16.271428571428572;-12.865714285714287;-4.132857142857143;-10.054285714285713;-2.2671428571428573;-3.7142857142857144;-3.3285714285714287;-7.767142857142857;-4.628333333333333;-5.707142857142857;-6.4628571428571435;-3.005714285714286;-5.871428571428572;-5.838571428571428;-4.285714285714286;-4.715714285714285;-24.61285714285714;-8.5125;-14.069999999999999;-5.804285714285714;-3.52;-1.4049999999999998;-3.591666666666667;-4.944285714285714;-4.795714285714285;-17.3275;0.32;-4.885000000000001;-3.0714285714285716;-10.54142857142857;-4.7871428571428565;0.11;-5.357142857142857;-5.385714285714286;-4.788571428571428;-33.44714285714286;-2.767142857142857;-5.921428571428572;-7.607142857142857;-12.494857142857143;-4.63;-25.897142857142857;2.0714285714285716;-107.83142857142857;-90.44000000000001;-18.928571428571427;-36.607142857142854;-16.70714285714286;-3.9442857142857144;-25.56;-33.10142857142857;-12.702857142857143;-59.978571428571435;-22.009999999999998;-5.184285714285714;-16.33857142857143;-2.6714285714285713;-20.814285714285713;-44.401428571428575;-2.717142857142857;-4.8342857142857145;-19.665714285714284;-2.492857142857143;-145.28428571428572;-4.008571428571428;-10.781875;-10.345714285714285;0.25;-5.651428571428572;-3.4057142857142857;-5.651428571428572;-4.998571428571429;-7.578571428571428;-8.155714285714286;-5.015714285714286;-5.765714285714286;5.797142857142857;-11.450000000000001;-3.0471428571428567;-7.46;-2.13;-5.4471428571428575;-28.91;-2.834285714285714;-4.55;-93.00285714285714;-7.5;-6.561428571428571;-32.36714285714286;-51.09142857142857;-33.06428571428572;0.48
2009-10-18;-30.044285714285714;-18.177142857142858;-2.974285714285714;-15.29857142857143;0.19;0.11;-3.9057142857142857;-24.8;-4.144285714285714;-4.75;-2.3214285714285716;-9.544285714285715;0.23714285714285713;-10.248571428571427;-6.851428571428571;-4.0442857142857145;-79.67142857142858;-6.001428571428571;-3.5171428571428573;-2.6557142857142857;-16.754285714285714;-12.524285714285714;-4.175714285714286;-9.961428571428572;-2.255714285714286;-3.5228571428571427;-3.2585714285714285;-7.695714285714286;-4.548571428571429;-5.692857142857143;-6.428571428571429;-2.9699999999999998;-5.864285714285714;-5.841428571428572;-4.28;-4.395714285714286;-24.325714285714287;-8.4975;-13.95142857142857;-5.805714285714286;-3.5185714285714282;-1.330833333333333;-3.6014285714285714;-4.93;-4.7700000000000005;-15.231666666666666;0.32;-4.821428571428571;-3.0385714285714287;-10.51142857142857;-4.7371428571428575;0.11;-5.322857142857144;-5.421428571428572;-4.39;-34.401428571428575;-2.7785714285714285;-5.877142857142857;-7.604285714285714;-12.504285714285714;-4.682857142857143;-26.442857142857143;1.6842857142857142;-106.02428571428571;-90.48571428571428;-18.647142857142857;-36.65571428571428;-16.75857142857143;-3.9285714285714284;-25.568571428571428;-33.121428571428574;-13.025714285714287;-60.037142857142854;-21.90857142857143;-5.234285714285714;-16.307142857142857;-2.5985714285714283;-20.74857142857143;-44.675714285714285;-2.744285714285714;-4.448571428571428;-19.80857142857143;-2.4385714285714286;-145.47857142857143;-4.018571428571428;-10.68125;-10.324285714285713;0.25;-5.365714285714286;-3.3385714285714285;-5.602857142857142;-4.971428571428571;-7.4957142857142856;-8.152857142857142;-4.4628571428571435;-5.478571428571429;5.751428571428571;-11.52;-3.0542857142857143;-7.188571428571429;-2.277142857142857;-5.445714285714287;-28.9075;-2.8414285714285716;-4.585714285714286;-92.69000000000001;-7.4471428571428575;-6.612857142857143;-32.497142857142855;-51.151428571428575;-33.12285714285714;0.4861904761904762
2009-10-25;-29.367142857142856;-16.961428571428574;-3.14;-15.287142857142857;0.19714285714285715;0.11;-3.7885714285714287;-24.705714285714286;-3.88;-4.844285714285713;-2.294285714285714;-9.527142857142858;0.2357142857142857;-10.228571428571428;-6.659999999999999;-3.82;-79.69142857142857;-5.9399999999999995;-3.255714285714286;-2.52;-17.095714285714287;-12.225714285714286;-4.172857142857143;-9.838571428571429;-2.0885714285714285;-3.327142857142857;-3.0557142857142856;-7.622857142857143;-4.38;-5.381428571428572;-6.2871428571428565;-2.8714285714285714;-5.664285714285714;-5.311428571428571;-4.255714285714285;-4.114285714285715;-24.167142857142856;-8.434285714285714;-13.774285714285714;-5.691428571428571;-3.415714285714286;-1.2566666666666666;-3.5557142857142856;-4.638571428571429;-4.707142857142857;-13.135833333333332;0.32;-4.582857142857143;-2.77;-10.447142857142856;-4.647142857142858;0.12571428571428572;-5.241428571428571;-5.387142857142857;-3.911428571428572;-37.96714285714285;-2.6128571428571425;-5.772857142857142;-7.418571428571428;-12.491428571428571;-4.14;-26.24285714285714;1.3485714285714285;-84.91571428571429;-90.4042857142857;-18.56714285714286;-36.57;-16.79285714285714;-3.914285714285714;-25.572857142857142;-33.05571428571428;-13.155714285714286;-59.99142857142857;-21.67142857142857;-5.278571428571429;-16.284285714285716;-2.3314285714285714;-18.8;-44.878571428571426;-2.605714285714286;-3.882857142857143;-16.5;-2.2728571428571427;-145.64000000000001;-4.02;-10.580625000000001;-10.299999999999999;0.25857142857142856;-5.272857142857142;-3.174285714285714;-5.602857142857142;-4.822857142857143;-7.361428571428571;-7.944285714285714;-3.8857142857142857;-5.387142857142857;5.757142857142857;-11.555714285714286;-3.0435714285714286;-6.517142857142857;-1.1128571428571428;-5.4557142857142855;-28.905;-2.644285714285714;-4.527142857142858;-70.22;-7.3585714285714285;-6.598571428571428;-32.642857142857146;-51.13857142857143;-32.26;0.4923809523809524
2009-11-01;-29.88714285714286;-16.518571428571427;-3.2714285714285714;-15.292857142857143;0.2;0.11;-3.72;-24.75714285714286;-3.8785714285714286;-4.95;-2.245;-9.445714285714287;0.23857142857142857;-10.209999999999999;-6.512857142857143;-3.615714285714286;-79.75714285714285;-5.911428571428572;-3.1271428571428572;-2.475714285714286;-17.24142857142857;-12.161428571428571;-4.17;-9.745714285714286;-2.0614285714285714;-3.152857142857143;-2.962857142857143;-7.538571428571429;-4.292857142857143;-5.541428571428571;-6.225714285714285;-2.8028571428571425;-5.587142857142857;-4.661428571428572;-4.234285714285714;-3.9314285714285715;-24.04;-8.472857142857142;-13.661428571428571;-5.652857142857143;-3.3185714285714285;-1.2857142857142858;-3.5214285714285714;-4.781428571428571;-4.671428571428572;-11.04;0.31714285714285717;-4.614285714285714;-2.4857142857142853;-10.421428571428573;-4.6499999999999995;0.11142857142857143;-5.105714285714286;-5.338571428571428;-3.5357142857142856;-41.75428571428572;-2.5914285714285716;-5.660000000000001;-7.409999999999999;-12.501428571428573;-4.397142857142858;-25.78;1.0;-83.36571428571429;-90.46857142857142;-18.427142857142858;-36.645714285714284;-16.842857142857145;-3.882857142857143;-25.580000000000002;-33.089999999999996;-13.27;-60.050000000000004;-21.830000000000002;-5.3185714285714285;-16.285714285714285;-2.2199999999999998;-16.81714285714286;-45.09428571428572;-2.6386904761904764;-3.41;-14.432857142857143;-2.2142857142857144;-145.80428571428573;-4.03;-10.48;-10.429999999999998;0.25;-5.074285714285715;-3.097142857142857;-5.581428571428572;-4.791428571428571;-7.2871428571428565;-7.984285714285714;-3.415714285714286;-5.184285714285714;5.677142857142857;-11.645714285714286;-3.032857142857143;-6.1257142857142854;-1.7085714285714286;-5.431428571428571;-28.9025;-2.6357142857142857;-4.4314285714285715;-62.31857142857143;-7.261428571428572;-6.492857142857143;-32.885714285714286;-51.228571428571435;-32.48142857142857;0.4985714285714286
2009-11-08;-30.132857142857144;-17.018571428571427;-3.422857142857143;-15.264285714285714;0.2;0.11;-3.7014285714285715;-24.428571428571427;-4.048571428571429;-5.042857142857143;-2.2262500000000003;-9.447142857142856;0.25142857142857145;-10.177142857142858;-6.390000000000001;-3.3857142857142857;-79.76285714285714;-5.897142857142858;-3.05;-2.392857142857143;-17.377142857142857;-12.335714285714285;-4.222857142857143;-9.678571428571429;-1.9957142857142856;-3.0214285714285714;-2.86;-7.514285714285713;-4.274285714285714;-5.585714285714286;-6.305714285714286;-2.7842857142857143;-5.747142857142856;-4.78;-4.22;-3.7485714285714287;-24.018571428571427;-8.457142857142857;-13.528571428571428;-5.6571428571428575;-3.294285714285714;-1.3171428571428572;-3.5028571428571427;-4.818571428571429;-4.7057142857142855;-12.265714285714285;0.3242857142857143;-4.637142857142857;-2.5157142857142856;-10.362857142857141;-4.798571428571429;0.14857142857142858;-5.064285714285715;-5.307142857142857;-3.1814285714285715;-41.152857142857144;-2.5028571428571427;-5.668571428571428;-7.498571428571429;-12.507142857142856;-4.221904761904762;-24.822857142857142;0.7942857142857143;-93.69000000000001;-90.4042857142857;-18.374285714285715;-36.567142857142855;-16.872857142857143;-3.6571428571428575;-25.57;-32.07142857142857;-13.054285714285713;-59.99571428571428;-21.34;-5.371428571428572;-16.27;-2.052857142857143;-17.384285714285713;-45.33;-2.671666666666667;-2.7085714285714286;-15.764285714285714;-2.1885714285714286;-145.8657142857143;-4.03;-10.592857142857143;-10.362857142857141;0.27571428571428575;-5.05;-3.084285714285714;-5.571428571428571;-4.801428571428572;-7.164285714285714;-8.028571428571428;-3.0028571428571427;-5.158571428571428;5.732857142857143;-11.805714285714286;-3.04;-5.694285714285714;-1.7671428571428573;-5.437142857142858;-28.9;-2.704285714285714;-4.4471428571428575;-72.47142857142858;-7.202857142857143;-6.502857142857143;-32.971428571428575;-51.152857142857144;-32.854285714285716;0.5071428571428571
2009-11-15;-29.584285714285716;-17.374285714285715;-3.5814285714285714;-15.295714285714284;0.2;0.11;-3.7028571428571433;-24.475714285714282;-4.178571428571429;-5.158571428571428;-2.2075;-9.492857142857144;0.2642857142857143;-10.04857142857143;-6.39;-3.21;-79.81857142857143;-5.851428571428571;-2.9757142857142855;-2.35;-17.72142857142857;-12.487142857142857;-4.298571428571429;-9.725714285714286;-1.9642857142857142;-2.8328571428571427;-2.7742857142857145;-7.517142857142857;-4.261428571428572;-5.6;-6.361428571428571;-2.78;-5.804285714285714;-4.957142857142857;-4.218571428571428;-3.6228571428571428;-23.99857142857143;-8.427142857142856;-13.467142857142857;-5.675714285714285;-3.317142857142857;-1.3485714285714288;-3.505714285714286;-4.8342857142857145;-4.73;-15.087142857142856;0.33428571428571435;-4.634285714285714;-2.5828571428571427;-10.27;-4.8914285714285715;0.16428571428571428;-5.075714285714286;-5.312857142857142;-2.915714285714286;-39.62285714285714;-2.527142857142857;-5.7299999999999995;-7.558571428571428;-12.532857142857141;-4.046666666666667;-24.655714285714286;0.812857142857143;-99.30714285714285;-90.41857142857144;-18.41142857142857;-36.59428571428572;-16.85;-2.704285714285714;-25.555714285714284;-31.955714285714286;-12.422857142857143;-59.98857142857143;-21.07;-5.424285714285714;-16.214285714285715;-1.907142857142857;-18.027142857142856;-45.589999999999996;-2.692857142857143;-2.2514285714285713;-17.925714285714285;-2.1914285714285713;-145.78857142857143;-4.038571428571428;-10.76142857142857;-10.402857142857142;0.2771428571428572;-5.1499999999999995;-3.097142857142857;-5.567142857142857;-4.82;-7.097142857142857;-8.05;-2.6228571428571428;-5.244;5.718571428571429;-11.965714285714286;-3.0471428571428567;-5.351428571428571;-1.8142857142857145;-5.472857142857143;-28.996;-2.7528571428571427;-4.491428571428572;-78.73;-7.158571428571428;-6.538571428571428;-33.16857142857143;-51.26571428571429;-33.121428571428574;0.49714285714285716
2009-11-22;-29.928571428571427;-17.584285714285716;-3.7785714285714285;-15.308571428571428;0.2;0.11;-3.69;-24.5275;-4.239999999999999;-5.297142857142857;-2.2028571428571433;-9.554285714285713;0.24857142857142858;-10.040000000000001;-6.382857142857143;-3.084285714285714;-79.88;-5.8100000000000005;-2.8957142857142855;-2.301428571428571;-18.19857142857143;-12.592857142857143;-4.372857142857143;-9.794285714285715;-1.9042857142857144;-2.6814285714285715;-2.672857142857143;-7.484285714285714;-4.252857142857143;-5.612857142857143;-6.404285714285714;-2.77;-5.839999999999999;-5.102857142857142;-4.207142857142857;-3.5228571428571427;-23.99142857142857;-8.438571428571427;-13.42;-5.662857142857143;-3.32;-1.3071428571428572;-3.5085714285714285;-4.844285714285713;-4.75;-16.13;0.3242857142857143;-4.628571428571428;-2.6228571428571428;-10.23;-4.975714285714285;0.13999999999999999;-5.0842857142857145;-5.331428571428572;-2.762857142857143;-38.49285714285714;-2.437142857142857;-5.772857142857142;-7.557142857142857;-12.564285714285715;-3.871428571428571;-24.337142857142858;1.0642857142857143;-103.54857142857144;-90.47142857142856;-18.434285714285714;-36.651428571428575;-16.837142857142858;-3.3942857142857146;-25.55857142857143;-32.65428571428571;-11.812857142857142;-60.03142857142858;-21.40857142857143;-5.492857142857143;-16.164285714285715;-1.7542857142857142;-18.675714285714285;-45.864285714285714;-2.682857142857143;-2.16;-18.344285714285714;-2.184285714285714;-145.96571428571428;-4.047142857142857;-10.885714285714286;-10.368571428571428;0.26285714285714284;-5.218571428571429;-3.0928571428571425;-5.562857142857142;-4.821428571428571;-6.9957142857142856;-8.067142857142857;-2.3985714285714286;-5.365714285714286;5.671428571428572;-12.118571428571428;-3.0542857142857143;-5.062857142857142;-1.912857142857143;-5.501428571428571;-29.092;-2.7714285714285714;-4.5285714285714285;-82.26857142857143;-7.1085714285714285;-6.577142857142857;-33.44714285714286;-51.362857142857145;-33.30142857142857;0.48714285714285716
2009-11-29;-28.8;-17.744285714285713;-3.825714285714286;-15.284285714285714;0.2;0.11;-3.6785714285714284;-24.526416666666666;-4.3028571428571425;-5.397142857142858;-2.2028571428571433;-9.602857142857143;0.25;-10.138571428571428;-6.322857142857143;-2.972857142857143;-79.88285714285713;-5.7871428571428565;-2.865714285714286;-2.2157142857142857;-18.647142857142857;-12.652857142857144;-4.447142857142857;-9.771428571428572;-1.92;-2.4828571428571427;-2.552857142857143;-7.494285714285715;-4.211428571428572;-5.617142857142857;-6.4314285714285715;-2.761428571428571;-5.85;-5.1085714285714285;-4.192857142857143;-3.422857142857143;-23.96;-8.44;-13.345714285714285;-5.662857142857143;-3.337142857142857;-1.3242857142857143;-3.5042857142857144;-4.847142857142857;-4.755714285714285;-16.8565;0.32142857142857145;-4.611428571428571;-2.672857142857143;-10.364285714285714;-5.0442857142857145;0.13428571428571429;-5.078571428571428;-5.347142857142857;-2.565714285714286;-38.02428571428572;-2.5;-5.791428571428571;-7.564285714285715;-12.59;-4.547142857142857;-24.184285714285714;1.5157142857142856;-105.71857142857142;-90.46571428571428;-18.391428571428573;-36.637142857142855;-16.862857142857145;-3.617142857142857;-25.56;-32.794285714285714;-11.321428571428571;-60.028571428571425;-21.384285714285713;-5.54;-16.14;-1.6528571428571428;-19.068571428571428;-46.12428571428571;-2.6442857142857146;-2.087142857142857;-18.632857142857144;-2.1614285714285715;-146.13142857142856;-4.05;-10.922857142857143;-10.328571428571427;0.26142857142857145;-5.22;-3.0714285714285716;-5.56;-4.821428571428571;-6.964285714285714;-8.071428571428571;-2.1;-5.454285714285715;5.654285714285714;-12.26142857142857;-3.051428571428571;-4.788571428571428;-1.9585714285714284;-5.524285714285715;-29.188;-2.7800000000000002;-4.538571428571428;-84.80571428571429;-7.058571428571428;-6.602857142857142;-33.59285714285714;-51.32714285714286;-33.44428571428571;0.48428571428571426
2009-12-06;-29.545714285714286;-17.905714285714286;-3.8685714285714283;-15.307142857142859;0.2;0.11;-3.6671428571428573;-24.525333333333332;-4.365714285714286;-5.491428571428571;-2.1928571428571426;-9.634285714285713;0.25;-10.154285714285715;-6.288571428571428;-2.857142857142857;-79.89142857142858;-5.7871428571428565;-2.7600000000000002;-2.142857142857143;-19.044285714285714;-12.709999999999999;-4.49;-9.81857142857143;-1.8714285714285714;-2.302857142857143;-2.3957142857142855;-7.527142857142857;-4.184285714285714;-5.618571428571428;-6.454285714285715;-2.737142857142857;-5.851428571428571;-5.171428571428572;-4.19;-3.27;-23.951428571428572;-8.44;-13.277142857142858;-5.684285714285714;-3.327142857142857;-1.33;-3.4442857142857144;-4.848571428571428;-4.767142857142857;-17.583;0.33;-4.587142857142857;-2.7028571428571433;-10.370000000000001;-5.05;0.14714285714285716;-5.082857142857143;-5.357142857142857;-2.3299999999999996;-37.73142857142857;-2.5157142857142856;-5.775714285714286;-7.5528571428571425;-12.61;-3.9335714285714287;-24.405714285714286;1.8828571428571428;-105.76;-90.43571428571428;-18.40285714285714;-36.61;-16.855714285714285;-3.0942857142857143;-25.56;-32.22;-10.874285714285715;-59.99;-21.082857142857144;-5.5842857142857145;-16.148571428571426;-1.5257142857142856;-19.24142857142857;-46.37571428571429;-2.6042857142857145;-1.7685714285714287;-17.822857142857142;-2.152857142857143;-146.3114285714286;-4.057142857142857;-10.934999999999999;-10.325714285714286;0.2642857142857143;-5.241428571428571;-3.05;-5.555714285714286;-4.831428571428572;-6.9628571428571435;-8.072857142857144;-1.8399999999999999;-5.554285714285714;5.664285714285714;-12.4;-3.057142857142857;-4.532857142857143;-1.98;-5.547142857142857;-29.284;-2.7842857142857143;-4.554285714285714;-86.43714285714285;-7.0200000000000005;-6.618571428571428;-33.714285714285715;-51.355714285714285;-33.614285714285714;0.48142857142857143
2009-12-13;-29.585714285714285;-17.997142857142858;-4.0528571428571425;-15.31857142857143;0.2;0.11;-3.662857142857143;-24.52425;-4.428571428571429;-5.587142857142857;-2.2114285714285713;-9.672857142857142;0.2571428571428572;-10.032857142857143;-6.29;-2.761428571428571;-79.95285714285716;-5.7942857142857145;-2.7471428571428573;-2.1371428571428575;-19.517142857142858;-12.785714285714286;-4.569999999999999;-9.857142857142858;-1.917142857142857;-2.1414285714285715;-2.3842857142857143;-7.43;-4.177142857142857;-5.617142857142857;-6.475714285714285;-2.7399999999999998;-5.865714285714286;-5.235714285714286;-4.17;-3.3057142857142856;-23.912857142857142;-8.461666666666666;-13.247142857142858;-5.685714285714286;-3.3414285714285716;-1.3485714285714288;-3.4585714285714286;-4.851428571428571;-4.7700000000000005;-18.3095;0.33;-4.565714285714286;-2.757142857142857;-10.262857142857143;-5.018571428571429;0.14285714285714285;-5.087142857142857;-5.3914285714285715;-2.14;-37.385714285714286;-2.511428571428571;-5.78;-7.574285714285715;-12.62857142857143;-3.3200000000000003;-24.41857142857143;2.3971428571428572;-105.76857142857143;-90.49142857142859;-18.39428571428571;-36.66285714285714;-16.73857142857143;-3.3185714285714285;-25.555714285714284;-31.947142857142858;-10.430000000000001;-60.01857142857143;-20.898571428571426;-5.622857142857143;-16.12857142857143;-1.4557142857142857;-19.042857142857144;-46.63142857142857;-2.6114285714285717;-1.5914285714285714;-18.815714285714286;-2.15;-146.51142857142855;-4.06;-11.020499999999998;-10.415714285714285;0.2671428571428572;-5.344285714285713;-3.0485714285714285;-5.5600000000000005;-4.824285714285715;-7.005714285714285;-8.084285714285715;-1.6842857142857142;-5.652857142857143;5.618571428571428;-12.525714285714287;-3.095714285714286;-4.444285714285714;-2.0114285714285716;-5.571428571428571;-29.38;-2.801428571428571;-4.5842857142857145;-88.04857142857144;-6.987142857142857;-6.625714285714286;-33.95428571428572;-51.45857142857143;-33.33571428571428;0.47428571428571425
