date_mesure;03646X0086_F1;03627X0052_P1;05475X0057_P1;04915X0009_F1AEP1;05421X0001_FAEP1;05943X0006_FAEP1;03282X0043_S1;02896X0013_F2;03646X0087_F2;04277X0062_FAEP2;04581X0015_FAEP2;04003X0018_FAEP2;05176X0033_FAEP3;05933X0006_FAEP3;03983X0267_PZ3;04602X0020_F;03244X0020_F;05695X0050_F;03243X0001_F;04302X0101_F;04316X0061_F;05432X0003_F;04623X0053_F;04593X0073_F;04625X0073_F;04612X0024_F;04326X0034_F;04323X0005_F;05422X0015_F;04938X0006_F;03618X0098_F;04312X0039_F;05443X0079_F;03631X0099_F;03958X0002_PF;02171X0008_PF;03278X0020_P;02921X0030_P;05687X0040_P;05441X0090_P;05208X0011_P;05452X0002_P;05186X0002_P;03662X0222_P;03288X0042_P;05205X0013_P;02926X0013_P;02927X1013_P;04934X0043_P;04905X0053_P;05203X0083_P;02913X0024_P;04571X0015_P;02163X0015_P;02542X0035_P;05464X0045_P;05712X0016_P;04285X0016_P;04012X0036_P;05473X0036_P;05448X0086_P;03651X0107_P;05184X0027_P;04577X0097_P;05162X0008_P;05442X0018_P;04935X0018_P;03953X0028_P;03612X0098_P;03276X0009_P;04581X0019_P;05472X0029_P;05463X0029_P;03965X0029_P;05195X0029_P;05202X0099_P;05458X0002_F2AEP;05411X1010_FAEP;02905X0020_FAEP;02921X0001_FAEP;04604X0001_FAEP;04926X0001_FAEP;02557X0001_FAEP;03975X0002_FAEP;05696X0002_FAEP;04578X0102_FAEP;02551X0022_FAEP;04628X0003_FAEP;05923X0004_FAEP;03263X0004_FAEP;01815X0006_FAEP;03955X0006_FAEP;05168X0006_FAEP;04605X0037_FAEP;04883X0077_FAEP;04284X0087_FAEP;05154X0028_FAEP;02545X0048_FAEP;02894X0019_FAEP;02168X0001_PFAEP;05706X0003_PFAEP;02165X0023_PFAEP;02548X0005_PFAEP;02936X2005_PFAEP;05711X0002_PAEP;05932X0003_PAEP;05458X0003_PAEP;05914X0007_PAEP;03252X0011_S;03248X0015_S;05446X0136_S;05465X0001_PZ;04597X0065_PZ;03272X0006_PZ;04894X0016_PZ;03622X0027_PZ;04866X0038_PZ
2001-12-16;-27.356666666666666;-6.92;-0.9833333333333334;-0.79;-2.57;-5.075;-27.56;-3.216666666666667;-29.603333333333335;-22.241666666666664;-61.230000000000004;-22.155;-35.97714285714286;-36.16285714285714;-22.1475;-18.436666666666667;-21.75;-28.018333333333334;-4.38;-10.065000000000001;5.104;-17.47142857142857;-26.185000000000002;-29.926666666666666;-24.360000000000003;-26.5225;-14.032;-16.734;-20.92;-0.39999999999999997;-19.044999999999998;-43.986000000000004;-3.02;-17.196;-13.098571428571429;-7.986;-19.26;-23.34;-40.26166666666666;-15.471666666666666;-2.2314285714285718;-18.075;-8.035;-32.0925;-3.042;-19.872;-19.95;-24.259999999999998;-23.265;-12.295714285714284;-12.652857142857144;-1.54;-7.378333333333334;-27.381428571428568;-21.3825;-18.99857142857143;-19.02;-11.051666666666668;-0.9428571428571428;-3.957142857142857;-13.680000000000001;-3.705;-16.49;-18.676666666666666;-12.625714285714285;-8.651428571428571;-16.436;-5.262857142857143;-26.616666666666664;-14.7075;-13.116;-12.475714285714286;-7.447142857142857;-5.02;-10.26;-20.062857142857144;-27.784285714285716;-9.671666666666667;-27.121999999999996;-21.631999999999998;-17.695;-16.21857142857143;-19.509999999999998;-13.2;-18.845;-61.0875;-28.168;-12.674;-12.104999999999999;-19.944;-10.755;-71.36857142857143;-13.074000000000002;-10.435;-36.5;-24.187142857142856;-2.84;-16.148333333333333;-25.235;-16.198333333333334;-23.192;-19.175;-25.62142857142857;-37.905;-13.5375;-14.155000000000001;-7.177142857142857;-31.034285714285716;-1.6;-2.56;-6.484999999999999;-5.905;-3.546666666666667;-22.163999999999998;-4.496666666666667;-9.549999999999999;-4.77
2001-12-23;-27.34714285714286;-6.914;-1.0714285714285714;-0.8183333333333334;-2.566;-5.071666666666666;-27.554285714285715;-3.223333333333333;-29.55;-22.59714285714286;-61.27333333333333;-22.17;-35.95;-36.292857142857144;-22.099999999999998;-18.39166666666667;-21.671666666666667;-28.073333333333334;-4.46;-10.065;5.1450000000000005;-17.456;-26.295;-29.937142857142856;-24.145714285714288;-26.45;-14.0;-16.726666666666667;-20.906666666666666;-0.425;-19.034;-43.90714285714286;-3.035;-17.169999999999998;-13.1175;-7.965;-19.25;-23.320000000000004;-40.276666666666664;-15.602;-2.455714285714286;-18.105;-7.9975000000000005;-32.05166666666667;-3.1671428571428573;-19.865;-19.91;-24.2125;-23.21666666666667;-12.283333333333333;-13.622857142857143;-1.53;-7.426666666666667;-27.286;-21.392000000000003;-18.976666666666667;-19.05;-11.098333333333334;-1.0450000000000002;-4.023333333333333;-14.124285714285715;-3.74;-16.515;-18.662;-12.6825;-8.725;-16.435;-5.3420000000000005;-26.618333333333336;-14.665;-13.104;-13.214285714285714;-7.62;-5.0575;-10.388333333333334;-19.737142857142857;-27.89833333333333;-9.59;-27.09;-21.581666666666667;-17.644285714285715;-16.33857142857143;-19.461428571428574;-13.245000000000001;-18.952857142857145;-61.10142857142857;-28.173333333333332;-12.69;-12.07;-19.89428571428571;-10.679999999999998;-71.34333333333333;-13.061666666666667;-10.547142857142857;-36.63142857142857;-24.31857142857143;-2.81;-16.138571428571428;-25.158333333333335;-16.228;-23.224999999999998;-19.196;-25.65;-37.865;-13.586000000000002;-14.166666666666666;-7.2620000000000005;-31.24142857142857;-1.6640000000000001;-2.594;-6.484;-5.956;-3.5883333333333334;-22.11;-4.51;-9.56;-4.8075
2001-12-30;-27.284;-6.8950000000000005;-1.0957142857142856;-0.696;-2.5357142857142856;-5.04;-27.52857142857143;-3.1671428571428573;-29.378333333333334;-22.151666666666667;-61.364285714285714;-22.17;-36.04142857142857;-36.505714285714284;-22.02285714285714;-18.3;-21.576;-28.108571428571427;-4.3420000000000005;-10.034285714285714;5.221666666666667;-17.425714285714285;-27.555714285714284;-29.84714285714286;-24.045;-26.358333333333334;-13.965714285714286;-16.685000000000002;-20.858571428571427;-0.39999999999999997;-19.0645;-43.77;-2.811666666666667;-17.12;-13.13;-7.941666666666666;-19.24;-23.292857142857144;-40.244;-15.347999999999999;-2.2816666666666667;-17.9625;-7.908333333333334;-31.97;-3.2733333333333334;-19.981666666666666;-19.88;-24.172857142857143;-22.965;-12.202857142857143;-13.205714285714285;-1.52;-7.351666666666667;-27.151666666666667;-21.346666666666668;-19.232857142857142;-19.022;-11.132857142857143;-0.7833333333333333;-3.838571428571428;-14.069999999999999;-3.2585714285714285;-16.51142857142857;-18.641428571428573;-12.277142857142858;-8.724;-16.458333333333332;-5.275;-26.601999999999997;-14.605714285714285;-13.04;-12.805714285714286;-7.458333333333333;-5.068;-10.393333333333333;-19.49285714285714;-27.947142857142858;-9.387142857142859;-27.054999999999996;-21.50857142857143;-17.525000000000002;-16.3925;-19.336000000000002;-13.286666666666667;-19.02;-61.02166666666667;-28.165000000000003;-12.653333333333334;-12.426666666666668;-19.825714285714287;-10.733333333333334;-71.30428571428571;-13.031428571428572;-10.133333333333333;-36.555;-24.52285714285714;-2.735;-16.108333333333334;-25.081666666666667;-16.25;-23.228333333333335;-19.21;-25.66142857142857;-37.81428571428571;-13.596666666666666;-14.172;-7.176;-31.426666666666666;-1.5999999999999999;-2.5466666666666664;-6.372857142857143;-5.8100000000000005;-3.5050000000000003;-22.051666666666666;-4.486;-9.562000000000001;-4.805
2002-01-06;-27.328333333333333;-6.95;-0.8757142857142857;-0.636;-2.5814285714285714;-5.0183333333333335;-27.587142857142858;-3.1128571428571425;-29.360000000000003;-21.937142857142856;-61.364285714285714;-22.072;-36.20166666666666;-36.839999999999996;-22.111666666666665;-18.32;-21.748333333333335;-27.92142857142857;-4.257142857142857;-10.003333333333334;5.191666666666666;-17.476666666666667;-28.36285714285714;-29.832857142857144;-23.995;-26.405;-14.022857142857143;-16.7;-20.965714285714284;-0.315;-19.095;-43.791428571428575;-1.9216666666666669;-17.169999999999998;-13.190000000000001;-7.9799999999999995;-19.23;-23.353333333333335;-40.29571428571428;-15.241428571428571;-1.3499999999999999;-17.704285714285714;-6.8100000000000005;-31.93;-2.6385714285714283;-18.25;-19.84;-24.224285714285713;-21.525000000000002;-12.108571428571429;-8.934285714285714;-1.51;-6.567142857142857;-27.320000000000004;-21.39428571428571;-17.017142857142858;-18.547142857142855;-10.985714285714286;-0.8428571428571429;-3.1771428571428575;-10.932857142857143;-3.3057142857142856;-16.455714285714286;-18.736666666666668;-11.834285714285715;-8.194285714285714;-14.552857142857144;-5.0920000000000005;-26.625714285714285;-14.654285714285715;-13.157142857142857;-9.725714285714286;-6.427142857142857;-5.12;-10.062857142857142;-18.854285714285712;-27.936666666666667;-9.39;-27.247142857142855;-21.564999999999998;-17.574285714285715;-15.861428571428572;-19.456666666666667;-13.363333333333335;-19.025714285714287;-61.040000000000006;-28.180000000000003;-12.638333333333334;-12.798333333333332;-19.855;-10.685714285714285;-71.32166666666667;-12.94;-9.912857142857144;-36.56;-24.255714285714284;-2.706666666666667;-16.165000000000003;-25.005000000000003;-16.284285714285712;-23.18;-19.272;-25.744285714285716;-37.864285714285714;-13.458333333333334;-14.193333333333333;-6.33;-31.615999999999996;-1.288;-2.542857142857143;-4.408333333333333;-4.081666666666666;-3.3814285714285717;-22.094285714285714;-4.53;-9.631666666666666;-4.614285714285714
2002-01-13;-27.234285714285715;-6.9316666666666675;-1.0;-0.6966666666666667;-2.524;-5.048333333333333;-27.571428571428573;-3.124;-29.36;-22.11285714285714;-61.902857142857144;-22.03;-36.26;-36.45666666666667;-22.09166666666667;-18.314285714285713;-21.745714285714286;-27.598000000000003;-4.355714285714286;-9.918333333333333;5.1899999999999995;-17.464;-28.308333333333334;-30.16;-23.9525;-26.39;-13.982;-16.72;-20.94;-0.355;-19.105;-43.720000000000006;-1.8633333333333333;-17.156;-13.165;-7.895;-19.215;-23.334;-40.312;-15.181666666666667;-1.6357142857142857;-17.861666666666668;-6.206666666666667;-31.851999999999997;-2.5140000000000002;-17.815714285714286;-19.79;-24.186;-21.81714285714286;-12.1775;-11.985714285714286;-1.495;-6.616666666666667;-27.338333333333335;-21.3825;-16.017142857142858;-18.666666666666668;-10.93;-0.9966666666666667;-3.3757142857142854;-11.391428571428571;-3.4939999999999998;-16.422;-18.747999999999998;-12.549999999999999;-7.7457142857142856;-14.338333333333333;-5.16;-26.605;-14.616;-13.138;-11.941428571428572;-6.662857142857143;-5.140000000000001;-10.06;-17.57;-27.751666666666665;-9.484285714285715;-27.215714285714284;-21.51571428571429;-17.552;-15.703999999999999;-19.396666666666665;-13.410000000000002;-18.90285714285714;-61.092;-28.144;-12.620000000000001;-12.896666666666667;-19.836000000000002;-10.561666666666667;-71.27;-12.89857142857143;-10.112857142857141;-36.5075;-24.201428571428572;-2.736666666666667;-16.178571428571427;-24.89;-16.292;-23.14;-19.314999999999998;-25.744;-37.833333333333336;-13.49;-14.21;-5.908571428571428;-31.785714285714285;-1.37;-2.585;-4.335714285714286;-3.9;-3.3200000000000003;-22.048;-4.6;-9.66;-4.54
2002-01-20;-27.14;-6.8925;-0.9233333333333333;-0.6366666666666667;-2.49;-5.035;-27.55142857142857;-3.064;-29.295;-22.12;-61.455714285714286;-22.01;-36.277142857142856;-36.005;-22.016;-18.258333333333333;-21.664285714285715;-27.42142857142857;-4.296;-9.8425;5.2225;-17.445;-27.542857142857144;-30.554285714285715;-23.926666666666666;-26.325;-13.946000000000002;-16.7;-20.906;-0.384;-19.09;-43.63333333333333;-1.936;-17.1175;-13.144;-7.827500000000001;-19.21;-23.3;-40.30666666666667;-15.093333333333334;-1.7914285714285714;-17.911666666666665;-6.145;-31.776666666666667;-2.5766666666666667;-18.49285714285714;-19.75;-24.137999999999998;-22.18857142857143;-12.146;-13.162857142857144;-1.49;-6.6225000000000005;-27.26;-21.352857142857143;-16.015714285714285;-18.791428571428572;-10.908;-0.7514285714285714;-3.228;-12.242857142857144;-3.3200000000000003;-16.38;-18.73;-12.504000000000001;-7.394285714285714;-14.58;-5.166;-26.586000000000002;-14.553999999999998;-13.096;-12.758333333333333;-6.866666666666667;-5.146666666666667;-10.114285714285714;-17.259999999999998;-27.615;-9.381428571428572;-27.172857142857143;-21.44857142857143;-17.481666666666666;-15.770000000000001;-19.29;-13.430000000000001;-18.675714285714285;-61.068333333333335;-28.12857142857143;-12.585714285714285;-12.895714285714286;-19.80333333333333;-10.496666666666668;-71.22571428571429;-12.8625;-10.14857142857143;-36.457499999999996;-24.38714285714286;-2.7600000000000002;-16.17142857142857;-24.812857142857144;-16.285;-23.113999999999997;-19.324;-25.743333333333336;-37.785;-13.534;-14.22;-5.741666666666667;-31.924;-1.3125;-2.5416666666666665;-4.82;-3.8557142857142854;-3.287142857142857;-21.995714285714286;-4.586;-9.666;-4.601666666666667
2002-01-27;-27.09166666666667;-6.859999999999999;-0.925;-0.6366666666666667;-2.4642857142857144;-5.0200000000000005;-27.52857142857143;-2.99;-29.2;-22.08666666666667;-61.387142857142855;-21.99;-36.205714285714286;-35.674285714285716;-21.92;-18.2;-21.594;-27.278333333333332;-4.243333333333333;-9.788333333333334;5.282;-17.4225;-27.723333333333333;-30.53;-23.849999999999998;-26.256666666666664;-13.925999999999998;-16.654;-20.863333333333333;-0.405;-19.074;-43.565;-2.0033333333333334;-17.080000000000002;-13.098333333333334;-7.772857142857142;-19.12;-23.2725;-40.29;-14.83;-1.8399999999999999;-17.945;-6.22;-31.68166666666667;-2.568;-19.01571428571429;-19.69;-24.095;-22.44333333333333;-12.102;-12.751428571428573;-1.43;-6.54;-27.16142857142857;-21.305;-16.4;-18.843333333333334;-10.8625;-0.7833333333333333;-3.295714285714286;-12.815714285714288;-3.3600000000000003;-16.341428571428573;-18.7;-12.456666666666665;-7.098571428571428;-14.906;-5.1325;-26.5675;-14.484;-13.041666666666666;-12.861428571428572;-6.93;-5.123333333333334;-10.21;-17.25857142857143;-27.53142857142857;-9.365;-27.135714285714283;-21.381999999999998;-17.42833333333333;-15.719999999999999;-19.19;-13.446666666666667;-18.535714285714285;-61.01800000000001;-28.081666666666667;-12.546666666666667;-13.032857142857143;-19.7675;-10.37857142857143;-71.194;-12.828333333333333;-10.234285714285715;-36.385;-24.357142857142858;-2.7449999999999997;-16.147142857142857;-24.657142857142855;-16.282;-23.091428571428573;-19.325;-25.71;-37.74333333333333;-13.55;-14.221666666666666;-5.6825;-32.029999999999994;-1.188;-2.47;-5.195714285714286;-3.6366666666666667;-3.228;-21.935000000000002;-4.498333333333334;-9.6625;-4.638
2002-02-03;-27.111428571428572;-6.890000000000001;-0.8871428571428571;-0.658;-2.4939999999999998;-5.015;-27.56;-2.94;-29.208571428571425;-22.04;-61.35;-22.006;-36.23142857142857;-35.457142857142856;-21.935000000000002;-18.213333333333335;-21.687142857142856;-27.187142857142856;-4.194285714285714;-9.778333333333334;5.276666666666666;-17.444285714285716;-27.846666666666668;-30.465714285714284;-23.843333333333334;-26.276;-13.894285714285715;-16.664;-20.93;-0.39333333333333337;-19.09;-43.56;-2.024;-17.12;-13.105714285714285;-7.843333333333334;-19.02;-23.287142857142857;-40.35285714285715;-14.695714285714287;-1.6357142857142857;-17.96;-6.264285714285714;-31.707142857142856;-2.674285714285714;-19.204285714285714;-19.68;-24.11285714285714;-22.372857142857146;-12.145714285714286;-10.743333333333334;-1.36;-6.291428571428571;-27.235714285714288;-21.33;-16.905714285714286;-18.80857142857143;-10.790000000000001;-0.8557142857142858;-3.231666666666667;-12.969999999999999;-3.404;-16.38;-18.759999999999998;-12.492857142857144;-6.874285714285714;-15.04;-5.031428571428571;-26.577999999999996;-14.478571428571428;-13.081428571428571;-12.884285714285713;-6.954285714285715;-5.14;-10.308333333333334;-17.328;-27.528333333333332;-9.385;-27.259999999999998;-21.383333333333336;-17.44666666666667;-15.51142857142857;-19.26;-13.494285714285715;-18.285;-60.99857142857143;-28.151666666666667;-12.531428571428572;-13.120000000000001;-19.77857142857143;-10.384285714285713;-71.2;-12.83;-10.325714285714286;-36.36;-24.285714285714285;-2.776666666666667;-16.141666666666666;-24.50142857142857;-16.321666666666665;-23.070000000000004;-19.378333333333334;-25.78333333333333;-37.76857142857143;-13.614285714285714;-14.2425;-5.698333333333333;-32.20857142857143;-1.0771428571428572;-2.436;-5.420000000000001;-3.63;-3.2142857142857144;-21.936666666666667;-4.405;-9.696666666666667;-4.676666666666667
2002-02-10;-27.058333333333334;-6.872857142857143;-0.8928571428571429;-0.6799999999999999;-2.4583333333333335;-5.0128571428571425;-27.55;-2.8966666666666665;-29.138333333333335;-21.956666666666667;-61.33;-22.018333333333334;-36.269999999999996;-35.17714285714286;-21.89;-18.18857142857143;-21.646;-27.098333333333333;-4.115714285714286;-9.75;5.2942857142857145;-17.431428571428572;-28.021428571428572;-30.478571428571428;-23.7975;-26.23428571428571;-13.906666666666666;-16.66;-20.91857142857143;-0.41;-19.076;-43.526666666666664;-2.0483333333333333;-17.09285714285714;-13.057999999999998;-7.812;-18.93;-23.256666666666664;-40.358;-14.234285714285715;-1.8885714285714283;-17.985;-6.234999999999999;-31.631999999999998;-2.802857142857143;-19.026666666666667;-19.634285714285713;-24.07857142857143;-22.208333333333332;-12.142857142857142;-12.265714285714285;-1.3;-6.196;-27.154285714285713;-21.291428571428572;-17.407142857142855;-18.87;-10.665714285714285;-0.9185714285714285;-3.347142857142857;-13.0775;-3.4450000000000003;-16.375714285714285;-18.755714285714284;-12.44;-6.702857142857143;-14.295;-5.008333333333334;-26.562;-14.424999999999999;-13.038571428571428;-13.209999999999999;-6.986;-5.125;-10.413333333333334;-17.194285714285716;-27.212857142857143;-9.376666666666667;-27.24;-21.33666666666667;-17.4;-15.443999999999999;-19.224999999999998;-13.516;-18.194285714285716;-60.952;-28.155714285714286;-12.521666666666667;-13.215714285714286;-19.75166666666667;-10.327142857142858;-71.13428571428571;-12.801428571428572;-10.24;-36.315714285714286;-24.20285714285714;-2.776666666666667;-16.122857142857143;-24.405714285714286;-16.32;-23.01571428571429;-19.400000000000002;-25.785714285714285;-37.737142857142864;-13.624;-14.252;-5.736;-32.303333333333335;-0.9816666666666666;-2.3757142857142854;-5.476666666666667;-3.6966666666666668;-3.1785714285714284;-21.900000000000002;-4.324;-9.696666666666667;-4.711666666666667
2002-02-17;-27.0;-6.859999999999999;-0.8866666666666667;-0.6719999999999999;-2.448571428571429;-5.024285714285715;-27.55857142857143;-2.712;-29.107142857142858;-21.968;-61.35857142857143;-22.025;-36.21;-35.00142857142857;-21.875;-18.194;-21.689999999999998;-27.01;-3.9985714285714287;-9.721666666666666;5.32;-17.437142857142856;-27.755714285714284;-30.462857142857143;-23.926;-26.212;-13.888571428571428;-16.663333333333334;-21.088333333333335;-0.415;-19.086;-43.425;-2.0549999999999997;-17.040000000000003;-13.02;-7.773999999999999;-18.84;-23.25;-40.37428571428571;-14.057142857142859;-2.0942857142857143;-18.0075;-6.282;-31.619999999999997;-2.6616666666666666;-18.982857142857142;-19.602;-24.075;-22.33857142857143;-12.087142857142856;-12.697142857142856;-1.23;-5.905714285714287;-27.145;-21.228571428571428;-17.89;-18.886666666666667;-10.514285714285714;-0.7400000000000001;-3.2728571428571427;-13.125714285714285;-2.885;-16.404000000000003;-18.773333333333333;-11.788333333333334;-6.6000000000000005;-14.2012;-4.872857142857143;-26.560000000000002;-14.403333333333334;-13.030000000000001;-13.517142857142858;-7.087999999999999;-5.074;-10.540000000000001;-16.99;-27.0425;-9.357142857142858;-27.23;-21.31;-17.3825;-15.580000000000002;-19.195714285714285;-13.51;-17.88;-60.90714285714286;-28.095999999999997;-12.481666666666667;-13.197142857142856;-19.735;-10.192857142857141;-71.252;-12.790000000000001;-10.198571428571428;-36.244;-24.189999999999998;-2.632857142857143;-16.09857142857143;-23.92571428571429;-16.255714285714287;-22.978571428571428;-19.44;-25.802857142857142;-37.72571428571428;-13.67;-14.26;-5.761666666666667;-32.392;-0.7483333333333334;-2.364;-5.523333333333333;-4.051666666666667;-3.0928571428571425;-21.884285714285713;-4.2475000000000005;-9.7;-4.748333333333333
