date_mesure,B,A,C
2009-05-21,0.09009749122436912,0.1632350198242219,0.24000541322829094
2009-05-28,0.04464410522646743,0.16253855851108312,0.21399909978408882
2009-06-04,-0.022834391617443467,0.0598949354680494,0.2025963981120374
2009-06-11,-0.07207851947751391,0.06368454252559717,0.18691968831746686
2009-06-18,-0.13107553304495695,-0.045553961250231687,0.15380641247861387
2009-06-25,-0.17399254444216683,-0.12630194881878914,0.12404843762926597
2009-07-02,-0.259607272135404,-0.22516653232270917,0.10158116089341473
2009-07-09,-0.2988696719780226,-0.35439389706151014,0.10316316963017616
2009-07-16,-0.3485762203794531,-0.4404993259897314,0.10329603545126637
2009-07-23,-0.38270075969625045,-0.4431284058108921,0.11364169210649472
2009-07-30,-0.43819309628829783,-0.5252158984383224,0.10651591781451503
2009-08-06,-0.4961215825703348,-0.5969228057862868,-0.0167160688272448
2009-08-13,-0.555412959095102,-0.682972242042889,-0.05395821931853262
2009-08-20,-0.6265704351180437,-0.7732410823667855,-0.0857054003866754
2009-08-27,-0.6765814957265257,-0.9322822119507288,-0.11530250676028664
2009-09-03,-0.7160659397335082,-0.9821948973520842,-0.14200746346738347
2009-09-10,-0.7829840362940714,-1.068630976502449,-0.19476577018970953
2009-09-17,-0.8229725786715185,-1.1024460311588624,-0.23834985282636645
2009-09-24,-0.8776484596871726,-1.1648153542713677,-0.2772935382041003
2009-10-01,-0.8961268256124343,-1.1943129642590087,-0.30272186508901533
2009-10-08,-0.9722059134954067,-1.1296388357251066,-0.32160297734470056
2009-10-15,-0.9708509138855952,-1.145785750577256,-0.35221632969728955
2009-10-22,-0.9469450520585647,-1.1175849935385263,-0.3810394502858299
2009-10-29,-0.9514482409762877,-1.0820741232146471,-0.4043610979894567
2009-11-05,-0.8169189056498528,-0.7389782004079981,-0.4079917673944541
2009-11-12,-0.8533177023051657,-0.6557517213630248,-0.454968832542876
2009-11-19,-0.8960344738196298,-0.5857751033755196,-0.48995877207114674
2009-11-26,-0.8307254965038013,-0.23972630719533655,-0.5001856257702432
2009-12-03,-0.7542583564721543,0.16066900431424053,-0.5149104167505252
2009-12-10,-0.6959201702615906,0.41720937576000405,-0.5381708068967804
2009-12-17,-0.7041108589003198,0.36606305877185186,-0.552657165848835
2009-12-24,-0.6275531996819272,0.5926624148986109,-0.5495526500267689
2009-12-31,-0.5352551156026427,0.7321810678232263,-0.5639897424945947
2010-01-07,-0.5557918254905287,0.5381159316042263,-0.5925175034693952
2010-01-14,-0.500730819023517,0.7201359076685884,-0.6295271291309351
2010-01-21,-0.37078868549552335,0.9285995618523072,-0.6024380767365145
2010-01-28,-0.23669127825293293,0.9433960830627699,-0.549227014729393
2010-02-04,-0.050821094277781254,0.9635376010324492,-0.519613104625209
2010-02-11,-0.012531145379055808,0.8523636813261956,-0.5186116975024061
2010-02-18,0.022291976536641694,0.8183751536992914,-0.5079578949882081
2010-02-25,0.36049769256159125,1.3874148034656992,-0.4360427596893074
2010-03-04,0.6064453404540088,1.3961372387017417,-0.3577410823283481
2010-03-11,0.5943578045826696,1.0871143585500485,-0.3554993348621561
2010-03-18,0.6149251119782757,0.9260029183278258,-0.33910077397485927
2010-03-25,0.668702674337907,0.9355756197562386,-0.2940580157025282
2010-04-01,0.735591387528197,0.9830952020249171,-0.2888368035459673
2010-04-08,0.7079871638643884,0.7815585085608898,-0.28753533372581835
2010-04-15,0.6552894070173481,0.5935507680752972,-0.28361941936827884
2010-04-22,0.6212168196111438,0.40661526691892264,-0.2890288005958175
2010-04-29,0.623718050057428,0.28532032403581914,-0.28780055588689457
2010-05-06,0.600572572621547,0.17486862526948171,-0.2903189229953784
2010-05-13,0.5076042943294043,0.06362423447852064,-0.3122902267886183
2010-05-20,0.4508170157042152,-0.06265699646451725,-0.3290907073672278
2010-05-27,0.3608100978680976,-0.1101504645402383,-0.32653473424144736
2010-06-03,0.3418616629206111,-0.197533052046384,-0.33454437383576735
2010-06-10,0.3349958456738785,-0.19042959603972115,-0.32591761605287134
2010-06-17,0.26756152429195756,-0.29384695963452623,-0.35421423290076454
2010-06-24,0.17106215734352506,-0.43673292950467807,-0.3683934505494522
2010-07-01,0.06676482208748458,-0.6051311851456403,-0.39330632816335814
2010-07-08,-0.010952680636898249,-0.7405823525734672,-0.40483110119139165
2010-07-15,0.05323500176506191,-0.8069710002441626,-0.41880723852508855
2010-07-22,-0.015989471726109428,-0.9159170620941968,-0.444382726715768
2010-07-29,-0.24825211900221167,-1.0093606674485516,-0.47205324344423455
2010-08-05,-0.3008128852502974,-1.0706556867879842,-0.48730154416958704
2010-08-12,-0.35048770190994466,-1.0594087837635917,-0.49932676675869125
2010-08-19,-0.41001167964600205,-1.115276685350255,-0.5159450111482053
2010-08-26,-0.4620223586546009,-1.14292445786343,-0.5293620006882636
2010-09-02,-0.525902233158434,-1.2302067346241257,-0.5510396075290425
2010-09-09,-0.579217413112636,-1.2563206988597364,-0.577495755571684
2010-09-16,-0.6469148639045168,-1.317531618454348,-0.5933570343833361
2010-09-23,-0.6677596512006436,-1.3313935108273844,-0.6049490119928961
2010-09-30,-0.6581628644781656,-1.1754293544964316,-0.6002833721678915
2010-10-07,-0.6929669857854696,-1.0047938407216688,-0.6194006088233487
2010-10-14,-0.748965833542982,-1.0671105134592223,-0.6478513549171127
2010-10-21,-0.7864896889693196,-1.0762666495596362,-0.670776749936688
2010-10-28,-0.801741834510118,-1.019492931463986,-0.6809555979059725
2010-11-04,-0.8097939323029384,-0.9183143028653408,-0.688730248397065
