date_mesure,B,A,C,D,E
2010-06-10,-1.0373904298840342,-1.2659562843364545,0.4382368753977749,0.8679308046625537,-0.8452409534402489
2010-06-17,-1.0765219498763228,-1.282241489108886,0.3208369269375311,0.8171806709883476,-0.6296574520684647
2010-06-24,-1.151422337400309,-1.3224669174710884,0.35834146788486554,0.751143772717989,-0.6537770888291624
2010-07-01,-1.2005681164191637,-1.3563423308677047,0.4035586430220317,0.7843991256225178,-0.5742578449815818
2010-07-08,-1.2181081864571883,-1.3638264482981108,0.45713208143668327,0.8616352748761007,-0.7815695855099746
2010-07-15,-1.1989215051605666,-1.3662277258641313,0.42087236658540106,1.0990877112309787,-0.6462689323789093
2010-07-22,-1.2071727202749027,-1.389018647968939,0.2802956542414575,0.9279090769158179,-0.5872551791974008
2010-07-29,-1.2600588852733277,-1.4125717106317859,0.26552630212044104,0.8237007660699889,-0.7200531135117236
2010-08-05,-1.3344873807406614,-1.4532909908922167,0.08155351901995544,0.6901938255737261,-0.6250677959433724
2010-08-12,-1.334934250426869,-1.4447152518205189,0.05958489666271771,1.0273984393311322,-0.7042392169062482
2010-08-19,-1.2503962491794878,-1.4335651110008478,-0.03886593109805858,1.340299142464791,-0.6704225484514486
2010-08-26,-1.3031330725412733,-1.4430268328064346,-0.15879037651869532,1.2348029764681128,-0.5678611158091664
2010-09-02,-1.3702126138708406,-1.4406360896149162,0.04722357764203067,1.05920830980597,-0.7334322499241346
2010-09-09,-1.416705987435278,-1.472981053964855,-0.05123356609259133,0.9894383278745322,-0.4318308375968404
2010-09-16,-1.4480594594333667,-1.46998757828428,0.1294484528099431,0.9028517018966322,-0.5121136858375538
2010-09-23,-1.4589751478724795,-1.4630713440848098,0.24829307047214266,0.9218504508987178,-0.7053846234959221
2010-09-30,-1.4107021344297959,-1.455178438044543,0.4126055974534417,1.056566278622705,-0.8619543716861924
2010-10-07,-1.437267955751248,-1.4846571867466838,0.22178557805328425,0.9512015201196411,-0.6582227979405837
2010-10-14,-1.5121217226807782,-1.5408880907570777,0.1754527524790872,0.8523691951723693,-0.45490700570334774
2010-10-21,-1.5632290996977092,-1.541972574439321,0.12689497276869388,0.8340322956010471,-0.3508863228985134
2010-10-28,-1.5720069266189038,-1.5042851005996796,0.22750672611716571,0.8415900778878542,-0.8091334718060655
2010-11-04,-1.4823013449966744,-1.4713963890545247,0.41656513461769995,0.94005409157216,-1.123350416152602
2010-11-11,-0.7795389549567967,-1.4901396103829971,0.19865686475953748,1.2432408186812502,-0.9150631655937123
2010-11-18,-0.7192431307468219,-1.4671042226025564,0.2796709186240173,1.1676870556267378,-0.8215370981879588
2010-11-25,-0.7348546117589987,-1.4446707330115829,0.3563268996749167,1.1194734568600437,-0.9471746989367387
2010-12-02,-0.8109263325417978,-1.445081378581237,0.3052638080131913,1.0138717945876201,-0.7680125227720465
2010-12-09,-0.49175961263292783,-1.457871644544611,0.021635668837268307,1.183182961370115,-0.07448199529794353
2010-12-16,-0.3712593604333973,-1.3447354208521134,0.47790418565383797,1.3996962594993523,-0.9959316919020156
2010-12-23,0.08565508109319186,-1.3166761213836136,0.02480873720369925,1.6155580719613667,-0.24234394259225928
2010-12-30,0.021387741879332678,-1.2456896619104567,0.030077348025199013,1.7959306041274863,-0.24846080750360228
2011-01-06,0.39137268067423847,-1.1621997749753352,0.17147467145976858,1.8457025848047213,-0.4566041110487906
2011-01-13,0.6046773310090403,-1.111641626641465,-0.121497110607654,1.9068311351766358,0.06235389638572353
2011-01-20,0.45500224641586823,-1.0575603263325917,-0.08171705227852727,1.9353095476763342,0.07705636571332536
2011-01-27,0.4103043964865817,-1.0291155368194524,0.01355179763278025,1.7607892768835085,0.08877237609211464
2011-02-03,0.3015918636045677,-1.0169569538305838,-0.08408108323193708,1.6686041363771653,0.19380254823928778
2011-02-10,0.257328872015926,-0.9732327826041207,0.16377645906609728,1.5058513143683516,-0.3994233804601057
2011-02-17,0.17057284089960556,-0.9932323526451665,-0.04680035565841273,1.3402852611537344,-0.031715840009447716
2011-02-24,0.20383486270817808,-0.9870671528801742,-0.18630380576053485,1.247959458544392,0.38211005734235326
2011-03-03,0.1353264630171213,-0.9584106713161098,-0.15094677552487362,1.1297787666058607,0.43744170580557334
2011-03-10,0.009860279605516886,-0.9231597025055661,0.009134500938324297,1.0495063636881987,-0.021527038416924438
2011-03-17,-0.20090548211184844,-0.9617697998919398,-0.3396082679819299,0.9057993011544921,0.7647659520697786
2011-03-24,-0.24169997002814192,-0.9202590218332838,-0.09180228186096384,0.9661838257953753,0.1615291481034148
2011-03-31,-0.30502581614565494,-0.9273010568549436,-0.3427234764817936,0.9526710623629341,-0.5753791622722342
2011-04-07,-0.5664011519279919,-0.926533192203852,-0.39385428130748146,0.8707560657751613,-0.41269254917062104
2011-04-14,-0.623419699523098,-0.9194752575756377,-0.282787698358088,0.8001976388820615,-0.5876128920949657
2011-04-21,-0.6962076444163299,-0.9473332939706209,-0.4189215619191642,0.7116049199338059,-0.7937792260336389
2011-04-28,-0.7640483390454017,-0.9618028540272162,-0.43639818791940094,0.6844618668863669,-0.9769373504895128
2011-05-05,-0.8724627878160294,-1.0191559371953027,-0.6132709128518287,0.5086302964548781,-0.7184678361145944
2011-05-12,-0.9516527870015802,-1.0526026561587294,-0.5563882199660756,0.38523124589662483,-0.5385080762449179
2011-05-19,-1.0097540776564027,-1.084699532598283,-0.48267117323786934,0.28897524838581046,-0.6003723711279094
2011-05-26,-1.0495570879025227,-1.1115382734517048,-0.3912755375455328,0.2223729276120716,-0.7306336073136124
2011-06-02,-1.1051754725953598,-1.124446213196161,-0.2862007180573427,0.23062753989585882,-0.8410849986026735
2011-06-09,-1.0358783435998578,-1.1545938668261615,-0.3691093541360265,0.26014980913933494,-0.8554056657337397
2011-06-16,-1.0452389334337455,-1.135946557819477,-0.22619843391505046,0.32751466365686044,-0.9788204119268344
