date_mesure;09145X0057_N210;09406X0643_P130;09145X0059_N340;08472X0007_F-1;09662X0038_F41;09141X0092_N381;10462X0117_F1;09143X0128_PT1;09964X0020_PZ1;08688X0023_PZ1;10202X0117_PN2;09724X0023_P2;09665X0073_203;09664X0207_F44;09402X0244_P185;09663X0260_PA5;08465X0019_S5;09668X0106_16;09145X0058_N256;09407X0392_156038;09407X0393_P259;09937X0135_P23B;09994X0521_P4B;09952X0082_F9B;10218X0195_F;10475X0046_F;09933X0088_F;09436X0138_1P;09437X0036_23P;09942X0048_S;09735X0149_P34BIS;09408X0052_PU;09691X0120_PIEZ;09952X0093_PIEZ
2009-07-19;-3.5714285714285716;-3.7685714285714282;-4.517142857142857;-3.62;-4.9471428571428575;-4.06;-85.90857142857143;-4.202857142857143;-29.07857142857143;-3.4375;-4.895714285714285;-14.819999999999999;-4.0200000000000005;-5.501428571428571;-2.275714285714286;-4.7457142857142856;-1061.8328571428572;-11.281428571428572;-3.0228571428571427;-4.88;-5.198571428571428;-9.487142857142857;-6.805714285714286;-4.215714285714285;-0.8057142857142858;-4.732857142857143;-12.785714285714286;-4.94;-3.532857142857143;-10.624285714285715;-9.1;-2.48;-11.06857142857143;-2.955714285714286
2009-07-26;-3.6128571428571425;-3.7985714285714285;-4.618571428571428;-3.7199999999999998;-4.957142857142857;-4.12;-85.97714285714287;-4.368571428571428;-28.657142857142855;-3.462857142857143;-4.96;-15.0;-4.038571428571428;-5.577142857142857;-2.2385714285714284;-4.828571428571428;-1061.7485714285715;-11.307142857142859;-3.165714285714286;-4.8428571428571425;-5.12;-9.597142857142858;-6.908571428571428;-4.228571428571429;-5.715714285714285;-4.534285714285715;-12.8;-4.948571428571428;-3.6714285714285713;-10.578571428571427;-9.16;-2.6557142857142857;-11.007142857142856;-3.0439999999999996
2009-08-02;-3.73;-3.87;-4.68;-3.8;-4.981428571428571;-4.177142857142857;-86.09857142857143;-4.621428571428572;-28.642857142857142;-3.4785714285714286;-5.038571428571428;-15.24;-4.111428571428571;-5.47;-2.4114285714285715;-4.801428571428572;-1061.67;-11.304285714285713;-3.2685714285714282;-4.79;-5.081428571428572;-8.547142857142857;-6.988571428571428;-4.198571428571428;-8.547142857142857;-4.774285714285715;-12.785714285714286;-4.948571428571428;-3.4828571428571427;-10.514285714285714;-9.198571428571428;-2.8871428571428575;-10.97;-3.1022666666666665
2009-08-09;-3.8042857142857143;-3.892857142857143;-4.747142857142856;-3.867142857142857;-5.04;-4.15;-86.22285714285715;-4.808571428571428;-28.505714285714284;-3.48;-5.107142857142857;-15.537142857142857;-4.235714285714286;-5.607142857142857;-2.2514285714285713;-4.761428571428572;-1061.6842857142858;-11.299999999999999;-3.367142857142857;-4.859999999999999;-5.0371428571428565;-8.470714285714285;-7.045714285714285;-4.13;-7.308571428571428;-5.111428571428571;-12.714285714285714;-4.935714285714285;-3.3314285714285714;-10.437142857142858;-9.22857142857143;-3.1114285714285717;-10.941428571428572;-3.160533333333333
2009-08-16;-3.882857142857143;-3.9271428571428575;-4.828571428571428;-3.962857142857143;-5.1499999999999995;-4.2057142857142855;-86.30428571428571;-5.027142857142857;-28.608571428571427;-3.492857142857143;-5.140000000000001;-16.38714285714286;-4.377142857142857;-5.578571428571428;-2.4585714285714286;-4.767142857142858;-1061.662857142857;-11.305714285714286;-3.4614285714285713;-4.805714285714286;-4.968571428571429;-8.394285714285715;-7.147142857142858;-4.144285714285714;-6.772857142857142;-5.54;-12.714285714285714;-4.941428571428572;-3.6142857142857143;-10.391428571428573;-9.344285714285714;-3.075714285714286;-10.921428571428573;-3.2188
2009-08-23;-3.9285714285714284;-3.957142857142857;-4.9157142857142855;-4.055714285714286;-5.180000000000001;-4.2457142857142856;-86.34714285714286;-4.988571428571428;-28.490000000000002;-3.5300000000000002;-5.215714285714285;-17.075714285714287;-4.51;-5.4399999999999995;-2.3728571428571428;-4.7542857142857144;-1061.58;-11.302857142857144;-3.584285714285714;-4.812857142857142;-4.997142857142857;-8.317857142857143;-7.241428571428571;-4.171428571428572;-6.087142857142857;-5.445714285714286;-12.7;-4.954285714285715;-3.6799999999999997;-10.337142857142856;-9.452857142857143;-3.04;-10.944285714285714;-3.2770666666666664
2009-08-30;-3.962857142857143;-3.9171428571428573;-4.828571428571428;-4.142857142857143;-5.238571428571428;-4.2628571428571425;-86.40599999999999;-5.027142857142857;-28.67142857142857;-3.544285714285714;-5.281428571428571;-17.638571428571428;-4.612857142857143;-5.535714285714286;-2.4371428571428573;-4.7;-1061.5514285714285;-11.281428571428572;-3.6042857142857145;-4.815714285714286;-5.032857142857142;-8.241428571428571;-7.2942857142857145;-4.188571428571429;-4.837142857142857;-5.351428571428571;-12.7;-4.951428571428571;-3.602142857142857;-10.301428571428572;-9.535714285714286;-3.0042857142857144;-10.895714285714286;-3.3353333333333333
2009-09-06;-3.97;-3.891428571428571;-4.7871428571428565;-4.231428571428571;-5.315714285714286;-4.275714285714286;-86.60111111111111;-5.131428571428572;-28.71;-3.565714285714286;-5.321428571428571;-18.11857142857143;-4.68;-5.702857142857143;-2.5014285714285713;-4.731428571428571;-1061.5228571428572;-11.364285714285714;-3.6014285714285714;-4.895;-5.095714285714286;-9.161428571428571;-7.29;-4.184285714285714;-4.615714285714286;-5.325714285714286;-12.671428571428569;-4.96;-3.524285714285714;-10.262857142857143;-9.60142857142857;-2.968571428571429;-10.861428571428572;-3.3936
2009-09-13;-3.96;-3.89;-4.7871428571428565;-4.307142857142857;-5.385714285714286;-4.301428571428572;-86.79622222222221;-5.182857142857143;-29.09857142857143;-3.575714285714286;-5.33;-18.50857142857143;-4.742857142857143;-5.7457142857142856;-2.5385714285714287;-4.785714285714286;-1061.4785714285715;-11.455714285714285;-3.6671428571428573;-4.944;-5.130000000000001;-9.139999999999999;-7.2871428571428565;-4.208571428571429;-3.8171428571428576;-5.035714285714286;-12.685714285714285;-4.967142857142856;-3.5914285714285716;-10.255714285714285;-9.662857142857144;-3.064285714285714;-10.905714285714286;-3.4518666666666666
2009-09-20;-3.912857142857143;-3.8242857142857143;-4.702857142857143;-4.354285714285714;-5.378571428571428;-4.241428571428572;-86.99133333333333;-5.1899999999999995;-29.12;-3.557142857142857;-5.244285714285715;-18.66714285714286;-4.564285714285714;-5.638571428571429;-2.4414285714285713;-4.768571428571428;-1061.4685714285715;-11.492857142857144;-3.5285714285714285;-4.957142857142857;-5.1571428571428575;-9.114285714285714;-7.067142857142857;-4.197142857142857;-2.337142857142857;-4.6499999999999995;-12.614285714285714;-4.928571428571429;-3.6614285714285715;-10.242857142857144;-9.645714285714286;-3.1514285714285712;-10.934285714285712;-3.5101333333333335
