date_mesure;02211X0023_CHE101;02582X0268_P11;02582X0208_F1;01541X0038_F1;01825X0091_P1;01258X0020_S1;01516X0021_S1;01812X0002_S1;02203X0002_S1;01853X0002_S1;02206X0022_S1;02943X0013_S1;01551X1013_S1;01516X0004_S1;02931X0008_S1;02603X0009_S1;02566X0019_S1;01834A0153_PZ1;02583X0065_P12;01837A0096_F2;02182X0004_P2;02594X0094_P13;02596X0045_P14;02606X0112_G5;02215X0049_P5;02218X0033_P6;02584X0024_FCH7;01522X0069_PZ2008;02184X0099_F48;02207X0069_P8;02208X0036_FCH9;02578X0043_F;02936X5004_F;01531X0047_F;02173X0008_F;01534X0049_F;02565X0019_P
2010-07-04;-63.37428571428571;-29.695714285714285;-46.91571428571428;-39.278571428571425;-8.376000000000001;-19.134285714285713;-21.212857142857143;-12.505714285714287;-43.27571428571429;-4.4799999999999995;-43.73857142857143;-18.791428571428572;-31.201428571428572;-21.140000000000004;-41.312;-25.094285714285714;-24.181428571428572;-8.65;-48.33142857142857;-3.8414285714285716;-38.54833333333334;-31.252857142857145;-26.974285714285713;-2.1214285714285714;-32.67142857142857;-16.931428571428572;-43.26142857142857;-15.702857142857143;-39.05;-44.66571428571428;-45.84428571428571;-30.69;-47.71857142857142;14.290000000000001;-19.732857142857142;-51.16571428571428;-23.321428571428573
2010-07-11;-63.36571428571428;-29.705714285714286;-46.92714285714286;-39.26285714285715;-8.378571428571428;-19.084285714285716;-21.197142857142858;-12.575714285714286;-43.16142857142857;-4.548571428571429;-43.78857142857142;-18.792857142857144;-31.2;-21.140000000000004;-41.269999999999996;-25.09142857142857;-24.23428571428571;-8.622857142857143;-48.36571428571428;-3.904285714285714;-38.56;-31.261428571428574;-27.024285714285718;-2.1285714285714286;-32.71;-16.98857142857143;-43.28285714285715;-15.957142857142857;-39.06;-44.73857142857143;-45.76714285714286;-30.67571428571429;-47.744285714285716;14.219999999999999;-19.73428571428571;-51.17285714285714;-23.395714285714288
2010-07-18;-63.357142857142854;-29.664285714285715;-46.90428571428571;-39.277142857142856;-8.368571428571428;-19.24857142857143;-21.181428571428572;-12.637142857142857;-42.96857142857142;-4.532857142857143;-43.81285714285714;-18.79714285714286;-31.215714285714284;-21.140000000000004;-41.246;-25.085714285714285;-24.214285714285715;-8.534285714285714;-48.355714285714285;-3.777142857142857;-38.53285714285715;-31.262857142857143;-27.0;-2.11;-32.745714285714286;-17.04285714285714;-43.31857142857143;-16.232857142857142;-39.07;-44.75857142857143;-45.771428571428565;-30.648571428571426;-47.76571428571429;14.268571428571429;-19.74142857142857;-51.12714285714286;-23.388571428571428
2010-07-25;-63.347142857142856;-29.677142857142858;-46.88;-39.22571428571428;-8.378571428571428;-19.382857142857144;-21.18;-12.702857142857143;-42.96857142857142;-4.5928571428571425;-43.83142857142857;-18.798571428571428;-31.22142857142857;-21.140000000000004;-41.25428571428571;-25.09714285714286;-24.23857142857143;-8.242857142857144;-48.362857142857145;-3.75;-38.55142857142857;-31.27;-27.05;-2.1214285714285714;-32.76285714285714;-17.094285714285714;-43.29142857142857;-16.47;-39.08;-44.792857142857144;-45.76142857142857;-30.625714285714285;-47.777142857142856;14.354285714285714;-19.73428571428571;-51.13714285714286;-23.312857142857144
2010-08-01;-63.33857142857143;-29.70285714285714;-47.089999999999996;-39.24714285714286;-8.385714285714286;-19.54;-21.177142857142858;-12.768571428571429;-43.12571428571429;-4.647142857142858;-43.87285714285714;-18.8;-31.22;-21.140000000000004;-41.33571428571429;-25.114285714285717;-24.37142857142857;-8.207142857142857;-48.395714285714284;-3.7585714285714285;-38.54714285714285;-31.285714285714285;-27.09857142857143;-2.1242857142857146;-32.800000000000004;-17.167142857142856;-43.27571428571429;-16.702857142857145;-39.09;-44.85285714285715;-45.68857142857143;-30.665714285714284;-47.79142857142857;14.564285714285715;-19.740000000000002;-51.13;-23.490000000000002
2010-08-08;-63.33571428571429;-29.74285714285714;-47.05142857142857;-39.26857142857143;-8.397142857142857;-19.67571428571429;-21.21;-12.817142857142857;-43.228571428571435;-4.671428571428572;-43.959999999999994;-18.802857142857142;-31.21857142857143;-21.147142857142857;-41.32;-25.141428571428573;-24.405714285714286;-8.372857142857143;-48.43714285714286;-3.7528571428571427;-38.55285714285714;-31.302857142857142;-27.12857142857143;-2.1366666666666667;-32.84142857142857;-17.204285714285714;-43.32;-16.994285714285713;-39.122;-44.92714285714286;-45.598571428571425;-30.75142857142857;-47.80857142857143;14.71;-19.75;-51.11857142857143;-23.563333333333333
2010-08-15;-63.33;-29.754285714285714;-46.99857142857143;-39.24428571428571;-8.412857142857144;-19.784285714285716;-21.238571428571426;-12.858571428571427;-43.222857142857144;-4.67;-44.00714285714286;-18.80857142857143;-31.224285714285713;-21.101428571428574;-41.33;-25.172857142857143;-24.467142857142857;-8.541428571428572;-48.471428571428575;-3.757142857142857;-38.55571428571428;-31.318571428571428;-27.16;-2.142857142857143;-32.87;-17.205714285714286;-43.348571428571425;-17.298571428571428;-39.154;-44.98142857142857;-45.519999999999996;-30.755714285714284;-47.825714285714284;14.333333333333334;-19.752857142857145;-51.12285714285714;-23.668333333333333
2010-08-22;-63.325714285714284;-29.687142857142856;-46.941428571428574;-39.23142857142857;-8.41;-19.842857142857145;-21.231428571428573;-12.879999999999999;-42.70428571428572;-4.101428571428571;-43.99428571428571;-18.80857142857143;-31.224285714285713;-21.09714285714286;-41.284285714285716;-25.202857142857145;-24.388571428571428;-8.444285714285714;-48.425714285714285;-3.665714285714286;-38.55571428571428;-31.32857142857143;-27.164285714285715;-2.06;-32.87;-17.017142857142858;-43.39142857142857;-17.53;-39.186;-44.95857142857143;-45.57857142857143;-30.714285714285715;-47.84142857142857;14.43857142857143;-19.754285714285714;-51.112857142857145;-23.564285714285713
2010-08-29;-63.324285714285715;-29.664285714285715;-46.91571428571428;-39.21142857142858;-8.418571428571429;-19.928571428571427;-21.225714285714286;-12.914285714285715;-42.712857142857146;-4.497142857142857;-43.964285714285715;-18.81;-31.231428571428573;-21.09;-41.26285714285715;-25.237142857142857;-24.405714285714286;-8.237142857142857;-48.39857142857143;-3.7014285714285715;-38.528571428571425;-31.32857142857143;-27.175714285714285;-2.097142857142857;-32.855714285714285;-17.13142857142857;-43.40714285714286;-17.714285714285715;-39.218;-44.95285714285715;-45.58;-30.67142857142857;-47.85285714285715;14.404285714285715;-19.754285714285714;-51.08714285714286;-23.494285714285713
2010-09-05;-63.32285714285714;-29.681428571428572;-46.90428571428571;-39.212857142857146;-8.454285714285714;-19.965714285714284;-21.238571428571426;-12.959999999999999;-42.84142857142857;-4.622857142857143;-44.00714285714286;-18.812857142857144;-31.181428571428572;-21.09;-41.271428571428565;-25.282857142857146;-24.382857142857144;-8.292857142857143;-48.434285714285714;-3.7971428571428567;-38.56285714285714;-31.364285714285717;-27.252857142857145;-2.1285714285714286;-32.88428571428572;-17.274285714285714;-43.455714285714286;-17.86285714285714;-39.25;-45.01142857142857;-45.50714285714286;-30.68285714285714;-47.86857142857143;14.322857142857144;-19.762857142857143;-51.128571428571426;-23.602857142857143
2010-09-12;-63.32;-29.68142857142857;-46.847142857142856;-39.19428571428572;-8.45142857142857;-20.025;-21.24142857142857;-13.001428571428573;-42.92;-4.661428571428572;-43.99857142857143;-18.81142857142857;-31.22;-21.118571428571425;-41.269999999999996;-25.32;-24.361428571428572;-8.431428571428572;-48.41428571428571;-3.73;-38.527142857142856;-31.358571428571427;-27.238571428571426;-2.1685714285714286;-32.90714285714286;-17.30857142857143;-43.45428571428572;-18.009999999999998;-39.207499999999996;-45.01714285714286;-45.480000000000004;-30.657142857142855;-47.87714285714286;14.288571428571428;-19.762857142857143;-51.074285714285715;-23.56142857142857
2010-09-19;-63.31285714285714;-29.7;-46.86857142857143;-39.19571428571429;-8.484285714285715;-20.01625;-21.25142857142857;-13.057142857142859;-42.971428571428575;-4.715714285714285;-44.058571428571426;-18.815714285714286;-31.185714285714287;-21.13;-41.271428571428565;-25.37142857142857;-24.334285714285716;-8.515714285714285;-48.44857142857143;-3.5966666666666662;-38.56;-31.382857142857144;-27.298571428571428;-2.1933333333333334;-32.91142857142857;-17.330000000000002;-43.558571428571426;-18.08;-39.165;-45.07714285714286;-45.417142857142856;-30.686666666666667;-47.885714285714286;14.245714285714286;-19.75857142857143;-51.11714285714286;-23.448571428571427
2010-09-26;-63.30714285714286;-29.675714285714285;-46.794285714285714;-39.18;-8.484285714285715;-20.0075;-21.27285714285714;-13.095714285714285;-43.02571428571429;-4.812857142857142;-44.050000000000004;-18.816666666666666;-31.23857142857143;-21.13;-41.271428571428565;-25.41857142857143;-24.298571428571428;-8.60142857142857;-48.41857142857143;-3.418;-38.528571428571425;-31.382857142857144;-27.292857142857144;-2.21;-32.931428571428576;-17.282857142857143;-43.70428571428572;-18.142222222222223;-39.1225;-45.089999999999996;-45.40428571428572;-30.664285714285715;-47.89142857142857;14.197142857142856;-19.76571428571429;-51.07285714285714;-23.381428571428568
2010-10-03;-63.30666666666667;-29.678571428571427;-46.76;-39.17714285714286;-8.492;-19.998749999999998;-21.274285714285718;-13.120000000000001;-42.92714285714286;-4.698571428571428;-44.06571428571429;-18.816;-31.252857142857145;-21.13;-41.26714285714286;-25.465714285714284;-24.234285714285715;-8.545;-48.42285714285714;-3.3000000000000003;-38.53142857142858;-31.40285714285714;-27.31142857142857;-2.1614285714285715;-32.957142857142856;-17.274285714285714;-43.762857142857136;-18.204444444444444;-39.08;-45.107142857142854;-45.40428571428571;-30.654285714285713;-47.89666666666667;14.145714285714286;-19.771428571428572;-51.06571428571429;-23.325714285714287
2010-10-10;-63.305;-29.68285714285714;-46.81857142857143;-39.18285714285714;-8.496666666666668;-19.99;-21.261428571428574;-13.14;-42.92142857142857;-4.525714285714286;-44.07714285714285;-18.82166666666667;-31.25142857142857;-21.13;-41.26571428571429;-25.518571428571427;-24.19857142857143;-8.4825;-48.434285714285714;-3.1357142857142857;-38.537142857142854;-31.415714285714284;-27.33285714285714;-2.164285714285714;-32.94714285714286;-17.27857142857143;-43.80285714285714;-18.26666666666667;-39.088;-45.11857142857143;-45.410000000000004;-30.634285714285713;-47.89857142857142;14.071428571428571;-19.775714285714287;-51.044285714285714;-23.271428571428572
2010-10-17;-63.30857142857143;-29.795714285714286;-46.92714285714286;-39.19285714285714;-8.525714285714285;-20.071428571428573;-21.277142857142856;-13.192857142857141;-43.05285714285714;-4.724285714285714;-44.13285714285714;-18.82428571428571;-31.187142857142856;-21.13;-41.28142857142858;-25.57857142857143;-24.17142857142857;-8.587142857142856;-48.50142857142857;-3.05;-38.57285714285714;-31.44142857142857;-27.39428571428571;-2.1914285714285713;-32.96142857142858;-17.35;-43.847142857142856;-18.275714285714287;-39.096;-45.17;-45.33857142857143;-30.614285714285717;-47.901428571428575;13.95142857142857;-19.782857142857146;-51.09142857142857;-23.238571428571426
2010-10-24;-63.3;-29.947142857142858;-47.16142857142857;-39.175714285714285;-8.544285714285715;-20.184285714285714;-21.304285714285715;-13.231428571428571;-43.11142857142857;-4.825714285714286;-44.205714285714286;-18.821428571428573;-31.18;-21.13;-41.269999999999996;-25.631428571428568;-24.142857142857142;-8.707142857142857;-48.567142857142855;-3.0028571428571427;-38.56;-31.437142857142856;-27.390000000000004;-2.1457142857142855;-32.96857142857143;-17.34714285714286;-43.800000000000004;-18.312857142857144;-39.104;-45.215714285714284;-45.27428571428572;-30.57857142857143;-47.89857142857142;13.887142857142857;-19.78142857142857;-51.09571428571429;-23.195714285714285
2010-10-31;-63.29714285714285;-29.768571428571427;-46.97714285714285;-39.22666666666667;-8.545714285714286;-20.231428571428573;-21.312857142857144;-13.255714285714285;-43.15428571428571;-4.885714285714286;-44.19857142857143;-18.821428571428573;-31.208571428571428;-21.13;-41.27571428571429;-25.693730158730155;-24.11285714285714;-8.751428571428571;-48.49;-2.775714285714286;-38.53142857142858;-31.437142857142856;-27.385714285714283;-2.1228571428571428;-32.98142857142857;-17.32857142857143;-43.86;-18.40285714285714;-39.111999999999995;-45.23428571428571;-45.21;-30.542857142857144;-47.89714285714285;13.825714285714286;-19.78;-51.18857142857143;-23.16
2010-11-07;-63.29714285714285;-29.74857142857143;-46.99142857142857;-39.218333333333334;-8.571428571428571;-20.24285714285714;-21.304285714285715;-13.267142857142858;-43.191428571428574;-4.945714285714286;-44.24142857142857;-18.825714285714287;-31.197142857142858;-21.13;-41.292857142857144;-25.756031746031745;-24.065714285714286;-8.787142857142857;-48.49857142857143;-2.4185714285714286;-38.57714285714285;-31.47;-27.415714285714284;-2.11;-33.042857142857144;-17.368571428571432;-43.99571428571429;-18.437142857142856;-39.12;-45.26857142857143;-45.151428571428575;-30.582857142857144;-47.89714285714285;13.765714285714285;-19.78857142857143;-51.271428571428565;-23.13
2010-11-14;-63.29857142857143;-29.594285714285714;-46.88428571428572;-39.21;-8.498571428571427;-19.535714285714285;-21.284285714285716;-13.222857142857142;-42.85857142857143;-3.4971428571428573;-44.10285714285714;-18.822857142857142;-31.37857142857143;-21.13;-41.25428571428571;-25.81833333333333;-24.048571428571428;-8.645714285714286;-48.287142857142854;-2.084285714285714;-38.449999999999996;-31.412857142857142;-26.132857142857144;-2.0628571428571427;-32.99428571428571;-16.805714285714284;-43.957142857142856;-18.138571428571428;-39.099999999999994;-45.13428571428572;-45.33571428571428;-30.494285714285716;-47.887142857142855;13.812857142857142;-19.774285714285718;-51.05142857142857;-23.084285714285716
2010-11-21;-63.269999999999996;-29.707142857142856;-46.97571428571428;-39.20166666666667;-8.555714285714286;-18.481428571428573;-21.244285714285716;-13.2;-42.848571428571425;-2.334285714285714;-44.14142857142857;-18.827142857142857;-31.235714285714288;-21.13;-41.29714285714285;-25.877142857142854;-24.04;-8.371428571428572;-48.394285714285715;-2.027142857142857;-38.58571428571429;-31.49142857142857;-26.02;-2.025714285714286;-32.94571428571429;-16.67142857142857;-44.07142857142857;-17.62142857142857;-39.08;-45.137142857142855;-45.357142857142854;-30.564285714285713;-47.89;13.654285714285715;-19.795714285714286;-51.145714285714284;-23.07857142857143
2010-11-28;-63.26428571428572;-29.7;-46.89714285714285;-39.193333333333335;-8.547142857142857;-18.80857142857143;-21.23428571428571;-13.218571428571428;-42.95285714285715;-2.32;-44.05714285714286;-18.827142857142857;-31.284285714285716;-21.13;-41.308571428571426;-25.934285714285714;-24.009999999999998;-8.31;-48.35285714285715;-1.8942857142857144;-38.535714285714285;-31.494285714285713;-25.98428571428571;-2.0300000000000002;-32.98285714285714;-16.888571428571428;-43.88428571428572;-17.224285714285713;-39.06;-45.07714285714286;-45.394285714285715;-30.504285714285714;-47.87714285714286;13.742857142857144;-19.795714285714286;-51.08142857142857;-23.05
2010-12-05;-63.262857142857136;-29.667142857142856;-46.93285714285714;-39.185;-8.57;-19.15285714285714;-21.25857142857143;-13.234285714285715;-43.029999999999994;-2.3428571428571425;-44.06142857142857;-18.83142857142857;-31.274285714285714;-21.13;-41.31428571428571;-25.995714285714286;-23.99857142857143;-8.45142857142857;-48.354285714285716;-2.7357142857142853;-38.56;-31.51142857142857;-26.127142857142854;-2.0228571428571427;-32.90857142857143;-16.91142857142857;-43.87714285714286;-17.11285714285714;-39.04;-45.06285714285714;-45.38428571428572;-30.505714285714284;-47.87571428571429;13.817142857142857;-19.8;-51.07285714285714;-23.03142857142857
2010-12-12;-63.26142857142857;-29.625714285714285;-46.89857142857142;-39.254999999999995;-8.594285714285714;-19.392857142857142;-21.271428571428572;-13.225714285714286;-43.05285714285714;-2.1885714285714286;-44.08;-18.83285714285714;-31.15285714285714;-21.13;-41.32142857142857;-26.048571428571428;-23.97;-8.574285714285713;-48.32857142857143;-3.225;-38.59571428571429;-31.527142857142856;-24.767142857142858;-1.957142857142857;-33.0;-16.318571428571428;-43.97428571428571;-17.214285714285715;-39.05;-45.05428571428571;-45.38285714285714;-30.512857142857143;-47.87428571428571;13.828571428571427;-19.804285714285715;-51.107142857142854;-23.018571428571427
2010-12-19;-63.24714285714286;-29.541428571428572;-46.714285714285715;-39.20375;-8.558571428571428;-19.518571428571427;-21.201428571428572;-13.195714285714287;-42.892857142857146;-1.75;-43.88428571428572;-18.828571428571426;-31.21857142857143;-21.13;-41.330000000000005;-26.062857142857144;-23.93285714285714;-8.558571428571428;-48.120000000000005;-3.1579;-38.48857142857143;-31.532857142857146;-25.165714285714284;-1.95;-32.78285714285714;-15.491428571428571;-43.88142857142857;-17.357142857142858;-39.06;-44.972857142857144;-45.612857142857145;-30.415714285714284;-47.862857142857145;13.924285714285714;-19.795714285714286;-51.027142857142856;-22.990000000000002
2010-12-26;-63.25;-29.342857142857145;-46.565714285714286;-39.1525;-8.542857142857143;-19.397142857142857;-21.16142857142857;-13.111428571428572;-42.51142857142857;-1.337142857142857;-43.74571428571429;-18.837142857142855;-31.22;-21.13;-41.392857142857146;-25.752857142857145;-23.93285714285714;-8.385714285714286;-47.88285714285714;-3.0908;-38.535714285714285;-31.49285714285714;-23.33857142857143;-1.7714285714285716;-32.682857142857145;-14.977142857142857;-44.01857142857143;-17.389999999999997;-39.07;-45.28142857142858;-45.722857142857144;-30.467142857142857;-47.855714285714285;13.982857142857142;-19.805714285714284;-50.98142857142857;-22.972857142857144
2011-01-02;-63.237142857142864;-29.304285714285715;-46.54714285714285;-39.07857142857143;-8.554285714285715;-19.334285714285716;-21.075714285714287;-13.032857142857143;-42.51387755102041;-1.3800000000000001;-43.42714285714286;-18.830000000000002;-31.10571428571429;-21.13;-41.385714285714286;-24.922857142857143;-23.89428571428571;-8.122857142857143;-47.79714285714285;-3.0237;-38.60142857142858;-31.554285714285715;-23.837142857142858;-1.6871428571428573;-32.441428571428574;-14.627142857142857;-43.99;-17.437142857142856;-39.08;-44.71;-45.92142857142857;-30.435714285714287;-47.84571428571429;13.962857142857144;-19.807142857142857;-51.05285714285714;-22.967142857142854
