date_mesure;00387X0184_PZCC1;00281X0002_F1;00207X0133_F1;00281X0004_F1;00146B0007_F1;00155C0017_F1;00471X0010_H1;00463X0036_H1;00182X0010_P1;00115X0011_P1;00291X0031_P1;00171X0051_P1;00113X0002_P1;00365X0003_P1;00198X0123_P1;00104X0054_P1;00275X0005_P1;00263X0006_P1;00792X0010_S1;01046X0010_S1;00855X0001_S1;01568X0101_S1;00794X0021_S1;00493X0061_S1;01293X0071_S1;00805X0002_S1;00625X0002_S1;00443X0042_S1;00671X0052_S1;01308X0082_S1;01277X0192_S1;00502X0003_S1;01031X0023_S1;01306X0023_S1;01066X0133_S1;00813X0043_S1;00847X0043_S1;01034X0014_S1;00654X0014_S1;00843X0024_S1;01561X0044_S1;00801X0005_S1;00335X0005_S1;01045X0015_S1;00807X0015_S1;00487X0015_S1;01553X1015_S1;00611X0035_S1;00821X0035_S1;01074X0006_S1;00665X0016_S1;00638X0116_S1;00845X0036_S1;00332X0007_S1;00501X0017_S1;00791X0017_S1;01287X0017_S1;00444X0008_S1;00484X0018_S1;00497X0018_S1;01028X0018_S1;01543X0028_S1;00608X0028_S1;01293X0048_S1;01024X0058_S1;00496X0019_S1;01264X0029_S1;00634X0039_S1;01042X0049_S1;00516X0059_S1;00341X0050_PZ1;00067X0183_PZ1;00253X0044_PZ1;00061X0117_PZ1;00254X0037_PZ1;00634X0147_PZ1;00225X0077_FC2;00148D0177_F2;00197X0049_F2;00271X0002_P2;00286X0405_PZST2;00471X0095_PZ2013;00216X0073_PZ3;00263X0129_PZASA4;00442X0050_P4;00378X0162_PZCAT4;00068X0147_PZ5;00663X0124_F_2008;00633X0132_FR.PAC;00103X0322_F;00651X0092_F;00637X0093_F;00465X0007_F;00837X0027_F;00238X0037_F;00817X0145_PZ_SN;00358X0216_PIEZO;00636X0020_P;01031X0031_P;00182X0031_P;00643X0031_P;00347X0002_P;00478X0002_P;00245X0003_P;00491X0013_P;00632X0023_P;01022X0073_P;00622X0014_P;00338X0014_P;01064X0054_P;00643X0015_P;00512X0206_P;00453X0026_P;00332X0036_P;00836X0007_P;00815X0067_P;00326X0018_P;00065X0148_P;00615X0019_P;00331X0051_F.SEP;00616X0040_PZ
2010-02-07;-2.4414285714285713;-9.015714285714285;-3.18;-28.478571428571428;-5.351428571428571;-6.247142857142857;-13.608571428571429;-45.31285714285714;-10.02;-16.462857142857143;-24.358571428571427;-29.55;-0.4928571428571429;-25.912857142857145;-20.06142857142857;-4.815714285714286;-9.215;-13.625714285714285;-42.540000000000006;-32.61571428571428;-16.592857142857145;-10.677142857142856;-40.06428571428571;-14.495714285714286;-35.92285714285715;-33.48428571428572;-75.00142857142858;-36.99142857142857;-6.717142857142858;-12.959999999999999;-14.08;-3.1614285714285715;-27.602;-15.827142857142858;-17.73;-27.377142857142854;-21.82857142857143;-33.58428571428572;-65.38857142857142;-25.391428571428573;-15.452857142857143;-45.71142857142858;-58.38285714285714;-14.968571428571428;-40.14;-31.58285714285714;-11.175714285714287;-21.189999999999998;-11.959999999999999;-20.572857142857142;-62.11857142857143;-8.817142857142857;-13.167142857142858;-20.551428571428573;-24.451428571428572;-34.924285714285716;-23.082857142857144;-41.25;-53.48285714285714;-53.410000000000004;-27.708571428571428;-24.744285714285716;-42.08857142857143;-27.631428571428568;-23.38;-15.615714285714287;-24.84857142857143;-18.275714285714287;-17.30857142857143;-15.375714285714285;-56.69714285714286;-25.687142857142856;-40.24285714285714;-13.27;-13.887142857142859;-25.204285714285714;-2.1471428571428572;-4.577142857142857;-2.8299999999999996;-19.88714285714286;-19.35;-14.14857142857143;-13.280000000000001;-32.21857142857143;-11.365714285714287;-22.647142857142857;-1.4828571428571429;-5.715714285714285;-17.332857142857144;-20.978333333333335;-29.942857142857143;-24.627142857142854;-73.82428571428571;-5.765714285714286;-15.875714285714285;-23.762857142857143;-25.88;-34.76714285714286;-30.058;-16.919999999999998;-20.650000000000002;-44.17285714285715;-34.05714285714286;-32.16285714285714;-21.09857142857143;-28.115714285714287;-3.327142857142857;-72.94285714285715;-52.285714285714285;-35.582857142857144;-25.148571428571426;-1.1157142857142857;-47.910000000000004;-50.41142857142857;-10.498571428571427;-24.28142857142857;-31.484285714285715;-0.9171428571428571;-19.654285714285717;-27.715714285714284;-9.638571428571428
2010-02-14;-2.422857142857143;-8.845714285714285;-3.09;-28.25;-5.274285714285715;-6.21;-13.370000000000001;-45.21857142857143;-8.362857142857143;-16.615714285714287;-24.368571428571432;-29.407142857142855;-0.5185714285714286;-25.73428571428571;-19.97714285714286;-4.947142857142857;-9.187142857142858;-13.301428571428572;-42.4;-32.53142857142858;-16.14857142857143;-10.584285714285715;-40.02571428571429;-14.082857142857142;-35.91857142857143;-33.36571428571428;-74.91714285714285;-37.75285714285714;-6.668571428571428;-12.931428571428572;-14.049999999999999;-4.4628571428571435;-27.497999999999998;-15.797142857142857;-17.73;-27.292857142857144;-20.295714285714286;-33.58857142857143;-64.28714285714285;-25.03857142857143;-15.377142857142857;-45.68285714285714;-58.354285714285716;-14.897142857142857;-40.042857142857144;-31.599999999999998;-11.17;-20.744285714285716;-11.90857142857143;-20.177142857142858;-60.449999999999996;-8.827142857142857;-13.1;-20.389999999999997;-24.39428571428571;-34.70142857142857;-23.092857142857145;-41.22571428571428;-53.49285714285714;-52.64142857142857;-27.34;-24.744285714285716;-42.25142857142857;-27.63714285714286;-22.744285714285716;-15.52;-24.84142857142857;-18.277142857142856;-17.265714285714285;-15.254285714285714;-55.50857142857143;-25.66857142857143;-39.934285714285714;-13.417142857142858;-13.581428571428571;-25.198571428571427;-2.0785714285714287;-4.514285714285714;-2.644285714285714;-19.787142857142857;-19.372857142857146;-13.91;-13.235714285714286;-32.18571428571429;-11.365714285714287;-22.647142857142857;-1.2485714285714287;-5.7299999999999995;-17.357142857142858;-20.985714285714288;-29.849999999999998;-24.614285714285717;-73.78999999999999;-5.7542857142857144;-15.784285714285714;-23.62;-25.785714285714285;-34.761428571428574;-29.962;-19.965714285714284;-20.684285714285714;-43.682857142857145;-34.002857142857145;-31.997142857142858;-21.06714285714286;-28.101428571428574;-3.281428571428571;-72.90857142857143;-52.128571428571426;-35.58857142857143;-25.15857142857143;-1.4214285714285713;-47.901428571428575;-50.24857142857143;-10.47;-24.12714285714286;-31.325714285714287;-1.092857142857143;-18.954285714285714;-27.357142857142858;-9.602857142857143
2010-02-21;-2.5271428571428567;-8.664285714285715;-3.05;-28.16142857142857;-5.17;-6.148571428571429;-13.127142857142857;-45.128571428571426;-9.76142857142857;-16.802857142857142;-24.361428571428572;-29.391428571428573;-0.5428571428571429;-25.69;-19.904285714285717;-5.081428571428572;-9.162857142857144;-13.007142857142856;-42.31571428571429;-32.470000000000006;-15.811428571428573;-10.515714285714285;-40.028571428571425;-13.977142857142857;-35.83428571428571;-33.22428571428571;-74.92285714285715;-37.66857142857143;-7.078571428571428;-12.912857142857144;-14.015714285714285;-5.558571428571429;-27.394;-15.73857142857143;-17.722857142857144;-27.12714285714286;-19.462857142857143;-33.55714285714286;-64.80428571428571;-24.689999999999998;-15.325714285714286;-45.651428571428575;-58.36571428571428;-14.782857142857143;-39.90714285714286;-31.63714285714286;-11.17;-20.46857142857143;-11.861428571428572;-20.084285714285716;-60.18285714285714;-8.817142857142857;-13.031428571428572;-20.39428571428571;-24.42285714285714;-34.598571428571425;-23.080000000000002;-41.128571428571426;-53.51428571428572;-52.598571428571425;-26.830000000000002;-24.722857142857144;-42.36;-27.638571428571428;-22.72;-15.432857142857143;-24.84;-18.262857142857143;-17.19;-15.209999999999999;-54.787142857142854;-25.83142857142857;-39.62;-13.567142857142857;-13.267142857142858;-25.177142857142858;-2.0742857142857143;-4.581428571428572;-2.5285714285714285;-19.650000000000002;-19.408571428571427;-13.667142857142858;-13.167142857142858;-32.14857142857143;-11.39;-22.639999999999997;-0.54;-5.684285714285714;-17.34;-20.99142857142857;-29.747142857142855;-24.555714285714284;-73.74142857142859;-5.752857142857143;-15.682857142857143;-23.494285714285716;-25.65285714285714;-34.73571428571429;-29.866;-22.271428571428572;-20.705714285714286;-43.347142857142856;-33.91428571428572;-31.77285714285714;-21.027142857142856;-28.080000000000002;-3.77;-72.87428571428572;-51.957142857142856;-35.58142857142857;-25.155714285714286;-1.502857142857143;-47.862857142857145;-50.111428571428576;-10.438571428571427;-23.92142857142857;-31.101428571428574;-1.157142857142857;-18.66142857142857;-26.85571428571429;-9.6
2010-02-28;-2.242857142857143;-8.615714285714287;-2.97;-28.077142857142857;-5.215714285714285;-6.075714285714286;-12.918571428571429;-45.040000000000006;-9.301428571428572;-16.88;-24.36285714285714;-29.464285714285715;-0.5671428571428571;-25.784285714285716;-19.810000000000002;-4.8914285714285715;-9.1;-12.782857142857143;-42.23285714285714;-32.38285714285714;-15.735714285714286;-10.462857142857144;-39.964285714285715;-13.70142857142857;-35.84428571428571;-33.06;-74.60571428571428;-36.66142857142857;-6.175714285714286;-12.861428571428572;-13.995714285714286;-2.802857142857143;-27.29;-15.678571428571429;-17.71857142857143;-26.95;-19.49857142857143;-33.51285714285714;-65.05;-24.580000000000002;-15.312857142857142;-45.58285714285715;-58.35285714285715;-14.657142857142857;-39.75857142857143;-31.657142857142855;-11.164285714285715;-20.135714285714283;-11.831428571428571;-20.037142857142857;-60.29;-8.797142857142857;-12.985714285714286;-20.25142857142857;-24.414285714285715;-34.34571428571429;-23.017142857142858;-41.00428571428572;-53.45428571428572;-52.462857142857146;-26.56142857142857;-24.70285714285714;-42.37285714285714;-27.641428571428573;-22.214285714285715;-15.354285714285714;-24.84;-18.245714285714286;-17.107142857142858;-15.135714285714286;-54.58142857142857;-25.851428571428574;-39.25857142857143;-13.752857142857142;-12.974285714285713;-25.157142857142855;-2.027142857142857;-4.468571428571429;-2.4114285714285715;-19.47;-19.435714285714287;-13.45857142857143;-13.142857142857142;-32.10285714285714;-11.338571428571429;-22.63;-0.9042857142857142;-5.652857142857143;-17.33142857142857;-20.99142857142857;-29.70285714285714;-24.53;-73.68571428571428;-5.744285714285715;-15.725714285714286;-23.235714285714288;-25.504285714285714;-34.68714285714286;-29.77;-17.048571428571428;-20.73;-43.050000000000004;-33.825714285714284;-31.495714285714286;-20.96857142857143;-28.062857142857144;-3.5685714285714285;-72.82857142857144;-51.74571428571429;-35.58428571428571;-25.16;-1.1857142857142857;-47.83857142857143;-49.99285714285714;-10.421428571428573;-23.625714285714285;-30.851428571428574;-0.7614285714285715;-18.007142857142856;-26.31714285714286;-9.541428571428572
2010-03-07;-1.937142857142857;-8.592857142857143;-2.97;-27.571428571428573;-5.311428571428571;-6.018571428571428;-12.575714285714286;-44.895714285714284;-5.125714285714286;-15.370000000000001;-24.34;-28.978571428571428;-0.59;-26.085714285714285;-19.685714285714287;-4.717142857142856;-8.967142857142857;-12.507142857142856;-42.00428571428572;-32.24142857142857;-15.70142857142857;-10.438571428571427;-39.82571428571429;-12.34;-35.978571428571435;-32.82857142857143;-74.12714285714286;-36.894285714285715;-5.292857142857143;-12.84142857142857;-13.998571428571427;-2.7199999999999998;-26.775555555555556;-15.629999999999999;-17.71857142857143;-26.69142857142857;-19.437142857142856;-33.401428571428575;-63.88;-24.55142857142857;-15.311428571428573;-45.49857142857143;-58.32857142857143;-14.544285714285715;-39.47571428571428;-31.554285714285715;-11.167142857142858;-19.384285714285713;-11.735714285714286;-19.965714285714284;-58.667142857142856;-8.79857142857143;-12.942857142857141;-20.03;-24.284285714285716;-33.854285714285716;-23.095714285714287;-40.88857142857143;-53.379999999999995;-51.152857142857144;-26.16;-24.76142857142857;-42.43714285714286;-27.65;-21.05;-15.092857142857143;-24.84;-18.27285714285714;-17.037142857142857;-14.977142857142857;-54.08857142857143;-24.881428571428568;-38.855714285714285;-13.635714285714286;-12.615714285714287;-25.13714285714286;-1.8857142857142857;-4.115714285714286;-2.2157142857142857;-19.25857142857143;-19.467142857142857;-13.115714285714287;-13.19;-32.05285714285714;-11.268571428571429;-22.62142857142857;-0.7857142857142857;-5.721428571428571;-17.377142857142857;-21.051428571428573;-29.622857142857146;-24.50142857142857;-73.62857142857142;-5.701428571428571;-15.755714285714285;-22.849999999999998;-25.29;-34.58857142857143;-29.301111111111112;-17.04285714285714;-20.762857142857143;-42.271428571428565;-33.66428571428572;-31.275714285714287;-20.81714285714286;-27.974285714285713;-3.3671428571428574;-72.76714285714286;-51.47571428571428;-35.61;-25.18285714285714;-0.76;-47.857142857142854;-49.878571428571426;-10.391428571428573;-23.267142857142858;-30.645714285714288;-0.8057142857142857;-16.45714285714286;-25.91142857142857;-9.421428571428573
2010-03-14;-2.1742857142857144;-8.391428571428571;-2.95;-27.33857142857143;-5.394285714285714;-5.9557142857142855;-12.095714285714285;-44.791428571428575;-6.301428571428572;-15.288571428571428;-24.237142857142857;-28.83285714285714;-0.6171428571428572;-25.67285714285714;-19.575714285714287;-4.895714285714286;-8.864285714285714;-12.192857142857141;-41.89714285714285;-32.14857142857143;-15.59;-10.43142857142857;-39.824285714285715;-11.785714285714286;-35.88428571428572;-32.59428571428572;-74.26;-37.09571428571429;-5.861428571428571;-12.77;-13.974285714285715;-4.778571428571429;-26.261111111111113;-15.542857142857143;-17.71;-26.287142857142857;-19.25;-33.28;-63.68857142857143;-24.502857142857145;-15.31;-45.52;-58.34285714285714;-14.40857142857143;-39.2;-31.564285714285713;-11.164285714285715;-18.985714285714288;-11.637142857142859;-19.81714285714286;-57.73857142857143;-8.81;-12.870000000000001;-20.062857142857144;-24.212857142857143;-33.78285714285715;-23.11285714285714;-40.76;-53.41857142857143;-50.40571428571429;-25.424285714285713;-24.745714285714286;-42.52285714285715;-27.65285714285714;-20.852857142857143;-14.89857142857143;-24.84;-18.282857142857143;-16.935714285714287;-14.894285714285715;-53.23285714285714;-25.15857142857143;-38.46714285714285;-13.448571428571428;-12.242857142857144;-25.108571428571427;-1.91;-4.2457142857142856;-2.064285714285714;-18.994285714285716;-19.478571428571428;-12.635714285714286;-13.271428571428572;-32.002857142857145;-11.345714285714285;-22.55142857142857;-0.45285714285714285;-5.757142857142857;-17.372857142857143;-21.084285714285716;-29.44142857142857;-24.405714285714286;-73.59714285714287;-5.695714285714287;-15.667142857142858;-22.66142857142857;-24.995714285714286;-34.471428571428575;-28.83222222222222;-21.318571428571428;-20.79;-41.57;-33.36142857142857;-31.03857142857143;-20.557142857142857;-27.904285714285713;-3.165714285714286;-72.76;-51.325714285714284;-35.612857142857145;-25.164285714285715;-1.1687500000000002;-47.83857142857143;-49.77571428571429;-10.362857142857141;-22.921428571428574;-30.448571428571427;-1.1957142857142855;-16.055714285714284;-25.551428571428573;-9.368571428571428
2010-03-21;-2.3542857142857145;-8.215714285714286;-2.99;-27.33142857142857;-5.325714285714286;-5.878571428571428;-11.732857142857142;-44.70285714285715;-8.734285714285715;-15.734285714285715;-24.16;-28.994285714285716;-0.6371428571428571;-25.99142857142857;-19.494285714285716;-5.015714285714286;-8.81;-11.968571428571428;-41.84285714285714;-32.02571428571429;-15.415714285714285;-10.429999999999998;-39.798571428571435;-11.879999999999999;-35.847142857142856;-32.348571428571425;-74.39999999999999;-36.862857142857145;-6.0528571428571425;-12.77;-13.982857142857142;-5.535714285714286;-25.74666666666667;-15.450000000000001;-17.70714285714286;-25.852857142857143;-19.104285714285716;-33.182857142857145;-64.13571428571429;-24.321428571428573;-15.31;-45.52571428571429;-58.371428571428574;-14.245714285714286;-38.95;-31.59;-11.167142857142858;-18.774285714285718;-11.574285714285713;-19.782857142857146;-58.23142857142857;-8.802857142857144;-12.815714285714288;-20.03;-24.24142857142857;-33.65857142857143;-23.12;-40.598571428571425;-53.43571428571429;-50.854285714285716;-25.107142857142858;-24.712857142857143;-42.54571428571428;-27.669999999999998;-20.724285714285713;-14.89;-24.542857142857144;-18.274285714285714;-16.824285714285715;-14.85142857142857;-53.037142857142854;-25.518571428571427;-38.05857142857143;-13.435714285714285;-11.935714285714285;-25.07;-1.9557142857142857;-4.348571428571429;-1.9914285714285713;-18.728571428571428;-19.49;-12.272857142857143;-13.264285714285714;-31.96142857142857;-11.387142857142859;-22.509999999999998;-0.43714285714285717;-5.747142857142856;-17.365714285714287;-21.45;-29.32857142857143;-24.285714285714285;-73.55428571428571;-5.718571428571429;-15.714285714285714;-22.419999999999998;-24.66;-34.33857142857143;-28.363333333333333;-22.872857142857146;-20.80857142857143;-41.14;-33.13428571428572;-30.82;-20.358571428571427;-27.889999999999997;-3.7399999999999998;-72.75714285714285;-51.09142857142857;-35.604285714285716;-25.147142857142857;-1.5775000000000001;-47.80142857142857;-49.67714285714286;-10.345714285714285;-22.445714285714285;-30.21142857142857;-1.2814285714285716;-15.98857142857143;-25.15857142857143;-9.35
2010-03-28;-2.467142857142857;-8.024285714285714;-3.01;-27.364285714285717;-5.28;-5.814285714285715;-11.441428571428572;-44.614285714285714;-11.138571428571428;-16.30857142857143;-24.114285714285717;-29.27857142857143;-0.7128571428571429;-25.487142857142857;-19.427142857142858;-5.194285714285714;-8.78;-11.858571428571429;-41.80142857142857;-31.84714285714286;-15.301428571428572;-10.429999999999998;-39.728571428571435;-12.042857142857143;-35.85857142857143;-32.13857142857143;-74.51142857142858;-36.575714285714284;-5.905714285714287;-12.685714285714285;-13.98857142857143;-5.377142857142857;-25.487142857142857;-15.374285714285715;-17.704285714285714;-25.415714285714284;-18.995714285714286;-33.08571428571429;-64.40285714285714;-24.194285714285716;-15.317142857142857;-45.47714285714286;-58.35142857142858;-14.097142857142858;-38.712857142857146;-31.61285714285714;-11.155714285714286;-18.657142857142855;-11.527142857142858;-19.768571428571427;-58.699999999999996;-8.792857142857143;-12.747142857142858;-20.004285714285714;-24.271428571428572;-33.51285714285714;-23.122857142857146;-40.42714285714286;-53.46714285714285;-51.371428571428574;-25.0;-24.884285714285713;-42.53142857142858;-27.669999999999998;-20.424285714285713;-14.934285714285712;-24.448571428571427;-18.27;-16.692857142857143;-14.83;-53.09428571428572;-25.792857142857144;-37.65428571428571;-13.569999999999999;-11.688571428571427;-25.042857142857144;-1.987142857142857;-4.422857142857143;-1.9614285714285715;-18.504285714285714;-19.50142857142857;-11.981428571428571;-13.222857142857142;-31.931428571428572;-11.39;-22.490000000000002;-0.4228571428571429;-5.721428571428571;-17.357142857142858;-21.478571428571428;-29.247142857142855;-24.16714285714286;-73.50142857142858;-5.7299999999999995;-15.885714285714286;-22.19857142857143;-24.36285714285714;-34.19285714285714;-28.124285714285715;-23.685714285714287;-20.83142857142857;-40.790000000000006;-33.042857142857144;-30.731428571428573;-20.222857142857144;-27.872857142857146;-3.9042857142857144;-72.72285714285714;-50.855714285714285;-35.61;-25.14428571428571;-1.6157142857142859;-47.76428571428572;-49.58428571428572;-10.320000000000002;-21.925714285714285;-30.002857142857145;-1.2428571428571427;-16.04;-24.83142857142857;-9.345714285714285
2010-04-04;-2.4971428571428573;-7.815714285714286;-3.04;-27.40142857142857;-5.298571428571429;-5.7542857142857144;-11.214285714285714;-44.53000000000001;-12.54857142857143;-16.824285714285715;-24.08;-29.545714285714286;-0.7299999999999999;-25.414285714285715;-19.361428571428572;-5.087142857142857;-8.755714285714285;-11.808571428571428;-41.74428571428571;-31.681428571428572;-15.207142857142857;-10.424285714285714;-39.60857142857143;-12.185714285714285;-35.86714285714286;-31.96142857142857;-74.43571428571428;-36.135714285714286;-5.552857142857143;-12.634285714285713;-14.02;-4.242857142857143;-25.174285714285713;-15.324285714285713;-17.702857142857145;-25.027142857142856;-19.145714285714288;-32.980000000000004;-64.56714285714285;-24.18;-15.328571428571427;-45.4;-58.32714285714286;-13.991428571428571;-38.52428571428572;-31.624285714285715;-11.152857142857144;-18.56714285714286;-11.498571428571427;-19.754285714285714;-59.08428571428572;-8.78;-12.694285714285714;-19.93;-24.275714285714287;-33.325714285714284;-23.124285714285715;-40.25857142857143;-53.42714285714286;-51.63428571428572;-24.997142857142855;-24.701428571428572;-42.441428571428574;-27.669999999999998;-20.092857142857145;-14.982857142857142;-24.358571428571427;-18.25857142857143;-16.58857142857143;-14.81;-53.135714285714286;-25.951428571428572;-37.25142857142857;-13.754285714285714;-11.474285714285715;-25.01571428571429;-1.9942857142857144;-4.4157142857142855;-1.9814285714285713;-18.330000000000002;-19.50714285714286;-11.754285714285714;-13.145714285714286;-31.912857142857145;-11.355714285714285;-22.47;-0.4128571428571428;-5.692857142857143;-17.332857142857144;-21.537142857142857;-29.18285714285714;-24.064285714285713;-73.43142857142857;-5.741428571428571;-16.05;-22.032857142857143;-24.09;-34.041428571428575;-27.84;-21.26571428571429;-20.842857142857145;-40.557142857142864;-33.037142857142854;-30.76142857142857;-20.13;-27.84;-3.457142857142857;-72.68285714285715;-50.61571428571428;-35.61;-25.127142857142854;-1.3671428571428572;-47.72714285714285;-49.49571428571429;-10.31;-21.479999999999997;-29.837142857142858;-1.0114285714285713;-16.017142857142858;-24.667142857142856;-9.302857142857144
2010-04-11;-2.3814285714285717;-7.645714285714286;-3.01;-27.415714285714284;-5.304285714285714;-5.735714285714287;-11.058571428571428;-44.449999999999996;-13.791428571428572;-17.342857142857145;-24.060000000000002;-29.785714285714285;-0.7728571428571429;-25.274285714285714;-19.327142857142857;-5.234285714285714;-8.74;-11.882857142857144;-41.68142857142857;-31.56;-15.164285714285715;-10.432857142857143;-39.50714285714286;-12.234285714285715;-35.962857142857146;-31.84857142857143;-74.43714285714285;-36.13;-5.078571428571429;-12.667142857142858;-13.942857142857141;-2.8042857142857143;-24.925714285714285;-15.319999999999999;-17.704285714285714;-24.77285714285714;-19.322857142857142;-32.86;-64.67571428571429;-24.214285714285715;-15.34;-45.34571428571429;-58.29571428571428;-13.95857142857143;-38.370000000000005;-31.647142857142857;-11.152857142857144;-18.512857142857143;-11.474285714285715;-19.774285714285718;-59.43857142857143;-8.791428571428572;-12.671428571428573;-19.90285714285714;-24.245714285714286;-33.074285714285715;-23.141428571428573;-40.112857142857145;-53.40857142857143;-51.58571428571429;-25.080000000000002;-24.73857142857143;-42.38285714285714;-27.678571428571427;-20.032857142857143;-15.037142857142857;-24.315714285714286;-18.274285714285714;-16.534285714285716;-14.78;-53.24142857142857;-26.134285714285713;-36.980000000000004;-13.961428571428572;-11.327142857142858;-25.01571428571429;-1.9885714285714287;-4.432857142857143;-2.0285714285714285;-18.231428571428573;-19.525714285714287;-11.598571428571429;-13.075714285714286;-31.91;-11.335714285714285;-22.48;-0.41571428571428576;-5.742857142857143;-17.364285714285717;-21.572857142857142;-29.131428571428575;-24.014285714285712;-73.39714285714285;-5.7128571428571435;-16.204285714285714;-21.93857142857143;-23.91714285714286;-33.910000000000004;-27.61285714285714;-21.17142857142857;-20.85571428571429;-40.472857142857144;-33.05714285714286;-30.93857142857143;-20.074285714285715;-27.810000000000002;-3.6357142857142857;-72.65714285714286;-50.43571428571429;-35.62714285714286;-25.131428571428568;-1.3399999999999999;-47.72571428571428;-49.48285714285714;-10.3;-21.175714285714285;-29.797142857142855;-1.1385714285714286;-15.955714285714285;-24.81714285714286;-9.23857142857143
