date_mesure;02388X0060_F1;03851X0021_S2;03128X0011_F;02442X0111_F;03822X0021_F;03113X0031_F;02465X0061_F;03493X0013_F;02451X0023_F;03114X0023_F;03462X0043_F;04184X0035_F;02431X0106_F;03871X0016_F;02408X0016_F;03546X0017_F;03152X0027_F;03107X0008_F;03124X0088_F;03884X0021_TF1PR;02396X0030_PZ;03486X0022_PZ;02478X0122_PZ;02047X0072_PZ;02034X0082_PZ;03101X0023_PZ;03535X0043_PZ;02413X0065_PZ;03137X0026_PZ;02803X0036_PZ;03516X0036_PZ;02385X0046_PZ;02478X0156_PZ;03182X0027_PZ;02782X0047_PZ;02812X0238_PZ;03175X0338_PZ;03473X0029_PZ;03162X0049_PZ;03834X0049_PZ
2006-03-26;-6.935714285714285;-0.9828571428571429;-12.497142857142858;-0.536;-1.865;-1.9528571428571428;-7.567142857142857;-7.7942857142857145;-1.1842857142857142;-3.468571428571429;-6.5600000000000005;-5.611428571428571;-1.9857142857142858;-8.8;-12.847142857142858;-3.032857142857143;-3.782857142857143;-6.458571428571429;-11.16;-5.998571428571429;-7.202857142857143;-20.740000000000002;-5.014285714285714;-4.95;-3.8985714285714286;-6.3342857142857145;-3.1885714285714286;-2.9642857142857144;-10.652857142857142;-0.9914285714285713;-3.3857142857142857;-0.9571428571428572;-4.984285714285714;-4.878571428571428;-5.03;-1.252857142857143;-2.2142857142857144;-3.935714285714286;-7.547142857142857;-8.59
2006-04-02;-5.791428571428571;-0.5971428571428571;-11.505714285714287;-0.53;-1.4742857142857144;-0.9742857142857143;-7.765714285714286;-6.817142857142857;-1.1857142857142855;-2.1914285714285713;-6.378571428571428;-3.7399999999999998;-1.8228571428571427;-8.31857142857143;-12.622857142857143;-2.468571428571429;-3.3814285714285717;-4.988571428571428;-9.27;-5.104285714285715;-6.202857142857143;-19.17142857142857;-4.937142857142858;-4.9957142857142856;-3.6314285714285712;-5.718571428571429;-2.934285714285714;-2.764285714285714;-9.501428571428573;-0.937142857142857;-2.9785714285714286;-0.8142857142857143;-4.9071428571428575;-4.667142857142857;-4.13;-1.2342857142857144;-2.2;-1.5857142857142856;-7.49;-7.322857142857143
2006-04-09;-6.464285714285714;-0.7485714285714286;-10.728571428571428;-0.5599999999999999;-1.7328571428571429;-1.4442857142857142;-7.884285714285714;-7.105714285714286;-1.332857142857143;-2.17;-6.295714285714285;-4.0371428571428565;-2.077142857142857;-8.364285714285714;-12.381428571428572;-2.2528571428571427;-3.1685714285714286;-5.312857142857142;-9.917142857142858;-4.151428571428572;-6.901428571428572;-18.201428571428572;-4.847142857142857;-5.091428571428572;-3.882857142857143;-5.992857142857143;-2.5214285714285714;-2.8957142857142855;-8.814285714285715;-1.04;-3.077142857142857;-1.147142857142857;-4.817142857142857;-4.4714285714285715;-4.7057142857142855;-1.2642857142857142;-2.2142857142857144;-2.8814285714285717;-7.171428571428572;-7.734285714285714
2006-04-16;-7.158571428571428;-0.9171428571428571;-11.202857142857143;-0.5971428571428571;-2.105714285714286;-2.012857142857143;-8.104285714285714;-7.545714285714285;-1.4885714285714287;-2.867142857142857;-6.434285714285714;-5.328571428571428;-2.2742857142857145;-8.767142857142856;-12.24;-2.4014285714285712;-3.262857142857143;-6.482857142857143;-11.35;-4.232857142857143;-7.885714285714286;-19.332857142857144;-4.8028571428571425;-5.347142857142857;-4.107142857142857;-6.3500000000000005;-2.4457142857142857;-3.108571428571428;-9.31;-1.2099999999999997;-3.5342857142857143;-1.447142857142857;-4.772857142857142;-4.572857142857143;-5.32;-1.2885714285714285;-2.224285714285714;-4.494285714285715;-7.011428571428572;-8.415714285714285
2006-04-23;-7.587142857142857;-1.0157142857142858;-11.717142857142857;-0.6357142857142858;-2.322857142857143;-2.4757142857142855;-8.168571428571429;-7.761428571428572;-1.4285714285714286;-3.7471428571428573;-6.585714285714286;-5.884285714285714;-2.3557142857142854;-9.069999999999999;-12.17;-2.5885714285714285;-3.3771428571428572;-7.438571428571429;-12.237142857142857;-4.432857142857143;-8.452857142857143;-20.37285714285714;-4.7942857142857145;-5.604285714285714;-4.232857142857143;-6.451428571428572;-2.537142857142857;-3.2528571428571427;-9.924285714285714;-1.217142857142857;-3.777142857142857;-1.6185714285714285;-4.764285714285714;-4.694285714285714;-5.640000000000001;-1.282857142857143;-2.22;-5.292857142857143;-7.107142857142857;-8.775714285714285
2006-04-30;-7.884285714285714;-1.1442857142857144;-12.16;-0.7157142857142856;-2.492857142857143;-2.9057142857142857;-8.147142857142857;-7.909999999999999;-1.5042857142857142;-4.474285714285714;-6.718571428571429;-6.265714285714286;-2.4714285714285715;-9.325714285714286;-12.171428571428573;-2.792857142857143;-3.5585714285714287;-8.120000000000001;-12.66;-4.661428571428572;-8.97;-21.138571428571428;-4.82;-5.9071428571428575;-4.387142857142857;-6.5;-2.6457142857142855;-3.4114285714285715;-10.47;-1.3071428571428572;-3.9857142857142853;-1.7685714285714287;-4.79;-4.855714285714286;-5.805714285714286;-1.31;-2.2257142857142855;-5.581428571428572;-7.3185714285714285;-9.017142857142858
2006-05-07;-8.057142857142857;-1.25;-12.497142857142858;-0.7414285714285714;-2.6357142857142857;-3.281428571428571;-8.06857142857143;-8.045714285714286;-1.5899999999999999;-4.965714285714285;-6.852857142857142;-6.602857142857142;-2.57;-9.525714285714287;-12.221428571428572;-2.96;-3.7399999999999998;-8.582857142857142;-13.388571428571428;-4.808571428571429;-9.37857142857143;-21.65285714285714;-4.844285714285713;-6.118571428571428;-4.4714285714285715;-6.562857142857142;-2.7228571428571433;-3.537142857142857;-10.897142857142857;-1.4142857142857144;-4.204285714285715;-1.8728571428571428;-4.814285714285714;-4.984285714285714;-5.897142857142858;-1.3371428571428574;-2.23;-5.718571428571429;-7.498571428571429;-9.185714285714285
2006-05-14;-8.167142857142858;-1.337142857142857;-12.822857142857144;-0.8171428571428571;-2.801428571428571;-3.6799999999999997;-8.064285714285715;-8.15857142857143;-1.6785714285714286;-5.348571428571428;-6.991428571428571;-6.9628571428571435;-2.597142857142857;-9.70142857142857;-12.347142857142858;-3.1357142857142857;-3.955714285714286;-8.947142857142856;-13.87;-4.974285714285714;-9.747142857142858;-22.052857142857142;-4.898571428571429;-6.3185714285714285;-4.574285714285714;-6.682857142857143;-2.84;-3.6557142857142857;-11.280000000000001;-1.5371428571428571;-4.421428571428572;-1.9728571428571426;-4.868571428571428;-5.135714285714286;-5.971428571428571;-1.3642857142857143;-2.24;-5.914285714285714;-7.751428571428571;-9.317142857142857
2006-05-21;-8.245714285714286;-1.4057142857142857;-13.06857142857143;-0.8228571428571428;-2.9200000000000004;-4.041428571428571;-8.1;-8.254285714285714;-1.7042857142857142;-5.652857142857143;-7.094285714285713;-7.281428571428571;-2.6614285714285715;-9.822857142857144;-12.471428571428572;-3.251428571428572;-4.175714285714286;-9.154285714285715;-14.192428571428572;-5.104285714285715;-9.964285714285714;-22.334285714285716;-4.934285714285714;-6.372857142857143;-4.6571428571428575;-6.748571428571429;-2.9114285714285715;-3.7585714285714285;-11.578571428571427;-1.6171428571428572;-4.4871428571428575;-2.0485714285714285;-4.904285714285714;-5.2299999999999995;-6.03;-1.3857142857142857;-2.2471428571428573;-6.051428571428572;-7.914285714285714;-9.368571428571428
2006-05-28;-8.214285714285714;-1.4271428571428573;-13.214285714285714;-1.0514285714285714;-3.0614285714285714;-4.218571428571429;-8.175714285714287;-8.277142857142858;-1.8257142857142858;-5.815714285714286;-7.112857142857143;-7.47;-2.7314285714285718;-9.927142857142856;-12.638571428571428;-3.4400000000000004;-4.372857142857143;-9.054285714285713;-14.514857142857142;-5.232857142857143;-9.094285714285714;-22.552857142857142;-5.0;-6.565714285714286;-4.7057142857142855;-6.618571428571428;-3.02;-3.7885714285714287;-11.767142857142858;-1.7314285714285715;-4.348571428571429;-2.1042857142857145;-4.97;-5.371428571428572;-6.031428571428571;-1.4142857142857141;-2.2642857142857142;-4.301428571428572;-8.18;-9.152857142857144
