code_bss;id_requete
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
10398X0063_111111;b938eff4-f300-45b4-8aa9-52a1c1f0f17e
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
10398X0063_111111;b938eff4-f300-45b4-8aa9-52a1c1f0f17e
10383X0025_111111;fcf2ba90-86fe-433d-9ffb-b1e455aa4475
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
10398X0063_111111;b938eff4-f300-45b4-8aa9-52a1c1f0f17e
10383X0025_111111;fcf2ba90-86fe-433d-9ffb-b1e455aa4475
09645X0035_111111;295f7f30-e968-4907-ad87-bcc7132c46b3
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
10398X0063_111111;b938eff4-f300-45b4-8aa9-52a1c1f0f17e
10383X0025_111111;fcf2ba90-86fe-433d-9ffb-b1e455aa4475
09645X0035_111111;295f7f30-e968-4907-ad87-bcc7132c46b3
09364X0017_111111;7530df0b-fea0-40d4-836f-e7bd13391e0c
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
10398X0063_111111;b938eff4-f300-45b4-8aa9-52a1c1f0f17e
10383X0025_111111;fcf2ba90-86fe-433d-9ffb-b1e455aa4475
09645X0035_111111;295f7f30-e968-4907-ad87-bcc7132c46b3
09364X0017_111111;7530df0b-fea0-40d4-836f-e7bd13391e0c
08635X0015_LZG211;90907dff-fdd1-413b-8a93-f9336cfb649e
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
10398X0063_111111;b938eff4-f300-45b4-8aa9-52a1c1f0f17e
10383X0025_111111;fcf2ba90-86fe-433d-9ffb-b1e455aa4475
09645X0035_111111;295f7f30-e968-4907-ad87-bcc7132c46b3
09364X0017_111111;7530df0b-fea0-40d4-836f-e7bd13391e0c
08635X0015_LZG211;90907dff-fdd1-413b-8a93-f9336cfb649e
09914X0391_V1191;8d0325b1-b6c1-4409-b000-b64eaf1e9aa4
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
10398X0063_111111;b938eff4-f300-45b4-8aa9-52a1c1f0f17e
10383X0025_111111;fcf2ba90-86fe-433d-9ffb-b1e455aa4475
09645X0035_111111;295f7f30-e968-4907-ad87-bcc7132c46b3
09364X0017_111111;7530df0b-fea0-40d4-836f-e7bd13391e0c
08635X0015_LZG211;90907dff-fdd1-413b-8a93-f9336cfb649e
09914X0391_V1191;8d0325b1-b6c1-4409-b000-b64eaf1e9aa4
10388X0001_OUPIA1;53bb77df-6f80-4c9c-820f-6d85a8e8d241
09654X0569_CNRP20;c544752a-85bc-4f94-b0cc-1ea438e29022
08592X0175_FOR170;837d7039-a1fb-4ebc-9748-a075a86cdd63
09892X0679_EXH70;92a9cb78-c86a-4d0b-be16-f0ba7c23d279
10615X0047_F0;c16c012f-588a-440e-a242-166388d0f7b1
09648X0083_F90-1;646b8305-4c82-4ad2-8ab3-d02138f29115
10906X0039_C2-1;e33e1ff7-e302-4727-a41d-d6d7463b5a41
10964X0119_NYLS-1;4d320300-64c1-4392-83dd-e6c388cb60a2
10602X0001_111111;721b995e-4671-41dd-a5e2-815bd97d29a9
10398X0063_111111;b938eff4-f300-45b4-8aa9-52a1c1f0f17e
10383X0025_111111;fcf2ba90-86fe-433d-9ffb-b1e455aa4475
09645X0035_111111;295f7f30-e968-4907-ad87-bcc7132c46b3
09364X0017_111111;7530df0b-fea0-40d4-836f-e7bd13391e0c
08635X0015_LZG211;90907dff-fdd1-413b-8a93-f9336cfb649e
09914X0391_V1191;8d0325b1-b6c1-4409-b000-b64eaf1e9aa4
