date_mesure;05068X0028_SP010;04514X0018_01;04808X0027_N11;04555X0093_F1;05078X0040_PZN1;06101X0202_SP1;03922X0027_S1;03555X6010_PZ1;03201X6016_PZ2;05086X0065_EL33;04518X0044_F3;05078X0041_PZN3;03593X0017_PZ14;04818X0544_PZ34;06074X0096_F4;03567X0041_PZ4;04513X0085_PZ5;03554X0029_PZ5;04193X0022_S2-6;02854X0024_PZ6;02507X0615_PZ6;04502X0043_SGB7;05334X0011_SF7;03207X0603_PZ7;04502X0044_SGB8;04202X0013_S9;05088X0134_B;06094X0181_F;04248X0022_F;04217X0003_F;05863X0203_F;04553X0023_F;04242X0053_F;04225X0014_F;05068X0054_F;04856X0084_F;05625X0036_F;05612X0007_F;05366X0035_PIEZO;04854X0296_P;05092X0009_P;04558X0072_AEP;05866X0091_SR;05858X0203_S;05865X0126_S;06102X0620_PZ;05103X0321_PZ;04532X0051_PZ;05082X0181_PZ;04851X0091_PZ;03195X0513_PZ;03564X0063_PZ;05086X0134_PZ;03904X0064_PZ;04562X0074_PZ;05857X0145_PZ;05123X0545_PZ;04838X0175_PZ;04541X0016_PZ;03925X0017_PZ;05854X0047_PZ;04854X0257_PZ;04855X0077_PZ;04231X0089_PZ
2011-12-25;1.4549999999999998;-1.0585714285714285;-2.45;-3.1457142857142855;-1.162;-6.095714285714286;-8.682857142857143;-6.75;-2.4171428571428573;-4.590000000000001;-1.9257142857142857;-1.01375;-21.03;-1.6714285714285713;-2.1928571428571426;-6.441428571428572;-4.147142857142858;-13.6;-2.7399999999999998;-5.475714285714285;-15.872857142857143;-2.1414285714285715;-0.96;-3.335714285714286;-2.3857142857142857;-4.86;-3.0342857142857147;-2.9699999999999998;-14.715714285714286;-5.301428571428572;-41.528571428571425;-4.38;-38.167142857142856;-3.204285714285714;2.575714285714286;-8.532857142857143;-83.14142857142858;-41.71;-69.99714285714286;-2.13;-3.8114285714285714;-13.171428571428573;-15.105714285714285;-17.622857142857143;-3.1999999999999997;-3.845;-7.261428571428572;-1.59;-1.9628571428571429;-16.702857142857145;-5.647142857142858;-3.705714285714286;-1.2685714285714287;-6.0042857142857144;-8.934285714285714;-2.7514285714285713;-14.795714285714284;-4.7299999999999995;-3.7485714285714287;-15.252857142857142;-42.220000000000006;-3.1814285714285715;-4.601428571428571;-12.448571428571428
2011-12-29;1.5257142857142856;-1.072857142857143;-2.439285714285714;-3.082142857142857;-1.1667142857142856;-5.863571428571429;-8.565;-6.578571428571429;-2.3364285714285717;-4.5114285714285725;-1.8314285714285714;-1.045625;-20.995;-1.6857142857142855;-2.124285714285714;-6.457142857142857;-4.188571428571429;-13.529285714285715;-2.7528571428571427;-5.535714285714286;-15.716428571428573;-2.105;-0.9078571428571429;-3.245;-2.4371428571428573;-4.811428571428571;-2.9692857142857143;-2.8457142857142856;-14.717142857142857;-5.295;-41.52499999999999;-4.375714285714286;-38.165;-3.204285714285714;2.625714285714286;-8.54;-83.39500000000001;-41.71428571428571;-70.12428571428572;-2.1742857142857144;-3.7507142857142854;-13.170714285714286;-14.547857142857143;-16.254285714285714;-3.109285714285714;-3.5075;-7.341428571428572;-1.5550000000000002;-1.9664285714285714;-16.700000000000003;-5.5478571428571435;-3.4392857142857145;-1.297857142857143;-5.973571428571429;-8.902857142857144;-2.7078571428571427;-14.833571428571428;-4.697142857142857;-3.7078571428571427;-15.292857142857141;-42.250714285714295;-3.1392857142857142;-4.5649999999999995;-12.167142857142856
2012-01-01;1.5571428571428572;-1.0871428571428572;-2.4285714285714284;-3.0185714285714282;-1.1714285714285713;-5.631428571428572;-8.447142857142856;-6.4071428571428575;-2.255714285714286;-4.432857142857143;-1.737142857142857;-1.0775000000000001;-20.96;-1.7;-2.0557142857142856;-6.472857142857143;-4.2299999999999995;-13.45857142857143;-2.7657142857142856;-5.595714285714286;-15.56;-2.0685714285714285;-0.8557142857142858;-3.154285714285714;-2.488571428571429;-4.762857142857143;-2.904285714285714;-2.7214285714285715;-14.718571428571428;-5.288571428571428;-41.521428571428565;-4.371428571428572;-38.16285714285714;-3.204285714285714;2.6757142857142857;-8.547142857142857;-83.64857142857143;-41.71857142857142;-70.25142857142858;-2.218571428571429;-3.69;-13.17;-13.99;-14.885714285714286;-3.0185714285714282;-3.1699999999999995;-7.421428571428572;-1.52;-1.97;-16.697142857142858;-5.448571428571428;-3.172857142857143;-1.3271428571428572;-5.942857142857143;-8.871428571428572;-2.664285714285714;-14.87142857142857;-4.664285714285714;-3.6671428571428573;-15.332857142857142;-42.28142857142858;-3.097142857142857;-4.5285714285714285;-11.885714285714286
2012-01-05;1.5885714285714287;-0.9964285714285714;-2.4021428571428567;-2.5735714285714284;-1.1257142857142857;-5.848571428571429;-8.335714285714285;-6.218571428571429;-2.047857142857143;-4.312857142857143;-1.6185714285714285;-1.109375;-20.98357142857143;-1.4085714285714286;-2.1064285714285713;-6.0285714285714285;-3.984285714285714;-13.38;-2.7114285714285717;-5.295;-10.215;-1.947142857142857;-0.8442857142857143;-2.9157142857142855;-2.3928571428571432;-4.398571428571429;-2.8014285714285716;-2.717857142857143;-14.692857142857143;-5.279285714285715;-41.56571428571428;-4.362857142857143;-38.122142857142855;-3.0614285714285714;2.7285714285714286;-8.552857142857142;-84.44428571428571;-41.86285714285714;-70.36000000000001;-2.092142857142857;-3.6021428571428573;-13.172142857142857;-14.427142857142858;-15.178571428571429;-3.0957142857142856;-3.1792857142857143;-6.973571428571429;-1.4435714285714285;-1.875714285714286;-16.682857142857145;-5.3221428571428575;-3.055714285714286;-1.2764285714285715;-5.912142857142857;-8.831428571428571;-2.7071428571428573;-14.771428571428572;-4.5771428571428565;-3.600714285714286;-15.318571428571428;-42.340714285714284;-3.0078571428571426;-4.477142857142857;-11.69357142857143
2012-01-08;1.5735714285714286;-0.9057142857142857;-2.3757142857142854;-2.1285714285714286;-1.08;-6.065714285714286;-8.224285714285715;-6.03;-1.84;-4.192857142857143;-1.5;-1.14125;-21.00714285714286;-1.1171428571428572;-2.157142857142857;-5.5842857142857145;-3.738571428571429;-13.301428571428572;-2.6571428571428575;-4.994285714285715;-4.87;-1.8257142857142856;-0.8328571428571429;-2.677142857142857;-2.2971428571428576;-4.034285714285714;-2.698571428571429;-2.7142857142857144;-14.667142857142858;-5.2700000000000005;-41.61;-4.354285714285714;-38.08142857142857;-2.9185714285714286;2.781428571428571;-8.55857142857143;-85.24000000000001;-42.00714285714286;-70.46857142857144;-1.9657142857142857;-3.5142857142857147;-13.174285714285714;-14.864285714285714;-15.471428571428572;-3.172857142857143;-3.1885714285714286;-6.525714285714286;-1.3671428571428572;-1.7814285714285716;-16.66857142857143;-5.195714285714286;-2.9385714285714286;-1.2257142857142858;-5.881428571428572;-8.791428571428572;-2.75;-14.671428571428573;-4.49;-3.5342857142857143;-15.304285714285713;-42.4;-2.9185714285714286;-4.425714285714286;-11.501428571428573
2012-01-12;1.5585714285714285;-0.9414285714285714;-2.3807142857142853;-2.1028571428571428;-1.0942857142857143;-5.886428571428572;-8.104285714285714;-5.892857142857142;-1.7992857142857144;-4.12;-1.4307142857142858;-1.173125;-21.002142857142857;-1.1957142857142857;-2.107142857142857;-5.545;-3.7885714285714283;-13.20357142857143;-2.6914285714285717;-5.167857142857143;-3.9142857142857146;-1.8164285714285713;-0.7871428571428571;-2.6478571428571427;-2.375714285714286;-3.9749999999999996;-2.6278571428571427;-2.692857142857143;-14.669285714285715;-5.257142857142858;-41.61857142857143;-4.34;-38.10785714285714;-2.9614285714285717;2.7649999999999997;-8.559285714285714;-85.49214285714287;-41.97714285714286;-70.54428571428572;-2.0021428571428572;-3.4921428571428574;-13.177142857142856;-16.370714285714286;-15.589285714285715;-3.178571428571429;-3.1585714285714284;-6.722857142857142;-1.3685714285714288;-1.7885714285714287;-16.655714285714286;-5.116428571428571;-2.932142857142857;-1.32;-5.840714285714286;-8.743571428571428;-2.772857142857143;-14.629285714285714;-4.493571428571428;-3.512857142857143;-15.339285714285715;-42.49642857142857;-2.86;-4.377142857142857;-11.299285714285716
2012-01-15;1.5564285714285715;-0.9771428571428571;-2.3857142857142857;-2.077142857142857;-1.1085714285714288;-5.707142857142857;-7.984285714285714;-5.755714285714285;-1.7585714285714287;-4.047142857142857;-1.3614285714285717;-1.205;-20.997142857142855;-1.2742857142857142;-2.0571428571428574;-5.505714285714285;-3.838571428571428;-13.105714285714287;-2.725714285714286;-5.341428571428572;-2.9585714285714286;-1.8071428571428572;-0.7414285714285714;-2.6185714285714283;-2.454285714285714;-3.915714285714286;-2.557142857142857;-2.6714285714285713;-14.671428571428573;-5.244285714285715;-41.62714285714286;-4.325714285714286;-38.13428571428572;-3.0042857142857144;2.7485714285714287;-8.56;-85.74428571428572;-41.94714285714286;-70.62;-2.0385714285714287;-3.4699999999999998;-13.179999999999998;-17.877142857142857;-15.707142857142857;-3.184285714285714;-3.1285714285714286;-6.92;-1.37;-1.7957142857142858;-16.642857142857142;-5.0371428571428565;-2.9257142857142857;-1.4142857142857144;-5.8;-8.695714285714287;-2.795714285714286;-14.587142857142856;-4.497142857142857;-3.4914285714285715;-15.374285714285715;-42.59285714285714;-2.801428571428571;-4.328571428571428;-11.097142857142858
2012-01-19;1.5542857142857145;-0.9957142857142857;-2.3728571428571428;-2.645714285714286;-1.1314285714285717;-5.611428571428572;-7.873571428571429;-5.701428571428572;-1.8157142857142858;-3.9992857142857146;-1.32;-1.2260714285714287;-20.994999999999997;-1.3335714285714286;-2.015714285714286;-5.797142857142857;-3.918571428571428;-13.014285714285716;-2.772857142857143;-5.580714285714286;-3.4157142857142855;-1.8399999999999999;-0.725;-2.6621428571428574;-2.503571428571428;-3.9464285714285716;-2.5964285714285715;-2.604285714285714;-14.680000000000001;-5.222857142857143;-41.61928571428571;-4.3100000000000005;-38.10071428571429;-3.047142857142857;2.7764285714285712;-8.565000000000001;-85.67142857142858;-41.905;-70.67214285714286;-2.100714285714286;-3.4814285714285713;-13.177142857142856;-17.21;-14.739285714285714;-3.115;-3.0285714285714285;-7.012142857142857;-1.3821428571428571;-1.8292857142857144;-16.64;-5.007857142857143;-2.9935714285714283;-1.4564285714285714;-5.787142857142857;-8.650714285714287;-2.765;-14.565;-4.500714285714286;-3.4850000000000003;-15.371428571428572;-42.69857142857143;-2.79;-4.3185714285714285;-10.93
2012-01-22;1.5507142857142857;-1.0142857142857142;-2.36;-3.2142857142857144;-1.1542857142857144;-5.515714285714286;-7.762857142857143;-5.647142857142858;-1.8728571428571428;-3.9514285714285715;-1.2785714285714285;-1.247142857142857;-20.99285714285714;-1.3928571428571428;-1.9742857142857144;-6.088571428571428;-3.998571428571428;-12.922857142857143;-2.82;-5.82;-3.8728571428571428;-1.8728571428571428;-0.7085714285714285;-2.705714285714286;-2.5528571428571425;-3.9771428571428573;-2.6357142857142857;-2.537142857142857;-14.68857142857143;-5.201428571428572;-41.61142857142857;-4.2942857142857145;-38.06714285714286;-3.09;2.8042857142857143;-8.57;-85.59857142857143;-41.862857142857145;-70.72428571428571;-2.162857142857143;-3.492857142857143;-13.174285714285714;-16.54285714285714;-13.771428571428572;-3.045714285714286;-2.9285714285714284;-7.104285714285715;-1.3942857142857144;-1.862857142857143;-16.63714285714286;-4.978571428571429;-3.0614285714285714;-1.4985714285714287;-5.774285714285715;-8.605714285714287;-2.7342857142857144;-14.542857142857143;-4.5042857142857144;-3.4785714285714286;-15.368571428571428;-42.80428571428571;-2.7785714285714285;-4.308571428571429;-10.762857142857143
2012-01-26;1.5471428571428572;-1.0150000000000001;-2.3435714285714284;-3.3807142857142862;-1.1692857142857143;-5.477142857142857;-7.691428571428572;-5.662857142857144;-1.9049999999999998;-3.9085714285714284;-1.2642857142857142;-1.26;-21.000714285714285;-1.4285714285714284;-1.9521428571428572;-6.298571428571428;-4.0528571428571425;-12.884285714285713;-2.867142857142857;-5.984285714285715;-3.3735714285714287;-1.8978571428571427;-0.7192857142857143;-2.7164285714285716;-2.584285714285714;-4.0042857142857144;-2.6728571428571426;-2.482142857142857;-14.662142857142857;-5.1850000000000005;-41.60142857142857;-4.281428571428572;-38.03714285714286;-3.111428571428571;2.7528571428571427;-8.57857142857143;-85.52642857142857;-41.869285714285716;-70.78999999999999;-2.2007142857142856;-3.5057142857142853;-13.161428571428573;-15.605714285714285;-13.235714285714288;-2.9749999999999996;-2.871428571428571;-7.386428571428572;-1.3964285714285714;-1.8755952380952383;-16.634999999999998;-4.967857142857143;-3.133571428571429;-1.5385714285714287;-5.767857142857143;-8.567857142857143;-2.6950000000000003;-14.535714285714285;-4.512857142857143;-3.472857142857143;-15.355714285714285;-42.92999999999999;-2.770714285714286;-4.305714285714286;-10.649285714285714
