date_mesure;02516X0071_P3-90;01446X0005_S3-91;01506X0016_P1;01474X0048_P1;01801X0010_S1;01245X0010_S1;00985X0040_S1;00592X0001_S1;01487X0001_S1;01252X0011_S1;01795X0011_S1;01807X0051_S1;00773X0002_S1;00993X0002_S1;00578X0002_S1;01198X0002_S1;01461X0012_S1;02535X0012_S1;01508X0133_S1;01192X0043_S1;00578X0043_S1;00762X0004_S1;01013X0004_S1;00766X0004_S1;00604X0224_S1;01251X0044_S1;01193X0044_S1;01017X0074_S1;00583X0005_S1;02144X0005_S1;00957X0005_S1;01794X0035_S1;00956X0055_S1;00755X0006_S1;00608X0206_S1;01805X0036_S1;01213X0166_S1;01216X0086_S1;00776X0096_S1;01211X0037_S1;01473X0087_S1;01003X0008_S1;01756X0008_S1;00777X0008_S1;01491X0009_S1;01206X0009_S1;02527X0009_S1;00987X0009_S1;00435X0079_S1;00941X0034_S-2;01227X0038_S22;02895X0004_FE1-92;02133X0008_S1-92;01195X0200_F2;01234X0297_F2;02523X0002_S2;01768X0022_S2;00765X0124_BT2;01792X0020_PZ2;02535X0018_FE1-93;02883X0017_F3;01242X0530_FN3;00775X0099_F14;00937X0030_F4;02135X0016_S4;02131X0018_S4;00974X0128_PZ1908;01198X0029_S8;02531X0001_F;01176X0061_F;00945X0064_F;01778X0015_F;02503X0011_FO;01508X0100_P;01493X0001_P;02152X0051_P;00732X0032_P;01776X0023_P;01803X0004_P;02101X0044_P;00581X0015_P;01011X0045_P;01168X0065_P;01232X0006_P;00445X0006_P;00606X0086_P;00441X0007_P;01186X0007_P;02473X0037_P;00588X0037_P;01465X0067_P;01004X0019_P;02523X0029_P;00582X0069_P;BSS003UJSA_X;BSS003VFXE_X;BSS003UJOK_X;BSS003VEVM_X;BSS003VEUS_X;BSS003UKJY_X;BSS003VETY_X;BSS003VFXY_X
2009-05-21;-6.722857142857143;-6.5200000000000005;-68.54;-7.488571428571428;-19.057142857142857;-38.56428571428571;-33.91;-53.89;-24.95;-19.6;-17.964285714285715;-6.951428571428572;-31.537142857142857;-88.4;-49.12714285714286;-21.43;-26.398571428571426;-31.824285714285715;-1.82;-18.40285714285714;-2.71;-30.994285714285716;-42.88;-66.62;-61.12714285714286;-68.63285714285713;-13.208333333333332;-19.048571428571428;-61.17857142857143;-26.864285714285717;-5.655714285714287;-32.11666666666667;-4.541428571428571;-83.76571428571428;-36.54714285714286;-14.443999999999999;-1.9566666666666666;-18.627142857142854;-1.7214285714285715;-12.803333333333333;-27.192857142857143;-55.83142857142857;-4.992857142857143;-36.567142857142855;-41.12428571428571;-6.645;-7.992857142857143;-64.80571428571429;-59.62714285714286;-1.3614285714285717;-17.75857142857143;-1.4485714285714286;-15.945;-1.9957142857142856;14.435714285714285;-8.38857142857143;-4.43;-2.0157142857142856;-27.762857142857143;-2.051428571428571;-13.49;-5.612857142857143;-2.132857142857143;-1.4014285714285712;-13.632857142857144;-9.120000000000001;-3.322;-1.6342857142857141;-60.19666666666667;-2.5300000000000002;-1.0842857142857143;-3.3528571428571428;-14.952857142857143;-31.56;-41.90857142857143;-33.53142857142857;-1.98;-4.627142857142857;-63.74857142857143;-9.947142857142856;-64.58;-4.51;-3.65;-46.792857142857144;-39.56142857142857;-24.217142857142857;-55.31714285714286;-1.3628571428571428;-7.107142857142857;-23.594285714285714;-13.787142857142856;-1.9985714285714287;-11.39857142857143;-4.144285714285714;-1.57;-0.8428571428571429;-3.88;-1.7214285714285715;-1.9157142857142857;-1.0;-1.4728571428571429;-7.655714285714287
2009-05-28;-6.498571428571429;-6.57;-68.558;-7.53;-18.954285714285714;-38.660000000000004;-33.922;-54.01;-24.951999999999998;-19.595714285714287;-18.314285714285717;-6.977142857142858;-32.02571428571429;-88.408;-49.18142857142857;-21.478571428571428;-26.374285714285712;-31.84;-1.836;-18.34;-2.717142857142857;-31.077142857142857;-42.94428571428572;-66.682;-61.175714285714285;-68.6557142857143;-13.146666666666667;-19.094285714285714;-61.24285714285714;-26.935714285714287;-5.741428571428571;-32.13285714285714;-4.732857142857142;-83.7942857142857;-36.64142857142857;-14.549199999999999;-1.9733333333333334;-18.96;-1.7457142857142858;-12.826666666666666;-27.208571428571428;-55.854285714285716;-5.057142857142857;-36.82285714285714;-41.137142857142855;-6.45;-8.007142857142856;-64.81857142857143;-59.63;-1.3699999999999999;-17.76;-1.4242857142857142;-15.9725;-2.0228571428571427;14.331428571428571;-8.428571428571429;-4.418571428571428;-2.164285714285714;-27.802857142857142;-2.047142857142857;-13.538571428571428;-5.660000000000001;-2.0742857142857143;-1.4328571428571428;-13.62142857142857;-9.112857142857143;-3.3229333333333333;-1.5742857142857143;-60.193333333333335;-2.544285714285714;-1.1014285714285716;-3.367142857142857;-14.89857142857143;-31.57;-41.90857142857142;-33.55428571428571;-2.0;-4.667142857142857;-63.792857142857144;-9.962857142857144;-64.574;-4.5128571428571425;-3.6785714285714284;-46.79571428571428;-40.17714285714286;-24.534285714285716;-55.41428571428571;-1.3800000000000001;-7.0842857142857145;-23.72142857142857;-13.821428571428571;-2.0028571428571427;-11.421428571428573;-4.175714285714286;-1.77;-0.8471428571428571;-3.8985714285714286;-1.7514285714285713;-1.9514285714285715;-1.022857142857143;-1.375714285714286;-7.467142857142858
2009-06-04;-6.748571428571429;-6.489999999999999;-68.57600000000001;-7.524285714285715;-18.944285714285716;-38.730000000000004;-33.934;-54.019999999999996;-24.954;-19.592857142857145;-17.877142857142857;-6.985714285714286;-32.52142857142857;-88.416;-49.20857142857143;-21.392857142857142;-26.35;-31.85571428571429;-1.852;-18.34;-2.738571428571429;-31.16857142857143;-42.98142857142857;-66.744;-61.18571428571429;-68.6557142857143;-13.085;-19.15142857142857;-61.25285714285714;-26.98;-5.777142857142857;-32.152857142857144;-4.8757142857142854;-83.79857142857144;-36.71;-14.654399999999999;-1.99;-19.384285714285713;-1.7671428571428573;-12.85;-27.222857142857144;-55.862857142857145;-5.104285714285715;-37.04571428571428;-41.18571428571429;-6.255;-8.015714285714285;-64.80142857142857;-59.61;-1.4271428571428573;-17.75714285714286;-1.4585714285714284;-16.0;-2.042857142857143;14.364285714285714;-8.467142857142857;-4.470000000000001;-2.4114285714285715;-27.771428571428572;-2.0657142857142854;-13.507142857142856;-5.925714285714286;-2.024285714285714;-1.4599999999999997;-13.654285714285715;-9.182857142857143;-3.3238666666666665;-1.6228571428571428;-60.19;-2.5357142857142856;-1.127142857142857;-3.384285714285714;-14.85;-31.58;-41.90714285714285;-33.59428571428572;-2.0142857142857142;-4.819999999999999;-63.75142857142857;-9.977142857142857;-64.568;-4.515714285714286;-3.704285714285714;-46.78142857142858;-40.769999999999996;-24.845714285714287;-55.50857142857143;-1.3900000000000001;-7.124285714285714;-23.82;-13.858571428571427;-2.0157142857142856;-11.45142857142857;-4.21;-1.82;-0.8885714285714286;-4.2457142857142856;-1.8042857142857145;-1.9757142857142858;-1.1114285714285714;-1.5542857142857145;-7.472857142857143
2009-06-11;-6.808571428571428;-6.585999999999999;-68.594;-7.54;-18.998;-38.75571428571429;-33.946;-54.11714285714286;-24.956;-19.6;-17.53142857142857;-6.922857142857143;-33.05428571428571;-88.424;-49.285714285714285;-21.534285714285716;-26.325714285714287;-31.885714285714283;-1.8679999999999999;-18.37142857142857;-2.737142857142857;-31.275714285714287;-43.07714285714286;-66.80600000000001;-61.222857142857144;-68.66285714285713;-13.023333333333333;-19.19;-61.35285714285715;-27.231428571428573;-5.82;-32.144285714285715;-4.861428571428571;-83.80714285714285;-36.82;-14.7596;-2.006666666666667;-18.568571428571428;-1.7900000000000003;-12.873333333333333;-27.27;-55.901428571428575;-5.114285714285714;-37.32142857142857;-41.128571428571426;-6.06;-8.032857142857143;-64.82714285714285;-59.64142857142857;-1.3900000000000001;-17.754285714285714;-1.42;-16.0275;-2.037142857142857;14.277142857142858;-8.481428571428571;-4.458571428571429;-2.525714285714286;-27.747142857142855;-2.045714285714286;-13.6;-5.715714285714286;-2.0814285714285714;-1.4757142857142858;-13.654285714285715;-9.242857142857144;-3.3248;-1.6185714285714285;-60.18666666666667;-2.5928571428571425;-1.12;-3.315714285714286;-14.961428571428572;-31.59;-41.910000000000004;-33.61857142857143;-2.0114285714285716;-4.822857142857143;-63.78285714285715;-9.987142857142857;-64.562;-4.521428571428571;-3.724285714285714;-46.787142857142854;-41.36571428571428;-25.16857142857143;-55.59571428571429;-1.3885714285714286;-7.138571428571429;-23.965714285714284;-13.877142857142857;-2.0085714285714285;-11.455714285714285;-4.228571428571429;-1.7057142857142857;-0.8342857142857143;-4.171428571428572;-1.7571428571428573;-1.9514285714285715;-1.1214285714285714;-1.5271428571428571;-7.575714285714286
2009-06-18;-6.747142857142857;-6.6819999999999995;-68.612;-7.613333333333333;-19.011499999999998;-38.84571428571429;-33.958;-54.201428571428565;-24.958000000000002;-19.595714285714287;-18.639999999999997;-6.96;-33.542857142857144;-88.432;-49.361428571428576;-21.607142857142858;-26.40142857142857;-31.89428571428571;-1.884;-18.58857142857143;-2.7600000000000002;-31.388571428571428;-43.17285714285714;-66.86800000000001;-61.287142857142854;-68.68714285714286;-12.961666666666666;-19.207142857142856;-61.42142857142857;-27.3;-5.908571428571428;-32.15;-4.951428571428571;-83.83;-36.90714285714286;-14.8648;-2.0233333333333334;-18.428571428571427;-1.812857142857143;-12.896666666666667;-27.287142857142857;-55.94714285714286;-5.258571428571429;-37.611428571428576;-41.17142857142857;-5.865;-8.045714285714286;-64.83142857142857;-59.67142857142857;-1.457142857142857;-17.767142857142858;-1.4414285714285715;-16.055;-2.0828571428571427;14.22;-8.514285714285714;-4.5200000000000005;-2.8185714285714285;-27.791428571428572;-2.0614285714285714;-13.605714285714285;-5.857142857142857;-2.1271428571428572;-1.52;-13.677142857142856;-9.264285714285714;-3.3257333333333334;-1.6842857142857142;-60.18333333333334;-2.5985714285714283;-1.1357142857142857;-3.3842857142857143;-15.041428571428572;-31.599999999999998;-41.90857142857142;-33.63;-2.0628571428571427;-5.035714285714286;-63.80428571428571;-10.017142857142858;-64.556;-4.5442857142857145;-3.7457142857142856;-46.798571428571435;-41.98142857142857;-25.502857142857145;-55.69;-1.5914285714285714;-7.178571428571429;-24.117142857142856;-13.929999999999998;-2.017142857142857;-11.464285714285714;-4.28;-1.8900000000000001;-0.9471428571428572;-4.121428571428572;-1.832857142857143;-1.9957142857142856;-1.1385714285714286;-1.6171428571428572;-7.672857142857143
2009-06-25;-6.877142857142857;-6.7780000000000005;-68.63;-7.44;-19.025;-38.917142857142856;-33.97;-54.24571428571429;-24.96;-19.595714285714287;-18.38714285714286;-7.001428571428571;-33.84142857142857;-88.44;-49.41571428571429;-21.548571428571428;-26.672857142857143;-31.90857142857143;-1.9;-18.791428571428572;-2.7600000000000002;-31.509999999999998;-43.24571428571429;-66.93;-61.32285714285714;-68.69;-12.9;-19.262857142857143;-61.470000000000006;-27.3;-5.972857142857143;-32.17857142857143;-5.122857142857143;-83.83428571428571;-36.972857142857144;-14.97;-2.04;-18.488571428571426;-1.8314285714285714;-12.92;-27.298571428571428;-55.97714285714285;-5.331428571428572;-37.80142857142857;-41.19714285714286;-5.67;-8.055714285714286;-64.82857142857144;-59.68857142857143;-1.497142857142857;-17.757142857142856;-1.5057142857142856;-16.0825;-2.1157142857142857;14.20142857142857;-8.551428571428572;-4.552857142857143;-2.8314285714285714;-27.85571428571429;-2.1014285714285714;-13.617142857142857;-5.761428571428572;-2.1842857142857146;-1.6071428571428572;-13.704285714285716;-9.33;-3.3266666666666667;-1.6814285714285713;-60.18;-2.5985714285714288;-1.157142857142857;-3.4200000000000004;-15.104285714285714;-31.61;-41.90714285714285;-33.644285714285715;-2.097142857142857;-4.795714285714285;-63.80428571428571;-10.040000000000001;-64.55;-4.5442857142857145;-3.77;-46.78142857142858;-42.548571428571435;-25.785714285714285;-55.771428571428565;-1.6857142857142855;-7.21;-24.23857142857143;-13.957142857142857;-1.9957142857142858;-11.49;-4.317142857142857;-2.1014285714285714;-1.0242857142857142;-4.25;-1.9114285714285713;-2.047142857142857;-1.23;-1.6914285714285715;-7.698571428571428
2009-07-02;-6.8914285714285715;-6.8740000000000006;-68.6425;-7.525714285714286;-19.064285714285713;-38.96857142857143;-33.9825;-54.298571428571435;-24.955000000000002;-19.59142857142857;-18.77285714285714;-7.05;-34.30714285714286;-88.45;-49.48857142857143;-21.514285714285712;-26.66;-31.928571428571427;-1.91;-18.928571428571427;-2.774285714285714;-31.63;-43.32571428571429;-67.0325;-61.339999999999996;-68.69428571428571;-12.896;-19.298571428571428;-61.550000000000004;-27.3;-6.038571428571429;-32.2;-5.311428571428571;-83.8457142857143;-37.04;-15.005;-2.204;-19.565714285714286;-1.8542857142857143;-12.932;-27.32;-56.0;-5.384285714285714;-37.965714285714284;-41.222857142857144;-6.016;-8.071428571428571;-64.83142857142857;-59.68571428571429;-1.497142857142857;-17.74;-1.5771428571428572;-16.11;-2.1542857142857144;14.12857142857143;-8.592857142857143;-4.521428571428571;-3.051428571428571;-27.84714285714286;-2.13;-13.661428571428571;-6.0200000000000005;-2.217142857142857;-1.66;-13.735714285714286;-9.477142857142857;-3.257142857142857;-1.6842857142857142;-60.17;-2.6371428571428575;-1.1785714285714286;-3.455714285714286;-15.211428571428572;-31.605;-41.910000000000004;-33.667142857142856;-2.1414285714285715;-4.74;-63.82857142857143;-10.06;-64.585;-4.564285714285715;-3.7885714285714287;-46.77;-43.09428571428572;-26.062857142857144;-55.855714285714285;-1.5142857142857142;-7.238571428571428;-24.384285714285713;-13.987142857142857;-2.0028571428571427;-11.502857142857142;-4.357142857142857;-1.8685714285714285;-1.09;-4.671428571428572;-1.8885714285714286;-2.05;-1.3342857142857143;-1.772857142857143;-7.732857142857143
2009-07-09;-6.991428571428571;-6.970000000000001;-68.655;-7.578571428571428;-19.095714285714287;-39.06;-33.995000000000005;-54.35;-24.950000000000003;-19.59;-18.482857142857142;-7.07;-34.72857142857143;-88.46000000000001;-49.55857142857143;-21.53;-25.87607142857143;-31.954285714285714;-1.92;-18.988571428571426;-2.8000000000000003;-31.754285714285714;-43.39857142857142;-67.135;-61.37428571428571;-68.71714285714286;-12.892000000000001;-19.337142857142858;-61.62428571428571;-27.3;-6.107142857142857;-32.20857142857143;-5.49;-83.86428571428571;-37.12428571428571;-15.04;-2.368;-18.172857142857143;-1.8714285714285714;-12.944;-27.354285714285716;-56.02;-5.4799999999999995;-38.21857142857142;-41.21142857142858;-6.362;-8.087142857142856;-64.84;-59.67428571428571;-1.5385714285714285;-17.694285714285716;-1.752857142857143;-16.22714285714286;-2.185714285714286;14.125714285714285;-8.635714285714286;-4.5685714285714285;-3.1799999999999997;-27.87857142857143;-2.142857142857143;-13.709999999999999;-5.914285714285714;-2.2157142857142857;-1.7585714285714287;-13.755714285714285;-9.475714285714286;-3.2728571428571427;-1.7242857142857144;-60.160000000000004;-2.6785714285714284;-1.2;-3.4771428571428573;-15.311428571428573;-31.6;-41.91571428571428;-33.69714285714286;-2.1871428571428573;-4.992857142857143;-63.857142857142854;-10.085714285714285;-64.62;-4.590000000000001;-3.8085714285714287;-46.77;-43.61142857142857;-26.37;-55.925714285714285;-1.4242857142857142;-7.265714285714286;-24.551428571428573;-14.015714285714285;-2.011428571428571;-11.5;-4.397142857142858;-2.3542857142857145;-1.1314285714285715;-4.444285714285714;-1.97;-2.1085714285714285;-1.4114285714285713;-1.8057142857142858;-7.797142857142857
2009-07-16;-7.1000000000000005;-6.955;-68.6675;-7.612857142857143;-19.09142857142857;-39.15428571428571;-34.0075;-54.41428571428571;-24.945;-19.59;-18.964285714285715;-7.087142857142857;-35.09285714285714;-88.47;-49.63285714285714;-21.58285714285714;-25.09214285714286;-31.978571428571428;-1.93;-18.915714285714284;-2.817142857142857;-31.868571428571432;-43.472857142857144;-67.23750000000001;-61.44428571428572;-68.72857142857143;-12.888;-19.384285714285713;-61.70285714285715;-27.3;-6.170000000000001;-32.23142857142857;-5.645714285714286;-83.87;-37.199999999999996;-15.075;-2.532;-19.292857142857144;-1.8985714285714284;-12.956;-27.364285714285717;-56.037142857142854;-5.552857142857143;-38.449999999999996;-41.23142857142857;-6.708;-8.102857142857143;-64.84714285714286;-59.68;-1.582857142857143;-17.684285714285714;-1.7885714285714285;-16.407142857142855;-2.2271428571428573;14.055714285714286;-8.674285714285714;-4.601428571428571;-3.2885714285714287;-27.90142857142857;-2.16;-13.747142857142858;-5.941428571428572;-2.22;-1.7842857142857143;-13.768571428571429;-9.502857142857142;-3.3057142857142856;-1.7914285714285716;-60.15;-2.692857142857143;-1.2257142857142858;-3.4914285714285715;-15.387142857142859;-31.595;-41.91714285714285;-33.705714285714286;-2.222857142857143;-5.17;-63.78857142857142;-10.098571428571429;-64.655;-4.61;-3.8314285714285714;-46.76714285714286;-44.098571428571425;-26.674285714285713;-55.99571428571429;-1.5514285714285714;-7.288571428571429;-24.715714285714284;-14.049999999999999;-2.0185714285714282;-11.522857142857143;-4.437142857142858;-2.4042857142857144;-1.147142857142857;-4.434285714285714;-1.9942857142857144;-2.1342857142857143;-1.52;-1.83;-7.914285714285714
2009-07-23;-7.102857142857142;-6.94;-68.68;-7.615714285714286;-19.094285714285714;-38.95142857142857;-34.02;-54.464285714285715;-24.94;-19.59;-17.98857142857143;-7.064285714285715;-35.38428571428572;-88.48;-49.72714285714286;-21.664285714285715;-24.30821428571429;-32.005714285714284;-1.94;-18.732857142857142;-2.825714285714286;-31.987142857142857;-43.540000000000006;-67.34;-61.521428571428565;-68.74142857142857;-12.884;-19.41857142857143;-61.800000000000004;-27.3;-6.228571428571429;-32.26428571428572;-5.797142857142857;-83.88571428571429;-37.271428571428565;-15.11;-2.6959999999999997;-17.855714285714285;-1.9142857142857141;-12.968;-27.37142857142857;-56.05142857142857;-5.588571428571428;-38.644285714285715;-41.22714285714285;-7.054;-8.118571428571428;-64.85571428571428;-59.68857142857143;-1.6142857142857143;-17.69857142857143;-1.7142857142857142;-16.55857142857143;-2.277142857142857;14.097142857142858;-8.702857142857143;-4.595714285714286;-2.82;-27.924285714285713;-2.164285714285714;-13.775714285714285;-5.642857142857143;-2.2285714285714286;-1.8414285714285714;-13.762857142857143;-9.522857142857143;-3.1614285714285715;-1.8314285714285714;-60.14;-2.73;-1.2357142857142858;-3.4957142857142856;-15.472857142857142;-31.59;-41.92428571428571;-33.722857142857144;-2.254285714285714;-5.207142857142857;-63.81571428571429;-10.10142857142857;-64.69;-4.612857142857143;-3.8642857142857143;-46.76428571428572;-44.60285714285715;-26.964285714285715;-56.06142857142857;-1.6057142857142856;-7.297142857142857;-24.87857142857143;-14.084285714285715;-1.997142857142857;-11.554285714285713;-4.481428571428571;-2.5300000000000002;-1.1;-4.392857142857143;-1.9742857142857144;-2.11;-1.5571428571428572;-1.8285714285714287;-8.038571428571428
2009-07-30;-7.152857142857143;-6.925000000000001;-68.70400000000001;-7.65;-19.074285714285715;-39.12571428571429;-34.03;-54.51285714285715;-24.943;-19.607142857142858;-18.942857142857143;-7.078571428571428;-35.68571428571429;-88.494;-49.81571428571429;-21.73857142857143;-23.524285714285718;-32.028571428571425;-1.952;-19.018571428571427;-2.8428571428571425;-32.11142857142857;-43.61857142857143;-67.494;-61.61142857142857;-68.75714285714285;-12.88;-19.464285714285715;-61.88857142857143;-27.39;-6.28;-32.284285714285716;-5.932857142857143;-83.90714285714286;-37.32142857142857;-15.09;-2.86;-18.95;-1.957142857142857;-12.98;-27.384285714285713;-56.08142857142857;-5.6657142857142855;-38.82285714285714;-41.25571428571429;-7.4;-8.135714285714286;-64.86142857142858;-59.714285714285715;-1.6385714285714283;-17.702857142857145;-1.727142857142857;-16.69142857142857;-2.3200000000000003;14.06857142857143;-8.73857142857143;-4.6085714285714285;-3.084285714285714;-27.978571428571428;-2.18;-13.804285714285713;-5.97;-2.2528571428571427;-1.8814285714285715;-13.777142857142858;-9.567142857142857;-3.37;-1.8699999999999999;-60.13;-2.738571428571429;-1.2428571428571427;-3.514285714285714;-15.512857142857143;-31.598;-41.92428571428571;-33.744285714285716;-2.287142857142857;-5.25;-63.81571428571429;-10.104285714285712;-64.768;-4.655714285714287;-3.891428571428571;-46.77;-45.10857142857143;-27.244285714285716;-56.128571428571426;-1.6757142857142857;-7.3;-25.045714285714286;-14.115714285714287;-2.012857142857143;-11.557142857142859;-4.538571428571428;-2.5614285714285714;-1.1442857142857144;-4.425714285714286;-1.9328571428571428;-2.067142857142857;-1.5171428571428573;-1.8685714285714285;-8.178571428571429
2009-08-06;-7.141428571428571;-6.91;-68.72800000000001;-7.714166666666667;-19.12142857142857;-39.22571428571428;-34.040000000000006;-54.56571428571429;-24.946;-19.609999999999996;-19.187142857142856;-7.118571428571428;-35.965714285714284;-88.508;-49.91142857142857;-21.83142857142857;-26.35;-32.05428571428571;-1.964;-19.224285714285713;-2.8528571428571428;-32.23571428571429;-43.70285714285715;-67.648;-61.70285714285715;-68.76428571428572;-12.83;-19.517142857142858;-61.98571428571428;-27.4225;-6.340000000000001;-32.317142857142855;-6.058571428571428;-83.92714285714285;-37.37428571428571;-15.07;-3.0175;-19.752857142857145;-1.9814285714285713;-12.9875;-27.40142857142857;-56.11571428571428;-5.76;-39.01714285714286;-41.26;-7.6375;-8.154285714285715;-64.87;-59.75;-1.6742857142857142;-17.712857142857143;-1.7485714285714287;-16.841428571428573;-2.3557142857142854;14.284285714285716;-8.777142857142858;-4.655714285714287;-3.3442857142857143;-28.002857142857145;-2.1957142857142857;-13.847142857142858;-5.944285714285714;-2.207142857142857;-1.9528571428571428;-13.785714285714286;-9.62857142857143;-3.2340000000000004;-1.9085714285714286;-60.125;-2.764285714285714;-1.2442857142857144;-3.5357142857142856;-15.59;-31.605999999999998;-41.93;-33.752857142857145;-2.327142857142857;-5.242857142857143;-63.85142857142858;-10.122857142857143;-64.846;-4.6814285714285715;-3.9114285714285715;-46.77;-45.58428571428572;-27.54714285714286;-56.17857142857143;-1.7242857142857144;-7.2942857142857145;-25.212857142857143;-14.151428571428571;-2.0242857142857145;-11.47;-4.601428571428571;-2.692857142857143;-1.1914285714285715;-4.447142857142857;-1.9728571428571426;-2.091428571428571;-1.4642857142857142;-1.912857142857143;-8.319999999999999
