date_mesure,C,B,A,D
2001-11-29,0.3082611793214798,1.482104654228058,0.6722885925552085,1.9195235617792266
2001-12-06,0.30210622274107,1.432955340293112,0.6545701936451391,1.872186468371233
2001-12-13,0.2849328712947883,1.452959579508709,0.5679357283542135,1.826401648236446
2001-12-20,0.2839273177532736,1.5258985611959344,0.5526101025122696,1.8630557579056326
2001-12-27,0.37279287599054034,1.4953925671487385,0.9306153835243789,1.891068349628668
2002-01-03,0.5475093908008928,1.463262329041821,1.0004673154105341,1.8510623658784464
2002-01-10,0.58178648522281,1.4543703613853756,0.907070623954582,1.849452803519135
2002-01-17,0.6425322724343132,1.5325882415398746,0.9209141968784831,1.8850700905054993
2002-01-24,0.6293632398866468,1.5073392001992008,0.9082526732430614,1.8675334837752358
2002-01-31,0.6888742925679869,1.5361659777170695,0.9289953798292561,1.8781338601988893
2002-02-07,0.7135676621012393,1.5301106163110938,0.9041539474724744,1.8735134482019054
2002-02-14,0.8022431160322276,1.5537086032486085,1.02255845705337,1.9569032546201983
2002-02-21,0.9485450380567715,1.626795991944779,1.2822582996130236,2.0386249237329395
2002-02-28,1.0796018868962125,1.6335170167983393,1.3872709011443676,2.1121450094850562
2002-03-07,1.1119491927072302,1.6354027137243519,1.3123608301771172,2.1066858374730932
2002-03-14,1.122581159600164,1.6741788899532517,1.2593606019494676,2.224598821171091
2002-03-21,1.1189226848717126,1.6183436948592234,1.1740639816272216,2.2601447678962225
2002-03-28,1.0895991925077069,1.6775990805086203,1.0560972919161147,2.3097972820882786
2002-04-04,1.0074527865667866,1.6943270223421731,0.9414470653914853,2.3244125392312425
2002-04-11,0.8977071036835801,1.6690868295529797,0.8153720332291265,2.3024610566564956
2002-04-18,0.7511370275617678,1.5870648972027857,0.5138813345499827,2.1035382588216702
2002-04-25,0.6957384783745724,1.6174446055247904,0.4381766882362246,2.0545718021859543
2002-05-02,0.5927530476470693,1.5878894025101236,0.338694262680028,2.0385853076799734
2002-05-09,0.5405768838393514,1.6069411771654631,0.3138285258303477,2.092806565243667
2002-05-16,0.49176306728198926,1.6562955735937752,0.3107732082900736,2.1059155471948787
2002-05-23,0.4210759839963435,1.6558115292156388,0.3163256961749684,2.1052571552571626
2002-05-30,0.3537740686523988,1.650856755770182,0.27845805792362743,2.0465129736823195
2002-06-06,0.4156458051031805,1.6654036192363175,0.5053523705160317,2.062882093186463
2002-06-13,0.34972598104705,1.6232686849391937,0.23098839157064965,1.9382603719594598
2002-06-20,0.2635856289937042,1.5902564789905864,-0.01479788084528677,1.8088291663003853
2002-06-27,0.1781982055024054,1.590254553876548,-0.3839079966191926,1.7208424525060637
2002-07-04,0.08729381296854966,1.541305583682723,-0.3882082999424795,1.7217269248082758
2002-07-11,-0.005661134656281708,1.522103161796386,-0.3866858535586286,1.6053834527738173
2002-07-18,-0.1108949788769878,1.4440599053022596,-0.7466793148402918,1.4284484260345214
2002-07-25,-0.21516829168286652,1.4272276455502004,-1.0550307466738782,1.3443467086335648
2002-08-01,-0.2994999209434551,1.4690918411129699,-0.9736136867877888,1.4193045540476268
2002-08-08,-0.3703410910183671,1.4930063013053732,-0.8190904084309774,1.4303087348888404
2002-08-15,-0.4558413598331531,1.4449817027365102,-1.032715719281911,1.3432436184988963
2002-08-22,-0.49749372216669674,1.4537894868238057,-0.866361983139699,1.3486672572752392
2002-08-29,-0.49614684150230853,1.4674833999894312,-0.5489117152278706,1.380477359611575
2002-09-05,-0.519717693769983,1.4840271940076948,-0.5138839052312991,1.3735699256327683
2002-09-12,-0.5662023234213631,1.4581723326351739,-0.5309248477648694,1.333337742229621
2002-09-19,-0.6197419378088791,1.4664222488743337,-0.4931764907711488,1.2946425459393434
2002-09-26,-0.6466404980620302,1.4226071699497083,-0.557087962245153,1.2517025625912606
2002-10-03,-0.6864032289243331,1.4354940529528655,-0.5417427549669172,1.2317627830359756
2002-10-10,-0.7042782049059363,1.4344540321504118,-0.5192709991587215,1.2506821595675726
2002-10-17,-0.7220596917239938,1.4532550934717778,-0.43025136894632,1.228695547009926
2002-10-24,-0.6702467594692347,1.3832971805169822,-0.07658840759068342,1.229168591218638
2002-10-31,-0.5925906732445803,1.383826142103047,0.13834599608741815,1.2088688421384823
2002-11-07,-0.20699695849968391,1.533811366309596,0.7228492601879128,1.3051428718160594
2002-11-14,0.1190895342948306,1.5182697920301051,0.8331127714370552,1.3019808556416634
2002-11-21,0.2703131999782653,1.5199831398687744,0.9135427230415136,1.3438836669597773
2002-11-28,0.5605714011655525,1.5011952875591903,1.095567206599003,1.3483073281249431
2002-12-05,0.7268667295328664,1.500664241828542,1.0928908919658933,1.3474418236806351
2002-12-12,0.7857202185321954,1.5163757698501175,1.0881201130251577,1.3738732824245221
2002-12-19,0.9745589685052319,1.556669173209207,1.3171182190926103,1.4413438080608079
2002-12-26,1.270622517254482,1.63785735425122,1.5372956433505103,1.5521841139478563
2003-01-02,1.6506584643712958,1.659468615283976,1.7077335175066486,1.660101750291544
2003-01-09,1.6892271904318812,1.5773228164658517,1.5783185845196375,1.6539893673871573
2003-01-16,1.7029859844202986,1.719767568138321,1.4905158005758263,1.7872663736961256
2003-01-23,1.6091750240088067,1.6423633164357003,1.4289267474176242,1.825004589246531
2003-01-30,1.8037285068756628,1.7720727884276064,1.6809060938696616,1.9379715600988745
2003-02-06,1.9872477174158814,1.7302175235115755,1.7736876727077193,2.007648948349787
2003-02-13,1.959442860901034,1.7507812449306535,1.635123154812186,2.0619184117026896
2003-02-20,1.8823740695147537,1.7886294859937857,1.4917660565493525,2.107196275920811
