date_mesure;09145X0057_N210;09145X0059_N340;09662X0038_F41;09964X0020_PZ1;08688X0023_PZ1;09665X0073_203;09437X0036_23P
2009-07-19;-3.6235714285714287;-4.517142857142857;-4.9471428571428575;-29.07857142857143;-3.4375;-4.0200000000000005;-3.532857142857143
2009-07-23;-3.665714285714286;-4.567857142857143;-4.952142857142857;-28.86785714285714;-3.4501785714285713;-4.029285714285715;-3.602142857142857
2009-07-26;-3.7135714285714285;-4.618571428571428;-4.957142857142857;-28.657142857142855;-3.462857142857143;-4.038571428571428;-3.6714285714285713
2009-07-30;-3.761428571428571;-4.649285714285714;-4.969285714285714;-28.65;-3.470714285714286;-4.074999999999999;-3.577142857142857
2009-08-02;-3.802142857142857;-4.68;-4.981428571428571;-28.642857142857142;-3.4785714285714286;-4.111428571428571;-3.4828571428571427
2009-08-06;-3.8428571428571425;-4.713571428571428;-5.010714285714286;-28.574285714285715;-3.479285714285714;-4.173571428571428;-3.407142857142857
2009-08-09;-3.874285714285714;-4.747142857142856;-5.04;-28.505714285714284;-3.48;-4.235714285714286;-3.3314285714285714
2009-08-13;-3.9057142857142857;-4.787857142857142;-5.095;-28.557142857142857;-3.486428571428571;-4.3064285714285715;-3.472857142857143
2009-08-16;-3.9257142857142857;-4.828571428571428;-5.1499999999999995;-28.608571428571427;-3.492857142857143;-4.377142857142857;-3.6142857142857143
2009-08-20;-3.9457142857142857;-4.872142857142856;-5.165;-28.549285714285716;-3.5114285714285716;-4.4435714285714285;-3.647142857142857
2009-08-23;-3.9578571428571427;-4.9157142857142855;-5.180000000000001;-28.490000000000002;-3.5300000000000002;-4.51;-3.6799999999999997
2009-08-27;-3.9699999999999998;-4.872142857142856;-5.2092857142857145;-28.580714285714286;-3.5371428571428574;-4.561428571428571;-3.6410714285714283
2009-08-30;-3.967142857142857;-4.828571428571428;-5.238571428571428;-28.67142857142857;-3.544285714285714;-4.612857142857143;-3.602142857142857
2009-09-03;-3.9642857142857144;-4.807857142857142;-5.277142857142858;-28.690714285714286;-3.5549999999999997;-4.646428571428571;-3.5632142857142854
2009-09-06;-3.9614285714285717;-4.7871428571428565;-5.315714285714286;-28.71;-3.565714285714286;-4.68;-3.524285714285714
2009-09-10;-3.9585714285714286;-4.7871428571428565;-5.350714285714286;-28.904285714285713;-3.5707142857142857;-4.711428571428572;-3.557857142857143
2009-09-13;-3.91;-4.7871428571428565;-5.385714285714286;-29.09857142857143;-3.575714285714286;-4.742857142857143;-3.5914285714285716
2009-09-17;-3.8614285714285717;-4.744999999999999;-5.382142857142857;-29.109285714285715;-3.5664285714285713;-4.6535714285714285;-3.626428571428572
2009-09-20;-3.8314285714285714;-4.702857142857143;-5.378571428571428;-29.12;-3.557142857142857;-4.564285714285714;-3.6614285714285715
2009-09-24;-3.801428571428571;-4.626428571428571;-5.369285714285714;-28.917857142857144;-3.5585714285714283;-4.484285714285714;-3.7685714285714287
2009-09-27;-3.7849999999999997;-4.55;-5.359999999999999;-28.715714285714284;-3.5599999999999996;-4.404285714285714;-3.8757142857142854
2009-10-01;-3.7685714285714282;-4.536428571428571;-5.383571428571429;-28.642142857142858;-3.564285714285714;-4.437857142857142;-3.967142857142857
2009-10-04;-3.757142857142857;-4.522857142857143;-5.4071428571428575;-28.568571428571428;-3.5685714285714285;-4.4714285714285715;-4.058571428571429
2009-10-08;-3.7457142857142856;-4.52;-5.420714285714286;-28.54142857142857;-3.5742857142857147;-4.465;-4.055714285714286
2009-10-11;-3.7314285714285713;-4.517142857142857;-5.434285714285714;-28.514285714285712;-3.5800000000000005;-4.458571428571429;-4.052857142857143
2009-10-15;-3.717142857142857;-4.5042857142857144;-5.445714285714286;-28.607142857142854;-3.583571428571429;-4.421428571428572;-4.045714285714286
2009-10-18;-3.6885714285714286;-4.491428571428571;-5.457142857142857;-28.7;-3.587142857142857;-4.384285714285714;-4.038571428571428
2009-10-22;-3.66;-4.4471428571428575;-5.455;-28.66857142857143;-3.559285714285714;-4.2978571428571435;-4.081428571428571
2009-10-25;-3.633571428571429;-4.402857142857143;-5.452857142857143;-28.63714285714286;-3.531428571428571;-4.211428571428572;-4.1242857142857146
2009-10-29;-3.607142857142857;-4.385714285714286;-5.4035714285714285;-28.48357142857143;-3.559285714285714;-4.12;-4.183571428571429
2009-11-01;-3.5814285714285714;-4.368571428571428;-5.354285714285714;-28.330000000000002;-3.587142857142857;-4.0285714285714285;-4.242857142857143
2009-11-05;-3.5557142857142856;-4.350714285714286;-5.342142857142857;-28.908571428571427;-3.55;-4.022142857142857;-4.279999999999999
2009-11-08;-3.5421428571428573;-4.332857142857143;-5.33;-29.487142857142857;-3.512857142857143;-4.015714285714286;-4.317142857142857
2009-11-12;-3.5285714285714285;-4.332857142857143;-5.337142857142856;-29.31357142857143;-3.527857142857143;-4.051428571428572;-4.341428571428571
2009-11-15;-3.5142857142857142;-4.332857142857143;-5.344285714285713;-29.140000000000004;-3.542857142857143;-4.087142857142857;-4.365714285714286
2009-11-19;-3.5;-4.335714285714285;-5.355714285714285;-29.164285714285718;-3.545714285714286;-4.119285714285715;-4.383571428571429
2009-11-22;-3.4785714285714286;-4.338571428571428;-5.367142857142857;-29.18857142857143;-3.5485714285714285;-4.151428571428571;-4.401428571428572
2009-11-26;-3.457142857142857;-4.317857142857143;-5.3792857142857144;-28.99142857142857;-3.557857142857143;-4.165;-4.412142857142857
2009-11-29;-3.437142857142857;-4.297142857142857;-5.3914285714285715;-28.794285714285714;-3.567142857142857;-4.178571428571429;-4.422857142857143
2009-12-03;-3.4171428571428573;-4.292857142857143;-5.407142857142857;-29.169285714285714;-3.4542857142857146;-4.136428571428572;-4.414285714285715
2009-12-06;-3.4014285714285712;-4.288571428571428;-5.422857142857143;-29.544285714285714;-3.3414285714285716;-4.094285714285714;-4.405714285714286
2009-12-10;-3.3857142857142857;-4.298571428571428;-5.428571428571429;-29.509999999999998;-3.342857142857143;-4.110714285714286;-4.412857142857143
2009-12-13;-3.3635714285714284;-4.308571428571429;-5.434285714285714;-29.475714285714282;-3.3442857142857143;-4.127142857142857;-4.42
2009-12-17;-3.3414285714285716;-4.3221428571428575;-5.455714285714286;-29.67285714285714;-3.402857142857143;-4.145714285714286;-4.425714285714285
2009-12-20;-3.2678571428571432;-4.335714285714286;-5.477142857142858;-29.87;-3.4614285714285713;-4.164285714285714;-4.4314285714285715
2009-12-24;-3.1942857142857144;-4.302142857142858;-5.460714285714285;-29.857857142857142;-3.1585714285714284;-3.8914285714285715;-4.253571428571428
2009-12-27;-3.08;-4.268571428571429;-5.444285714285714;-29.845714285714287;-2.8557142857142854;-3.6185714285714288;-4.075714285714286
2009-12-31;-2.9657142857142857;-4.162142857142857;-5.378571428571428;-29.621428571428574;-2.92;-3.4242857142857144;-4.0685714285714285
2010-01-03;-2.937142857142857;-4.055714285714286;-5.312857142857142;-29.397142857142857;-2.9842857142857144;-3.23;-4.061428571428571
2010-01-07;-2.9085714285714284;-3.8742857142857146;-5.2592857142857135;-29.205;-3.04;-3.0421428571428573;-4.085714285714285
2010-01-10;-2.575;-3.692857142857143;-5.2057142857142855;-29.012857142857143;-3.0957142857142856;-2.8542857142857145;-4.11
2010-01-14;-2.2414285714285715;-3.4892857142857143;-5.150714285714286;-29.041428571428572;-3.123571428571428;-2.480714285714286;-4.058571428571429
2010-01-17;-2.3314285714285714;-3.2857142857142856;-5.095714285714286;-29.07;-3.1514285714285712;-2.107142857142857;-4.007142857142857
2010-01-21;-2.4214285714285713;-3.2249999999999996;-4.960000000000001;-29.12642857142857;-3.1607142857142856;-2.129642857142857;-4.019285714285714
2010-01-24;-2.477142857142857;-3.164285714285714;-4.824285714285715;-29.18285714285714;-3.1700000000000004;-2.152142857142857;-4.031428571428571
2010-01-28;-2.532857142857143;-3.1657142857142855;-4.847857142857143;-28.915;-3.180714285714286;-2.174642857142857;-4.073571428571428
2010-01-31;-2.513571428571429;-3.1671428571428573;-4.871428571428572;-28.647142857142857;-3.1914285714285713;-2.197142857142857;-4.115714285714286
2010-02-04;-2.494285714285714;-3.182142857142857;-4.925000000000001;-28.667857142857144;-3.1857142857142855;-2.294285714285714;-4.133571428571429
2010-02-07;-2.4164285714285714;-3.197142857142857;-4.978571428571429;-28.68857142857143;-3.1799999999999997;-2.391428571428571;-4.151428571428572
2010-02-11;-2.3385714285714285;-3.1157142857142857;-5.020714285714286;-28.64928571428571;-3.1707142857142854;-2.3935714285714282;-4.155714285714286
2010-02-14;-2.182857142857143;-3.0342857142857143;-5.062857142857142;-28.609999999999996;-3.1614285714285715;-2.3957142857142855;-4.16
2010-02-18;-2.027142857142857;-2.9628571428571426;-5.0928571428571425;-28.714999999999996;-3.1207142857142856;-2.359285714285714;-4.1242857142857146
2010-02-21;-2.0635714285714286;-2.891428571428571;-5.122857142857143;-28.82;-3.0799999999999996;-2.322857142857143;-4.088571428571429
2010-02-25;-2.1;-2.822857142857143;-5.0964285714285715;-28.539285714285715;-2.999285714285714;-2.2035714285714283;-4.017857142857143
