date_mesure,A,F,E,B,D,C
2011-02-17,0.3755653799505744,0.5198011781785521,1.6175150148369928,-0.5202684229215488,0.184516262603267,0.4477913405030173
2011-02-24,0.5556012245632834,0.5601264867146066,1.5500024475681615,-0.49053095824916143,0.2103677798395172,0.5650840992846528
2011-03-03,0.4527538135675605,0.5753059043054768,1.5910044603792421,-0.45660894169914285,0.23188250557503304,0.5595304106671901
2011-03-10,0.32862134317453273,0.5950055437508658,1.670053812251258,-0.4214430102512811,0.23639288799594713,0.5062636522288901
2011-03-17,0.24945825922257425,0.5458242769696676,1.6451670726256582,-0.496991463641571,0.16915661292523868,0.4341655438091296
2011-03-24,0.14537374080272467,0.514172096144495,1.6767580659634782,-0.4734202332093971,0.15123203310685815,0.3754878777006254
2011-03-31,0.13147032352175356,0.5423765865888821,1.6964162788018409,-0.4786592429101229,0.11458526077331385,0.3553159527201459
2011-04-07,-0.003387788392544666,0.48618661741247576,1.6816872675446068,-0.5026248761194514,0.034473246478143066,0.27717421885186055
2011-04-14,-0.12294534029934728,0.4165117671775008,1.7266221408818487,-0.5238538251078732,-0.016855114526294485,0.21552549600279286
2011-04-21,-0.2355997388734659,0.2373355191261849,1.7092167003669965,-0.5889737436720062,-0.11507929369985119,0.09062472807031997
2011-04-28,-0.33150552040375125,0.22331553484416347,1.709165194021673,-0.6240490816152443,-0.16036910792920708,0.023606277908804634
2011-05-05,-0.4489418977773213,0.10390047801951102,1.6300635766518543,-0.6944196661630989,-0.2520869837297858,-0.10588729872485146
2011-05-12,-0.5416464863121934,-0.06390139524978092,1.5331877859196865,-0.7711257971496527,-0.362018055685789,-0.20725314604668285
2011-05-19,-0.6733964661305731,-0.3321747366889575,1.458205228464076,-0.8559598845749897,-0.46277671500437056,-0.34144532859662846
2011-05-26,-0.7927981069126575,-0.6145716802118376,1.3677907269225305,-0.8984321839074714,-0.5739370893569791,-0.4846788485566709
2011-06-02,-0.830028660385983,-0.7794792027191697,1.383575227212073,-0.947280154040213,-0.6577333919658742,-0.5427942452616324
2011-06-09,-0.8202117472564483,-0.6692059062436712,1.3614649667876453,-0.9214739656407998,-0.6421795562594174,-0.5872553934431493
2011-06-16,-0.9171956296309597,-0.8277023480099602,1.3425991129075974,-0.9666868011844489,-0.7368813526264901,-0.6808619937122042
2011-06-23,-1.0383845559397682,-1.249435765493404,1.229955915934585,-1.1253372813416864,-0.8480049796079624,-0.8469585711596014
2011-06-30,-1.1801940906595445,-1.6573458799457863,1.1962085383512997,-1.3361688289980167,-0.953647202570375,-0.9733299984451134
2011-07-07,-1.2684772848080794,-1.804186352969516,1.178083861321033,-1.3581355323853432,-1.0449288442590836,-1.0853517607052914
2011-07-14,-1.2126751195950123,-1.6145653526680888,1.1939524465722686,-1.2668800288340876,-1.040890251682743,-1.1140435706570182
2011-07-21,-1.073635268766109,-1.3676815921732812,1.1736913006045964,-1.1995664037569456,-1.0119798337836217,-1.089574498444214
2011-07-28,-1.1086856758092638,-1.313588057279202,1.1260733952459234,-1.2229514031687505,-1.056845566638651,-1.1172201440505185
2011-08-04,-1.1187606485071373,-1.3891882076175053,1.10787674948597,-1.2731003903611877,-1.098710811474455,-1.163980982566186
2011-08-11,-1.1945299816259822,-1.5220235681560643,1.0947719700956664,-1.4058112785887014,-1.1610063151148973,-1.2453526878234116
2011-08-18,-1.2483127691662645,-1.5948770143760858,1.0380739658462874,-1.4341434912223523,-1.2161572523464508,-1.3332297363207843
2011-08-25,-1.1818051473131546,-1.4541746235521789,1.0158902037430264,-1.425387505680686,-1.2162106274680256,-1.3101536685642692
2011-09-01,-1.1528902424888867,-1.278875885271847,0.9838592930112664,-1.4330888599593075,-1.2284903353352767,-1.3251125318747692
2011-09-08,-1.1919302528470406,-1.1475938452272665,0.9492924307131918,-1.4155217043306043,-1.2409881583797926,-1.3692479492409504
2011-09-15,-1.229165133475328,-1.0668809419124077,0.9041280216236509,-1.4359784983796997,-1.274179126294434,-1.4163439179028143
