"code_bss";"date_debut";"date_fin";"nb_mesures_piezo";"code_dpt";"code_commune_insee";"nom_commune";"latitude";"longitude";"altitude_station";"profondeur_investigation";"codes_bdlisa";"libelle_pe";"codes_masse_eau_edl";"noms_masse_eau_edl";"fichier_piezo";"fichier_era5";"fichier_combined";"commentaire";"cluster_kmeans"
"00873X0036_F2";"2004-09-28 00:00:00.000000";"2022-05-20 00:00:00.000000";6364;"08";"08115";Chémery-Chéhéry;49.600307808;4.868863011;172.67;28.0;"139AP99";C;B1G109;Calcaires du Dogger versant Meuse nord;1;0;0;;"8"
"03795X0093_PZ-N2";"1952-04-03 00:00:00.000000";"2022-05-16 00:00:00.000000";10674;"68";"68091";Fessenheim;47.916549383;7.565842154;204.0;12.4;"221AA17";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
"03693X0017_P2";"1976-09-03 00:00:00.000000";"2022-05-20 00:00:00.000000";9938;"10";"10302";Praslin;48.044732;4.197586;206.0;40.0;"131AA97";C;HG304;Calcaires tithoniens karstiques entre Yonne et Seine;1;0;0;;"3"
"03415X0037_P2";"1993-03-05 00:00:00.000000";"2022-05-23 00:00:00.000000";5659;"88";"88531";Xonrupt-Longemer;48.079799471;6.917556236;736.9;18.75;"231AG01";F;CG103;Socle du massif vosgien;1;0;0;;"3"
"03424X0029_203";"1954-11-08 00:00:00.000000";"2022-04-26 00:00:00.000000";3459;"67";"67360";Ohnenheim;48.182391811;7.50886687;174.5;7.5;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"04135X0140_M13";"1971-02-08 00:00:00.000000";"2021-09-10 00:00:00.000000";2677;"68";"68267";Reiningue;47.751943909;7.233580237;262.91;7.8;"221AA13";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"03081X0025_223";"1955-03-01 00:00:00.000000";"2022-05-30 00:00:00.000000";10937;"67";"67412";Rossfeld;48.341230734;7.615430365;158.89;6.5;"221AA17";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"04137X0051_S23";"1975-11-25 00:00:00.000000";"2018-07-04 00:00:00.000000";7551;"68";"68072";Dietwiller;47.702757123;7.458349877;246.68;21.3;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"02718X0017_233";"1955-03-05 00:00:00.000000";"2022-02-08 00:00:00.000000";3422;"67";"67286";Meistratzheim;48.448728466;7.546416247;155.3;9.45;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"01995X0007_343";"1964-10-06 00:00:00.000000";"2022-02-22 00:00:00.000000";2947;"67";"67449";Schirrhein;48.786118778;7.921236123;121.7;4.1;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03074X0015_263";"1961-01-10 00:00:00.000000";"2022-01-25 00:00:00.000000";3143;"67";"67125";Epfig;48.354903698;7.475405758;173.38;7.0;"221AC05";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"5"
"03782X0069_73";"1954-05-07 00:00:00.000000";"2022-02-25 00:00:00.000000";3408;"68";"68134";Herrlisheim-près-Colmar;48.016745756;7.329187458;194.96;6.7;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"01584X0023_LV3";"1969-01-01 00:00:00.000000";"2022-05-20 00:00:00.000000";18342;"51";"51278";Grandes-Loges;49.066811;4.29305;107.0;31.2;"121AN01";C;HG208;Craie de Champagne sud et centre;1;0;0;;"3"
"03078X0014_214";"1955-03-01 00:00:00.000000";"2022-01-25 00:00:00.000000";3418;"67";"67115";Ebersheim;48.305568541;7.499807525;166.64;8.1;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"02347X0022_314";"1959-02-24 00:00:00.000000";"2022-05-16 00:00:00.000000";11820;"67";"67389";Reichstett;48.649846458;7.754158024;136.96;9.95;"221AA07";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"5"
"04454X0023_S14";"1975-11-25 00:00:00.000000";"2022-04-26 00:00:00.000000";2407;"68";"68309";Sierentz;47.650168911;7.479683091;255.94;18.9;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"03081X0026_224";"1955-03-01 00:00:00.000000";"2022-04-25 00:00:00.000000";3339;"67";"67028";Benfeld;48.368460684;7.595975425;159.97;4.8;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03427X0252_134";"1989-09-07 00:00:00.000000";"2022-01-25 00:00:00.000000";1694;"68";"68038";Bischwihr;48.095517908;7.436651849;184.74;4.85;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03784X0010_64";"1955-04-06 00:00:00.000000";"2022-02-22 00:00:00.000000";3265;"68";"68069";Dessenheim;47.978888906;7.487329771;199.8;9.7;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"01086X0011_LS4";"1968-01-18 00:00:00.000000";"2022-05-19 00:00:00.000000";18357;"51";"51075";Bourgogne-Fresne;49.34002916;4.099640966;91.1;41.0;"121AM01";C;HG207;Craie de Champagne nord;1;0;0;;"6"
"03043X0056_PZ4";"1971-01-25 00:00:00.000000";"2022-05-16 00:00:00.000000";6623;"88";"88163";Essegney;48.369447918;6.305867638;272.19;7.3;"952AC07";A;CG114;Alluvions de la Meurthe, de la Moselle et de leurs affluents;1;0;0;;"2"
"04137X0018_15";"1954-12-08 00:00:00.000000";"2022-01-04 00:00:00.000000";10899;"68";"68118";Habsheim;47.715015474;7.421566696;244.1;14.44;"221AA17";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"04138X0019_25";"1955-01-19 00:00:00.000000";"2022-02-22 00:00:00.000000";3327;"68";"68253";Ottmarsheim;47.778297912;7.515136798;222.45;16.3;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
"01381X0070_P25";"1971-08-20 00:00:00.000000";"2022-05-23 00:00:00.000000";9034;"57";"57067";Bertrange;49.303646063;6.17820514;156.56;4.9;"952AC21";A;CG114;Alluvions de la Meurthe, de la Moselle et de leurs affluents;1;0;0;;"3"
"03795X0037_55";"1949-03-09 00:00:00.000000";"2022-01-25 00:00:00.000000";3708;"68";"68230";Nambsheim;47.934064745;7.563152672;202.82;11.0;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
"03422X0029_95";"1955-03-15 00:00:00.000000";"2018-09-19 00:00:00.000000";10198;"68";"68252";Ostheim;48.161038807;7.374064514;180.8;10.0;"221AA15";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"04124X0105_P16";"1978-04-20 00:00:00.000000";"2022-05-16 00:00:00.000000";10581;"68";"68063";Cernay;47.794791;7.168839;303.25;17.0;"221AA13";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"04137X0014_S26";"1976-01-05 00:00:00.000000";"2021-08-31 00:00:00.000000";1688;"68";"68118";Habsheim;47.727631039;7.450202197;241.5;26.5;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"02725X0024_276";"1958-10-07 00:00:00.000000";"2022-01-25 00:00:00.000000";3257;"67";"67248";Krautergersheim;48.475364044;7.565973637;152.79;16.0;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"04132X0086_PP6";"1974-02-13 00:00:00.000000";"2022-05-16 00:00:00.000000";8295;"68";"68376";Wittenheim;47.816404416;7.309467333;236.0;23.0;"221AA13";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"04136X0199_M107";"1976-01-19 00:00:00.000000";"2021-09-10 00:00:00.000000";2368;"68";"68224";Mulhouse;47.746312811;7.338252379;238.86;15.4;"221AA13";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"03082X0023_227";"1955-03-04 00:00:00.000000";"2022-01-31 00:00:00.000000";3207;"67";"67086";Daubensand;48.348509704;7.71897965;155.49;7.1;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
"04138X0033_S27";"1975-11-25 00:00:00.000000";"2018-07-04 00:00:00.000000";7604;"68";"68254";Petit-Landau;47.728341762;7.474984277;239.7;44.3;"221AA17";A;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"03426X0254_137";"1979-04-25 00:00:00.000000";"2018-09-05 00:00:00.000000";3219;"68";"68066";Colmar;48.09502478;7.36175754;190.0;7.5;"221AA15";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"5"
"03424X0026_247";"1956-03-07 00:00:00.000000";"2022-02-22 00:00:00.000000";3345;"67";"67195";Hessenheim;48.207495813;7.550823464;172.7;6.7;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"8"
"03085X0022_257";"1958-10-14 00:00:00.000000";"2022-04-26 00:00:00.000000";3281;"67";"67040";Bindernheim;48.282381586;7.611269756;163.7;8.0;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03784X0024_77";"1954-05-07 00:00:00.000000";"2022-01-25 00:00:00.000000";3360;"68";"68379";Wolfgantzen;48.028612023;7.500120534;193.9;8.0;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"02726X0029_238";"1955-03-04 00:00:00.000000";"2022-05-16 00:00:00.000000";12269;"67";"67268";Lipsheim;48.489775507;7.664405172;147.85;8.76;"221AA17";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"04134X0052_S38";"1975-12-09 00:00:00.000000";"2022-02-22 00:00:00.000000";2396;"68";"68253";Ottmarsheim;47.803775599;7.511745261;220.14;18.0;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"02344X0055_319";"1959-02-18 00:00:00.000000";"2022-02-26 00:00:00.000000";3183;"67";"67151";Gambsheim;48.690793886;7.892023186;128.0;5.51;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"7"
"04138X0027_C19";"1955-01-06 00:00:00.000000";"2022-02-22 00:00:00.000000";3453;"68";"68254";Petit-Landau;47.738720422;7.509261754;228.11;16.1;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"04454X0019_S19";"1975-11-25 00:00:00.000000";"2018-07-04 00:00:00.000000";7565;"68";"68309";Sierentz;47.679527019;7.480262465;249.0;19.2;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"04131X0479_129";"1970-02-03 00:00:00.000000";"2022-01-18 00:00:00.000000";2397;"68";"68032";Berrwiller;47.844833858;7.224464758;253.0;10.5;"221AA13";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"03081X0028_229";"1955-03-05 00:00:00.000000";"2022-01-25 00:00:00.000000";3484;"67";"67501";Uttenheim;48.410367712;7.596178356;155.84;5.0;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"02351X0002_329";"1959-01-06 00:00:00.000000";"2022-02-22 00:00:00.000000";3277;"67";"67106";Drusenheim;48.764819159;7.94544318;123.4;6.7;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"04134X0022_39";"1949-06-23 00:00:00.000000";"2022-02-22 00:00:00.000000";3704;"68";"68291";Rumersheim-le-Haut;47.85193676;7.52206877;220.0;30.0;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"03081X0038_269";"1958-10-07 00:00:00.000000";"2018-09-05 00:00:00.000000";8495;"67";"67285";Matzenheim;48.382541536;7.632231875;155.14;3.7;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03428X0029_89";"1954-07-31 00:00:00.000000";"2022-01-25 00:00:00.000000";3470;"68";"68076";Durrenentzen;48.092864;7.501075;186.0;7.8;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"02347X0025_318 A";"1978-03-27 00:00:00.000000";"2022-04-24 00:00:00.000000";2281;"67";"67205";Hœrdt;48.683982469;7.778458547;135.49;5.15;"221AA05";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"5"
"02351X0013_320A";"1965-06-01 00:00:00.000000";"2016-05-31 00:00:00.000000";2584;"67";"67356";Offendorf;48.710772357;7.927771544;126.2;6.0;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"7"
"04133X0030_40A";"1974-08-07 00:00:00.000000";"2018-07-04 00:00:00.000000";7606;"68";"68225";Munchhouse;47.870628291;7.455072276;217.56;17.4;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"03787X0109_60A";"1984-02-14 00:00:00.000000";"2018-07-25 00:00:00.000000";7371;"68";"68241";Oberentzen;47.933973767;7.389071688;207.72;15.5;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"03431X0153_211A";"1973-01-09 00:00:00.000000";"2022-01-25 00:00:00.000000";2523;"67";"67422";Saasenheim;48.23644064;7.620211603;167.04;6.46;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03787X0071_121A";"1974-08-07 00:00:00.000000";"2018-06-06 00:00:00.000000";7558;"68";"68140";Hirtzfelden;47.912213966;7.447389644;212.0;17.79;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"03786X0075_51A";"1974-10-01 00:00:00.000000";"2018-07-04 00:00:00.000000";7732;"68";"68266";Réguisheim;47.896273677;7.350087496;213.0;17.27;"221AA13";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"04133X0029_32A";"1974-09-13 00:00:00.000000";"2018-09-26 00:00:00.000000";7674;"68";"68022";Battenheim;47.810161689;7.415771837;228.0;25.7;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"02725X0025_232A";"1973-10-09 00:00:00.000000";"2022-02-22 00:00:00.000000";2514;"67";"67438";Schaeffersheim;48.428798119;7.619461265;154.0;6.22;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03787X0070_42A";"1974-09-13 00:00:00.000000";"2018-07-11 00:00:00.000000";7623;"68";"68266";Réguisheim;47.889698309;7.391802037;214.0;18.5;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"01993X0002_362A";"1964-09-15 00:00:00.000000";"2022-02-22 00:00:00.000000";2949;"67";"67308";Munchhausen;48.919278566;8.149374357;111.84;5.05;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"7"
"03783X0091_72A";"1977-07-05 00:00:00.000000";"2018-06-06 00:00:00.000000";7502;"68";"68295";Sainte-Croix-en-Plaine;47.995144351;7.422728209;199.0;18.0;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"03786X0118_43A";"1983-01-06 00:00:00.000000";"2022-02-22 00:00:00.000000";1714;"68";"68343";Ungersheim;47.88285215;7.297238145;220.0;40.0;"221AA13";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"04137X0066_53A";"1975-10-03 00:00:00.000000";"2022-02-23 00:00:00.000000";2272;"68";"68300";Sausheim;47.776947911;7.411500611;233.0;30.0;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"03427X0028_83A";"1963-01-01 00:00:00.000000";"2022-02-22 00:00:00.000000";4253;"68";"68145";Horbourg-Wihr;48.074920578;7.395078041;187.7;7.7;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03426X0159_93A";"1978-11-07 00:00:00.000000";"2018-09-12 00:00:00.000000";7486;"68";"68162";Kaysersberg Vignoble;48.129496153;7.313653397;202.0;16.0;"221AA15";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"02722X0084_244A";"1984-06-15 00:00:00.000000";"2022-02-22 00:00:00.000000";1872;"67";"67267";Lingolsheim;48.554446582;7.681312446;145.29;10.8;"221AA11";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"03423X0064_94A";"1984-01-03 00:00:00.000000";"2022-05-29 00:00:00.000000";8674;"68";"68153";Illhaeusern;48.15854925;7.463458607;177.21;6.0;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03791X0040_V45A";"1977-06-03 00:00:00.000000";"2018-09-12 00:00:00.000000";7542;"68";"68104";Geiswasser;47.987136177;7.608626242;194.29;9.7;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
"03787X0088_65A";"1977-07-12 00:00:00.000000";"2018-06-20 00:00:00.000000";7285;"68";"68242";Oberhergheim;47.957127766;7.407925878;203.95;21.3;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"03791X0045_66A";"1977-06-07 00:00:00.000000";"2022-02-22 00:00:00.000000";2315;"68";"68246";Obersaasheim;47.990689095;7.560995698;195.5;6.7;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
"03431X0027_207A";"1956-02-01 00:00:00.000000";"2019-07-03 00:00:00.000000";3315;"67";"67011";Artolsheim;48.203825077;7.623589516;171.84;10.0;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"8"
"02344X0091_327A";"1975-03-11 00:00:00.000000";"2022-02-25 00:00:00.000000";2408;"67";"67407";Rohrwiller;48.756896541;7.902952811;124.27;5.4;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"04134X0133_37A";"1974-08-07 00:00:00.000000";"2018-07-04 00:00:00.000000";7619;"68";"68064";Chalampé;47.819335086;7.542843303;216.0;17.38;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
