"code_bss";"date_debut";"date_fin";"nb_mesures_piezo";"code_dpt";"code_commune_insee";"nom_commune";"latitude";"longitude";"altitude_station";"profondeur_investigation";"codes_bdlisa";"libelle_pe";"codes_masse_eau_edl";"noms_masse_eau_edl";"fichier_piezo";"fichier_era5";"fichier_combined";"commentaire";"cluster_kmeans"
"02723X0101_245E";"1966-07-01 00:00:00.000000";"2018-10-03 00:00:00.000000";7982;"67";"67482";Strasbourg;48.55941275;7.754438497;142.95;5.0;"221AA19";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"7"
"02344X0026_319E";"1964-10-06 00:00:00.000000";"2022-02-26 00:00:00.000000";2842;"67";"67151";Gambsheim;48.69179717;7.858494025;129.3;3.88;"221AA19";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"01612X0116_FE";"2002-12-09 00:00:00.000000";"2022-04-25 00:00:00.000000";981;"55";"55567";Ville-sur-Cousances;49.082172773;5.175487024;235.0;15.0;"131AA97";C;HG302;Calcaires tithoniens karstiques entre Ornain et limite du district;1;0;0;;"3"
"02293X0118_SE";"2004-09-23 00:00:00.000000";"2020-10-29 00:00:00.000000";840;"54";"54232";Gondreville;48.692103874;5.948688397;201.6;8.2;"952AC17";A;CG114;Alluvions de la Meurthe, de la Moselle et de leurs affluents;1;0;0;;"2"
"01695X0131_F";"1999-03-24 00:00:00.000000";"2022-05-16 00:00:00.000000";4081;"67";"67544";Wissembourg;49.017429391;7.98342683;153.52;15.6;"221AA01";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"02718X0022_F";"1997-07-28 00:00:00.000000";"2018-08-01 00:00:00.000000";6846;"67";"67164";Goxwiller;48.435737394;7.497518708;162.0;25.0;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"01644X0033_F";"1996-02-05 00:00:00.000000";"2022-05-22 00:00:00.000000";2356;"57";"57648";Servigny-lès-Raville;49.078282549;6.451647933;309.71;250.0;"143AK03";G;CG118;Grès du Trias inférieur du bassin houiller lorrain;1;0;0;;"5"
"03037X0053_F";"1997-04-03 00:00:00.000000";"2022-05-24 00:00:00.000000";2841;"88";"88427";Saint-Menge;48.289824697;5.94595919;337.38;420.0;"143AK03";G;CG105;Grès du Trias inférieur au nord de la faille de Vittel;1;0;0;;"5"
"01937X0054_F";"1980-10-10 00:00:00.000000";"2022-05-23 00:00:00.000000";6068;"54";"54573";Villers-en-Haye;48.827491432;6.011903825;203.16;35.3;"139AP99";C;CG110;Calcaires du Dogger des côtes de Moselle versant Rhin;1;0;0;;"3"
"03384X0005_F";"2004-02-10 00:00:00.000000";"2022-05-22 00:00:00.000000";6665;"88";"88488";Valfroicourt;48.197761447;6.094695069;303.03;97.55;"143AK01";G;CG104;Grès du Trias inférieur au sud de la faille de Vittel;1;0;0;;"5"
"02697X0005_F";"1993-02-10 00:00:00.000000";"2022-05-23 00:00:00.000000";5194;"54";"54217";Gélacourt;48.480525539;6.730495202;278.17;133.0;"143AK05";G;CG105;Grès du Trias inférieur au nord de la faille de Vittel;1;0;0;;"8"
"02672X0018_F";"2004-08-03 00:00:00.000000";"2022-05-23 00:00:00.000000";2271;"54";"54008";Allain;48.549895008;5.910754563;290.65;92.0;"139AP99";C;CG110;Calcaires du Dogger des côtes de Moselle versant Rhin;1;0;0;;"3"
"03057X0018_F";"1993-02-09 00:00:00.000000";"2022-05-23 00:00:00.000000";5297;"88";"88216";Grandvillers;48.242035591;6.671222298;396.0;11.12;"040AC45";F;CG104;Grès du Trias inférieur au sud de la faille de Vittel;1;0;0;;"2"
"02982X0028_F";"1969-01-14 00:00:00.000000";"2022-05-19 00:00:00.000000";9943;"10";"10391";Vailly;48.370374237;4.123896707;140.0;36.0;"121AO30";C;HG208;Craie de Champagne sud et centre;1;0;0;;"5"
"01137X0159_F";"2003-12-10 00:00:00.000000";"2022-05-23 00:00:00.000000";4382;"57";"57226";Fontoy;49.345434562;5.98110056;260.0;100.0;"139AP99";N;CG110;Calcaires du Dogger des côtes de Moselle versant Rhin;1;0;0;;"3"
"02726X0016_236F";"1964-03-04 00:00:00.000000";"2018-09-05 00:00:00.000000";7470;"67";"67131";Eschau;48.494092086;7.709828616;143.3;4.5;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03077X0238_209F";"1976-12-29 00:00:00.000000";"2018-08-01 00:00:00.000000";6909;"67";"67462";Sélestat;48.275302598;7.438030389;179.85;6.5;"221AA15";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"02726X0008_235G";"1964-03-03 00:00:00.000000";"2018-09-19 00:00:00.000000";7658;"67";"67378";Plobsheim;48.457359146;7.733399073;147.31;5.5;"221AA19";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
"02347X0457_246G";"1968-03-19 00:00:00.000000";"2018-07-18 00:00:00.000000";4108;"67";"67482";Strasbourg;48.609263048;7.801262206;134.99;6.0;"221AA19";;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"7"
"02344X0029_319G";"1964-10-06 00:00:00.000000";"2022-02-26 00:00:00.000000";2861;"67";"67151";Gambsheim;48.707617479;7.892810587;127.1;3.91;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"02346X0045_245N";"1985-09-24 00:00:00.000000";"2022-02-22 00:00:00.000000";1847;"67";"67482";Strasbourg;48.602167229;7.708920798;147.47;22.6;"221AA09";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"5"
"02233X0015_FO";"1976-05-20 00:00:00.000000";"2022-05-19 00:00:00.000000";5203;"51";"51323";Linthelles;48.716539;3.819351;101.6;9.5;"121AO01";C;HG208;Craie de Champagne sud et centre;1;0;0;;"5"
"00692X0062_P";"1983-01-04 00:00:00.000000";"2022-05-19 00:00:00.000000";7375;"08";"08188";Gespunsart;49.821555011;4.828760306;200.0;12.5;"211AC04";C;B1G119;Socle du massif ardennais;1;0;0;;"3"
"02603X1064_P";"1969-01-13 00:00:00.000000";"2022-05-19 00:00:00.000000";11345;"10";"10367";Saulsotte;48.540438802;3.499742584;77.0;30.5;"121AQ01";C;HG209;Craie du Senonais et Pays d'Othe;1;0;0;;"5"
"00406X0029_PAEP";"2002-08-28 00:00:00.000000";"2022-05-20 00:00:00.000000";4576;"08";"08207";Ham-sur-Meuse;50.111174778;4.780779294;106.41;7.1;"950AA13";A;B1G115;Alluvions de la Meuse et de ses affluents;1;0;0;;"3"
"01322X0049_PZADER";"1995-01-03 00:00:00.000000";"2022-05-20 00:00:00.000000";4590;"51";"51454";Reims;49.233141;4.070544;91.5;24.0;"121AM01";C;HG207;Craie de Champagne nord;1;0;0;;"3"
"02663X0001_S";"1975-04-07 00:00:00.000000";"2022-05-22 00:00:00.000000";7717;"55";"55173";Épiez-sur-Meuse;48.546922068;5.650110477;281.0;101.3;"135AA61";C;B1G113;Calcaires des côtes de Meuse de l’Oxfordien et du Kimméridgien et argiles du Callovo-Oxfordien;1;0;0;;"3"
"03427X0545_PUITS";"1955-01-04 00:00:00.000000";"2022-02-22 00:00:00.000000";3315;"68";"68007";Andolsheim;48.064745438;7.415730083;189.0;7.25;"221AA17";;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
BSS003MKHM_X;"1975-01-07 00:00:00.000000";"2022-05-16 00:00:00.000000";3373;"67";"67019";Baldenheim;48.236410505;7.540740742;169.95;6.4;"221AA17";P;;;1;0;0;;"2"
BSS004AXXS_X;"1954-12-08 00:00:00.000000";"2022-05-16 00:00:00.000000";11031;"68";"68118";Habsheim;47.635527553;7.414727356;244.19;18.0;;;;;1;0;0;;"6"
"03384X0037_PZ";"1988-10-26 00:00:00.000000";"2022-05-24 00:00:00.000000";7164;"88";"88231";Haréville;48.202608393;6.027042983;362.78;54.0;"143AE05";C;CG106;Calcaires et argiles du Muschelkalk;1;0;0;;"3"
