date_mesure;05005X0131_CG-21;04728X0050_F1;05031X0072_F1;05012X0024_F1;05266X0084_F1;04706X0067_F1;05013X0001_SM1;05213X0018_P1;04661X0002_S1;03302X1012_S1;02961X1003_S1;05794X0021_PZ1;06252X0063_PZ1;04973X0005_PZ1;05245X0047_PZ1;05277X1008_PZ1;05811X0159_F2;05553X0009_S2;04961X0093_F4;05573X0084_F.6;04698X0112_F6;05011X1051_S6;05285X0374_P7;05487X0126_P209;06024X0045_PZ9;04713X0137_F.REC;04103X0022_FC;03676X0003_FORAGE;04336X0007_FORAGE;05026X0013_F;04111X0023_F;05818X0073_F;02962X1004_F;05025X0138_F;04992X0011_SONDAG;04697X0004_SONDAG;05002X0114_SONDAG;04051X0016_SONDAG;03708X0007_SONDAG;05271X0017_SONDAG;04704X1009_SONDAG;04702X0019_SONDAG;04014X0010_P;04738X0150_P;04333X0011_P;03318X0043_P;06241X0016_P;05487X0017_P;05537X0127_P;05772X0037_P;04022X0058_P;06003X0088_P;06234X0098_P;03304X0039_P;06231X0139_P;05488X0059_P;04434X0089_P;04994X0204_S;04642X0007_S;04332X0008_S;04438X0018_S;05264X0029_S;04994X0229_S;04644X0002_PUITS;04643X0012_PUITS;05506X0032_PUITS;02967X0006_PUITS;04354X0026_PUITS;03686X0038_PUITS;05797X0145_FPZ
2010-03-21;-10.917142857142858;-1.294285714285714;-15.058571428571428;-10.944285714285714;-19.791428571428572;-1.7442857142857144;-4.075714285714286;-7.0;-3.4414285714285713;-30.535714285714285;-22.315714285714286;-10.578571428571427;-6.322857142857143;-3.8057142857142856;-11.384285714285713;-14.575714285714286;-3.54;-11.125714285714285;-1.5257142857142856;-5.571428571428571;-23.599999999999998;-2.6757142857142857;-4.554285714285714;-2.0157142857142856;-4.67;-2.16;-2.43;-4.662857142857143;-3.3685714285714288;-13.77;-19.28142857142857;-98.19714285714285;-32.28285714285715;-3.21;-15.819999999999999;-9.597142857142858;0.6042857142857142;-22.527142857142856;-4.605714285714286;-4.211428571428572;-2.03;-3.8614285714285717;-15.227142857142857;-1.8699999999999999;-25.455714285714286;-32.32857142857143;-4.131428571428572;-1.8114285714285714;-2.8525;-1.502857142857143;-25.835714285714285;-5.258571428571429;-5.012857142857143;-23.827142857142857;-6.461428571428572;-12.08;-0.9799999999999999;-13.611428571428572;-33.32142857142857;-2.9171428571428573;-32.730000000000004;-6.292857142857143;-18.237142857142857;-22.65142857142857;-22.22;-2.0142857142857142;-47.88714285714286;-3.7542857142857144;-9.0;-5.05
2010-03-25;-10.910714285714286;-1.2592857142857143;-15.111428571428572;-11.026428571428571;-19.960714285714285;-1.7857142857142858;-4.092857142857143;-7.047142857142857;-3.4628571428571426;-30.52357142857143;-22.448571428571427;-10.575714285714286;-6.4557142857142855;-3.8971428571428572;-11.422142857142855;-14.539285714285715;-3.5807142857142855;-11.119285714285713;-1.479285714285714;-5.666428571428572;-23.860714285714284;-2.6792857142857143;-4.6535714285714285;-2.0614285714285714;-4.654285714285715;-2.16;-2.4714285714285715;-4.651428571428571;-3.3614285714285717;-13.853571428571428;-19.277857142857144;-97.24928571428572;-32.26357142857143;-3.281428571428571;-15.948571428571427;-9.655000000000001;0.6135714285714285;-22.574999999999996;-4.675000000000001;-4.193571428571429;-2.0435714285714286;-3.9435714285714285;-15.071428571428571;-1.9885714285714284;-25.47;-32.76285714285714;-4.150714285714286;-1.8371428571428572;-2.846964285714286;-1.4664285714285714;-25.83642857142857;-5.327857142857143;-4.229285714285714;-23.802142857142854;-6.4471428571428575;-12.155000000000001;-0.9728571428571428;-13.585714285714285;-33.32214285714285;-2.9121428571428574;-32.24928571428572;-6.3064285714285715;-18.22142857142857;-22.57071428571429;-22.532857142857143;-2.0028571428571427;-47.88690476190476;-3.8657142857142857;-9.016428571428571;-5.017142857142857
2010-03-28;-10.904285714285715;-1.2242857142857144;-15.164285714285715;-11.108571428571429;-20.13;-1.8271428571428572;-4.11;-7.094285714285715;-3.4842857142857144;-30.511428571428574;-22.58142857142857;-10.572857142857144;-6.588571428571428;-3.988571428571429;-11.459999999999999;-14.502857142857142;-3.6214285714285714;-11.112857142857141;-1.4328571428571428;-5.761428571428572;-24.12142857142857;-2.682857142857143;-4.752857142857144;-2.107142857142857;-4.638571428571429;-2.16;-2.512857142857143;-4.640000000000001;-3.3542857142857145;-13.937142857142858;-19.274285714285718;-96.30142857142857;-32.244285714285716;-3.3528571428571428;-16.077142857142857;-9.712857142857143;0.6228571428571429;-22.62285714285714;-4.744285714285715;-4.175714285714286;-2.0571428571428574;-4.025714285714286;-14.915714285714285;-2.107142857142857;-25.48428571428571;-33.19714285714286;-4.17;-1.862857142857143;-2.8414285714285716;-1.43;-25.837142857142855;-5.397142857142858;-3.4457142857142857;-23.777142857142856;-6.432857142857143;-12.23;-0.9657142857142856;-13.56;-33.32285714285714;-2.9071428571428575;-31.768571428571427;-6.32;-18.205714285714286;-22.490000000000002;-22.845714285714287;-1.9914285714285713;-47.88666666666666;-3.9771428571428573;-9.032857142857143;-4.984285714285714
2010-04-01;-10.887857142857143;-1.205714285714286;-14.943571428571428;-11.049285714285714;-19.960714285714285;-1.7842857142857143;-3.986428571428571;-6.585714285714286;-3.1314285714285717;-30.485714285714288;-22.568571428571428;-10.540714285714287;-6.425;-3.68;-8.258571428571429;-14.442142857142857;-3.6007142857142855;-11.104999999999999;-1.4528571428571428;-5.679285714285714;-24.16428571428571;-2.4285714285714284;-4.714285714285715;-1.967142857142857;-4.594285714285714;-2.16;-2.5164285714285715;-4.622857142857143;-3.3335714285714286;-13.274285714285714;-19.267142857142858;-89.45142857142858;-32.2;-3.3085714285714287;-15.49642857142857;-9.175;0.605;-22.64285714285714;-4.66;-4.155714285714286;-1.975;-4.122857142857143;-13.680714285714286;-1.7999999999999998;-25.394285714285715;-30.52357142857143;-4.002857142857143;-1.7400000000000002;-2.8321428571428573;-1.2907142857142857;-25.837857142857143;-5.1850000000000005;-2.2414285714285715;-23.759285714285713;-6.418571428571429;-12.040714285714287;-0.937142857142857;-13.542142857142856;-33.307857142857145;-2.6678571428571427;-31.292142857142856;-6.26;-18.185000000000002;-22.182857142857145;-21.705714285714286;-1.9635714285714285;-47.89083333333333;-3.5200000000000005;-9.007857142857144;-4.904285714285715
2010-04-04;-10.87142857142857;-1.1871428571428573;-14.722857142857142;-10.99;-19.791428571428572;-1.7414285714285713;-3.8628571428571425;-6.077142857142857;-2.7785714285714285;-30.46;-22.555714285714284;-10.508571428571429;-6.261428571428572;-3.3714285714285714;-5.057142857142857;-14.381428571428572;-3.5799999999999996;-11.097142857142856;-1.4728571428571429;-5.597142857142857;-24.207142857142856;-2.174285714285714;-4.675714285714286;-1.827142857142857;-4.55;-2.16;-2.52;-4.605714285714286;-3.3128571428571427;-12.611428571428572;-19.26;-82.60142857142857;-32.15571428571429;-3.2642857142857147;-14.915714285714285;-8.637142857142857;0.5871428571428571;-22.662857142857142;-4.575714285714286;-4.135714285714285;-1.8928571428571428;-4.22;-12.445714285714287;-1.4928571428571427;-25.304285714285715;-27.849999999999998;-3.835714285714286;-1.6171428571428572;-2.8228571428571425;-1.1514285714285715;-25.83857142857143;-4.972857142857143;-1.0371428571428571;-23.74142857142857;-6.404285714285714;-11.851428571428572;-0.9085714285714286;-13.524285714285714;-33.292857142857144;-2.4285714285714284;-30.815714285714286;-6.2;-18.164285714285715;-21.875714285714285;-20.565714285714286;-1.9357142857142855;-47.894999999999996;-3.062857142857143;-8.982857142857144;-4.824285714285715
2010-04-08;-10.877142857142857;-1.21;-14.437857142857142;-10.884285714285713;-19.175;-1.7035714285714285;-3.8428571428571425;-6.193214285714285;-2.922142857142857;-30.432857142857145;-22.095714285714283;-10.486428571428572;-6.133571428571429;-3.349285714285714;-6.433571428571429;-14.337857142857143;-3.461428571428571;-11.097142857142856;-1.4892857142857143;-5.4399999999999995;-23.53285714285714;-2.125;-4.45;-1.8385714285714285;-4.439285714285714;-2.16;-2.4714285714285715;-4.6257142857142854;-3.322857142857143;-11.89;-19.26;-84.48214285714286;-32.177142857142854;-3.1221428571428573;-14.724285714285713;-8.631428571428572;0.5878571428571429;-22.730714285714285;-4.559285714285714;-4.142857142857142;-1.867142857142857;-4.287142857142857;-13.257142857142858;-1.4714285714285713;-25.237857142857145;-28.488571428571426;-3.7685714285714287;-1.647857142857143;-2.826428571428571;-1.1264285714285716;-25.845000000000002;-4.738571428571429;-1.1071428571428572;-23.734285714285715;-6.3914285714285715;-11.78357142857143;-0.9235714285714286;-13.517142857142858;-33.28357142857143;-2.654285714285714;-30.604999999999997;-6.007857142857143;-18.125714285714288;-21.68857142857143;-19.060000000000002;-1.9507142857142856;-47.89916666666666;-3.215;-8.947857142857144;-4.780714285714286
2010-04-11;-10.882857142857144;-1.2328571428571427;-14.152857142857142;-10.778571428571428;-18.55857142857143;-1.6657142857142857;-3.822857142857143;-6.309285714285714;-3.065714285714286;-30.405714285714286;-21.635714285714283;-10.464285714285714;-6.005714285714285;-3.327142857142857;-7.8100000000000005;-14.294285714285715;-3.3428571428571425;-11.097142857142858;-1.5057142857142856;-5.282857142857142;-22.858571428571427;-2.075714285714286;-4.224285714285714;-1.8499999999999999;-4.328571428571428;-2.16;-2.422857142857143;-4.645714285714285;-3.3328571428571427;-11.168571428571429;-19.26;-86.36285714285714;-32.19857142857143;-2.98;-14.532857142857143;-8.625714285714285;0.5885714285714286;-22.798571428571428;-4.542857142857143;-4.15;-1.8414285714285714;-4.354285714285714;-14.06857142857143;-1.45;-25.17142857142857;-29.127142857142854;-3.7014285714285715;-1.6785714285714286;-2.8299999999999996;-1.1014285714285716;-25.851428571428574;-4.5042857142857144;-1.1771428571428573;-23.72714285714286;-6.378571428571428;-11.715714285714286;-0.9385714285714286;-13.51;-33.27428571428571;-2.88;-30.39428571428571;-5.815714285714286;-18.087142857142858;-21.50142857142857;-17.554285714285715;-1.9657142857142857;-47.90333333333333;-3.367142857142857;-8.912857142857144;-4.7371428571428575
2010-04-15;-10.88857142857143;-1.2128571428571426;-14.462857142857143;-10.919285714285714;-18.849285714285713;-1.7149999999999999;-3.9585714285714286;-6.425357142857143;-3.235;-30.385;-21.537142857142854;-10.445;-6.036428571428571;-3.49;-9.335;-14.297857142857143;-3.37;-11.075714285714286;-1.5185714285714287;-5.3842857142857135;-23.04785714285714;-2.3671428571428574;-4.317142857142857;-1.9492857142857143;-4.287142857142857;-2.16;-2.472857142857143;-4.644285714285714;-3.34;-12.198571428571428;-19.240714285714287;-91.02214285714285;-32.21928571428572;-3.05;-14.977142857142859;-9.024999999999999;0.6178571428571429;-22.79714285714286;-4.597857142857142;-4.140000000000001;-1.9421428571428572;-4.378571428571428;-14.512142857142857;-1.5757142857142856;-25.13285714285714;-30.343571428571426;-3.6957142857142857;-1.7421428571428572;-2.8299999999999996;-1.2492857142857143;-25.851428571428574;-4.6242857142857146;-1.755;-23.71;-6.366428571428571;-11.827142857142857;-0.9842857142857143;-13.5;-33.254285714285714;-3.0107142857142852;-30.52;-5.7664285714285715;-18.042142857142856;-21.4;-17.90714285714286;-1.9857142857142858;-47.9075;-3.5164285714285715;-8.866428571428571;-4.718571428571429
2010-04-18;-10.894285714285715;-1.1928571428571428;-14.772857142857143;-11.06;-19.139999999999997;-1.7642857142857142;-4.094285714285714;-6.541428571428571;-3.404285714285714;-30.364285714285717;-21.43857142857143;-10.425714285714287;-6.067142857142857;-3.652857142857143;-10.86;-14.301428571428572;-3.3971428571428572;-11.054285714285713;-1.5314285714285716;-5.485714285714286;-23.237142857142857;-2.6585714285714284;-4.409999999999999;-2.0485714285714285;-4.2457142857142856;-2.16;-2.5228571428571427;-4.642857142857143;-3.347142857142857;-13.228571428571428;-19.22142857142857;-95.68142857142857;-32.24;-3.12;-15.421428571428573;-9.424285714285714;0.6471428571428571;-22.795714285714286;-4.652857142857143;-4.13;-2.042857142857143;-4.402857142857143;-14.955714285714285;-1.7014285714285715;-25.094285714285714;-31.56;-3.6900000000000004;-1.8057142857142858;-2.8299999999999996;-1.397142857142857;-25.851428571428574;-4.744285714285715;-2.3328571428571427;-23.692857142857143;-6.354285714285714;-11.938571428571427;-1.03;-13.49;-33.23428571428571;-3.141428571428571;-30.645714285714288;-5.717142857142858;-17.997142857142858;-21.298571428571428;-18.259999999999998;-2.005714285714286;-47.91166666666666;-3.665714285714286;-8.82;-4.7
2010-04-22;-10.900714285714287;-1.295;-14.976428571428572;-11.141428571428571;-19.418571428571425;-1.8292857142857142;-4.132142857142857;-6.797857142857143;-3.520714285714286;-30.357857142857146;-21.604285714285716;-10.450000000000001;-6.312857142857142;-3.757142857142857;-11.208571428571428;-14.334285714285713;-3.4521428571428574;-11.068571428571428;-1.5142857142857142;-5.605714285714285;-23.490714285714287;-2.6857142857142855;-4.546428571428571;-2.112857142857143;-4.328571428571428;-2.16;-2.572142857142857;-4.648571428571429;-3.354285714285714;-13.547857142857142;-19.32;-97.09428571428572;-32.236428571428576;-3.217142857142857;-15.665000000000001;-9.542857142857143;0.6699999999999999;-22.827857142857145;-4.716428571428572;-4.1292857142857144;-2.1114285714285717;-4.462857142857143;-15.232142857142858;-1.887857142857143;-25.142857142857142;-32.18285714285714;-3.7592857142857143;-1.8685714285714285;-2.8435714285714284;-1.512142857142857;-25.854285714285716;-4.862142857142857;-3.085;-23.67928571428571;-6.354285714285714;-12.06642857142857;-1.0557142857142856;-13.485;-33.25928571428571;-3.206428571428571;-31.00357142857143;-5.747142857142857;-17.984285714285715;-21.24214285714286;-18.9;-2.0464285714285717;-47.915833333333325;-3.685714285714286;-8.815714285714286;-4.767857142857143
2010-04-25;-10.907142857142857;-1.397142857142857;-15.180000000000001;-11.222857142857142;-19.697142857142858;-1.8942857142857144;-4.17;-7.054285714285714;-3.6371428571428575;-30.351428571428574;-21.77;-10.474285714285715;-6.558571428571428;-3.8614285714285717;-11.557142857142859;-14.367142857142856;-3.507142857142857;-11.082857142857142;-1.497142857142857;-5.725714285714285;-23.744285714285716;-2.7128571428571426;-4.682857142857143;-2.177142857142857;-4.411428571428571;-2.16;-2.6214285714285714;-4.654285714285714;-3.3614285714285717;-13.867142857142856;-19.41857142857143;-98.50714285714285;-32.23285714285714;-3.314285714285714;-15.90857142857143;-9.661428571428571;0.6928571428571428;-22.860000000000003;-4.78;-4.128571428571428;-2.18;-4.522857142857143;-15.508571428571429;-2.0742857142857143;-25.19142857142857;-32.80571428571428;-3.8285714285714287;-1.9314285714285713;-2.857142857142857;-1.6271428571428572;-25.857142857142858;-4.9799999999999995;-3.837142857142857;-23.665714285714284;-6.354285714285714;-12.194285714285714;-1.0814285714285714;-13.48;-33.284285714285716;-3.2714285714285714;-31.361428571428572;-5.777142857142857;-17.97142857142857;-21.185714285714287;-19.54;-2.087142857142857;-47.919999999999995;-3.705714285714286;-8.811428571428573;-4.835714285714286
2010-04-29;-10.912857142857142;-1.4628571428571426;-15.34357142857143;-11.276428571428571;-19.894285714285715;-1.9314285714285715;-4.200714285714286;-7.106428571428571;-3.702857142857143;-30.35357142857143;-21.894285714285715;-10.510000000000002;-6.841428571428571;-3.9850000000000003;-11.70357142857143;-14.382857142857143;-3.5507142857142857;-11.092857142857142;-1.4907142857142857;-5.816428571428571;-23.924285714285716;-2.8035714285714284;-4.7821428571428575;-2.2142857142857144;-4.508571428571429;-2.16;-2.6635714285714287;-4.662857142857143;-3.371428571428572;-14.030714285714286;-19.50857142857143;-99.18571428571428;-32.26857142857143;-3.3785714285714286;-16.07357142857143;-9.77;0.7035714285714285;-22.900000000000002;-4.823571428571428;-4.128571428571428;-2.2199999999999998;-4.617142857142857;-15.702857142857143;-2.2607142857142857;-25.242142857142856;-33.160714285714285;-3.9299999999999997;-1.9757142857142855;-2.847857142857143;-1.6964285714285714;-25.86357142857143;-5.08;-4.317142857142857;-23.657142857142855;-6.362142857142857;-12.286428571428573;-1.1099999999999999;-13.48;-33.29571428571428;-3.3235714285714284;-31.010714285714286;-5.828571428571428;-17.96785714285714;-21.177857142857142;-20.222857142857144;-2.1514285714285712;-47.92;-3.647857142857143;-8.837857142857143;-4.909285714285715
2010-05-02;-10.918571428571429;-1.5285714285714285;-15.507142857142856;-11.33;-20.09142857142857;-1.9685714285714284;-4.231428571428571;-7.158571428571428;-3.7685714285714282;-30.35571428571429;-22.018571428571427;-10.545714285714286;-7.1242857142857146;-4.1085714285714285;-11.85;-14.39857142857143;-3.5942857142857143;-11.102857142857143;-1.4842857142857144;-5.9071428571428575;-24.104285714285712;-2.894285714285714;-4.881428571428572;-2.2514285714285713;-4.605714285714286;-2.16;-2.705714285714286;-4.671428571428572;-3.3814285714285717;-14.194285714285714;-19.59857142857143;-99.86428571428571;-32.30428571428571;-3.442857142857143;-16.23857142857143;-9.87857142857143;0.7142857142857143;-22.94;-4.867142857142857;-4.128571428571429;-2.26;-4.711428571428571;-15.897142857142857;-2.447142857142857;-25.29285714285714;-33.51571428571429;-4.031428571428571;-2.02;-2.8385714285714285;-1.7657142857142856;-25.87;-5.18;-4.797142857142857;-23.648571428571426;-6.37;-12.37857142857143;-1.1385714285714286;-13.48;-33.30714285714286;-3.3757142857142854;-30.66;-5.88;-17.964285714285715;-21.169999999999998;-20.905714285714286;-2.2157142857142857;-47.92;-3.59;-8.864285714285714;-4.982857142857143
2010-05-06;-10.919285714285714;-1.4964285714285714;-15.537857142857142;-11.337857142857143;-20.239285714285714;-1.9835714285714285;-4.2264285714285705;-7.169285714285714;-3.602142857142857;-30.352857142857147;-22.207857142857144;-10.542857142857144;-7.032142857142857;-4.1085714285714285;-11.923571428571428;-14.410714285714285;-3.615;-11.102857142857143;-1.4457142857142857;-5.960000000000001;-24.33;-2.9714285714285715;-4.955714285714286;-2.1785714285714284;-4.631428571428572;-2.16;-2.7350000000000003;-4.6778571428571425;-3.3792857142857144;-14.234285714285715;-19.625714285714285;-99.32428571428571;-32.27285714285714;-3.477857142857143;-16.417857142857144;-9.997142857142858;0.7192857142857143;-22.942857142857143;-4.8864285714285725;-4.114285714285714;-2.2764285714285712;-4.8307142857142855;-15.937857142857142;-2.5392857142857146;-25.327142857142857;-33.73428571428572;-4.01;-1.9500000000000002;-2.8514285714285714;-1.7435714285714285;-25.87;-5.24;-3.65;-23.644285714285715;-6.37;-12.327857142857145;-1.1392857142857142;-13.48;-33.30142857142857;-3.4214285714285713;-30.74857142857143;-5.934285714285714;-17.96071428571429;-21.187142857142856;-21.587142857142858;-2.1550000000000002;-47.92285714285714;-3.4857142857142858;-8.865714285714285;-5.003571428571429
