date_mesure,A,B,C
2012-03-15,-0.02043101677539419,-0.02822006607409855,-1.0371558241111531
2012-03-22,-0.07367019243603234,0.007131427180128602,-1.0902982607173226
2012-03-29,-0.11569360184181393,0.0751888483451269,-1.1112927371170955
2012-04-05,-0.15570885728872313,0.2285278923055507,-1.118442194978905
2012-04-12,-0.20182118323913245,0.2682986100509435,-1.1422516596557324
2012-04-19,-0.05346915650268119,0.14235732716379176,-1.1023674509826196
2012-04-26,0.3648784655667926,-0.349540733130437,-1.0371693578694325
2012-05-03,0.48093472000790255,-0.4614372120011041,-0.9247684939291213
2012-05-10,0.37116115076807327,-0.3289014269285955,-0.9145270406847841
2012-05-17,0.30534048970892935,-0.25375809513022934,-0.8302174509412849
2012-05-24,0.1435112637281522,-0.15222397767723667,-0.8244249033042444
2012-05-31,0.051878682296347095,-0.01365247024409047,-0.8030038473944595
2012-06-07,0.04763869216643485,0.010364156375640088,-0.7791348443422781
2012-06-14,-0.0037284862474157576,0.021774895447290193,-0.7863795440273318
2012-06-21,-0.06627427185568195,0.08245725296208081,-0.7829610371757977
2012-06-28,-0.1637252940550531,0.3434896367038313,-0.7897104525691263
2012-07-05,-0.2276527917890167,0.546989849351699,-0.8207996066637254
2012-07-12,-0.25711680439106255,0.40293603174893844,-0.8359575765811988
2012-07-19,-0.3324780593393176,0.5060090637938133,-0.8665327841880117
2012-07-26,-0.42883813477049526,0.8632283386826447,-0.9106948651948991
2012-08-02,-0.5055129375704265,1.0862025831512299,-0.990209024112308
2012-08-09,-0.6336116186894454,1.3187780819621562,-1.0451754087066765
2012-08-16,-0.7679423113304562,1.5080532316107744,-1.1361042597268511
2012-08-23,-0.8808893759236767,1.6089893640738693,-1.2260479829004036
2012-08-30,-1.0258441348613205,1.6347301557378617,-1.3261951108320211
2012-09-06,-1.1231274923519246,1.6232798300573787,-1.3833299013038807
2012-09-13,-1.2058833326270586,1.6202744950397325,-1.4381547022634469
2012-09-20,-1.202656583768083,1.519569003528901,-1.4401917174664376
2012-09-27,-1.150170487726206,1.3361963022995815,-1.4628778490282506
2012-10-04,-0.9678770007531625,1.1860027783007172,-1.4488798900251796
2012-10-11,-0.32931017722074074,0.600905770600549,-1.3404896866006242
2012-10-18,0.48724204867755544,-0.7711204364478204,-1.1312653721811499
2012-10-25,0.585412801949988,-0.9194394006992115,-0.9024267845768708
2012-11-01,0.7015280869821561,-1.1388363057037316,-0.7775332718363094
2012-11-08,0.784441550012119,-1.2873521273719655,-0.6839039647558264
2012-11-15,0.7320423616162581,-1.0208711234105634,-0.5783370128320965
2012-11-22,0.7162763948917427,-0.8406104745166999,-0.5134991413395036
2012-11-29,0.606600709551732,-0.6823247339631406,-0.4763350064117405
2012-12-06,0.7896988589449616,-0.6450812966355346,-0.39473028257883
2012-12-13,1.0540432924340926,-1.3921410346723864,-0.22757367400144285
2012-12-20,1.4488868387511877,-1.9016330621558055,0.08008157416872091
2012-12-27,1.590134594759224,-1.86039200643029,0.32792479919590545
2013-01-03,1.3856549088008476,-1.5292375142912475,0.40799057693706264
2013-01-10,1.349612915711105,-1.252145039607899,0.5779282357438901
2013-01-17,1.3965868741766387,-1.403657693945712,0.6936533786740594
2013-01-24,1.4645442503648067,-1.8060893511196814,0.7358660226333495
2013-01-31,1.6576746625513648,-1.914171195194768,0.9948321824620423
2013-02-07,1.7592134688661094,-1.8801659595680253,1.2474375594313052
2013-02-14,1.6432590648829433,-1.8214706514636099,1.3720463110498473
2013-02-21,1.3785452202957118,-1.4259906863698295,1.404606564265742
2013-02-28,1.242967386689931,-1.083673175660277,1.4475676730745208
2013-03-07,1.361570915190718,-0.9589607678343235,1.5753178734239324
2013-03-14,1.5376788125152485,-0.8676269807798285,1.6177381568191622
2013-03-21,1.5063629177304325,-0.8198601949781142,1.6405131914115563
2013-03-28,1.328843006061506,-0.7066553886476729,1.6358602075408222
2013-04-04,1.1972701750892272,-0.5981618500297303,1.6150586183595885
2013-04-11,1.448031041785853,-1.0215973415207582,1.656566260015011
2013-04-18,1.2001051442003807,-0.8050340505702572,1.6051575941372573
2013-04-25,1.0041120852829477,-0.6242853325923742,1.6004305322061647
2013-05-02,0.8731279231006919,-0.5410162301315281,1.5476748078385811
2013-05-09,0.7422278957074343,-0.43477747128465494,1.5114091249016433
2013-05-16,0.686772560034767,-0.40561790551098575,1.4941900330390636
2013-05-23,0.725162349756064,-0.36112355933365836,1.5016394165068687
2013-05-30,0.6443019952688174,-0.2670305025972435,1.4443937024986826
2013-06-06,0.5075009362596534,-0.15989253042671014,1.417292984679009
2013-06-13,0.4302738546934709,-0.10459407750931665,1.3750329421994125
2013-06-20,0.3850291870308319,-0.15583083807788012,1.3485309557201681
2013-06-27,0.2615346154161331,-0.015574457553218235,1.2966916460178655
2013-07-04,0.12856006697558042,0.21576830076461515,1.2007360410800831
2013-07-11,-0.03588295463160118,0.5138080645467104,1.1137845612849357
2013-07-18,-0.1697513711720337,0.7211784088517503,1.006959248209976
2013-07-25,-0.14660137323616024,0.7329919624628272,0.9028165718801124
2013-08-01,-0.23424774872436116,0.9821184256196183,0.7959257197397194
2013-08-08,-0.391802874412391,1.1874756388724346,0.65796783156543
2013-08-15,-0.519703200699203,1.3791243298693716,0.5310968152475816
2013-08-22,-0.6355633902942097,1.4609609374047232,0.4195598276650444
2013-08-29,-0.7775813244752549,1.5292711938010024,0.2900118250896265
2013-09-05,-0.8771096030996507,1.5395977820616416,0.19628809573663245
2013-09-12,-0.8626070481074875,1.3708907863513469,0.15003246780489798
