date_mesure,B,A
2009-08-20,0.8575516705400983,-1.2702455138020938
2009-08-27,0.7744407119002208,-1.3253648683163979
2009-09-03,0.6272649785916646,-1.376525611509726
2009-09-10,0.5634129319926416,-1.3603445928584503
2009-09-17,0.654948279572661,-1.05453843563604
2009-09-24,0.48040065840631535,-1.011868981931029
2009-10-01,0.201236672227175,-1.0408403119135952
2009-10-08,0.0397073083524635,-0.9389122848434248
2009-10-15,-0.06739392175939679,-0.92149684510123
2009-10-22,0.06317568296626141,-0.6966534776347424
2009-10-29,0.024952872495170086,-0.779931602383563
2009-11-05,-0.16056985445163285,-0.7928719539292126
2009-11-12,-0.4055514959765116,-0.8481049925664708
2009-11-19,-0.5500637799652989,-0.8693670821680148
2009-11-26,-0.6927913974179154,-0.7374381909624178
2009-12-03,-0.50418475971756,-0.4826961394389582
2009-12-10,-0.5016787835814926,-0.5292038757739547
2009-12-17,-0.6007804160783208,-0.3470245835530807
2009-12-24,0.11625313419518399,0.4866281270522036
2009-12-31,0.39820847105925355,0.619763265450582
2010-01-07,0.714346658288687,0.7749163261977778
2010-01-14,0.9567870277267719,1.0561673007571994
2010-01-21,0.8561737107180684,0.8990242874758466
2010-01-28,0.5638507801597761,0.7070047197352837
2010-02-04,0.3592689779773759,0.7597488782874774
2010-02-11,0.2507184573409643,0.6643816575874856
2010-02-18,0.3844842161006617,1.1487148587852956
2010-02-25,0.5624597710051168,1.1168095227434751
2010-03-04,0.6237050611585498,1.1389466908780403
2010-03-11,0.4879279176071243,1.0851016015707928
2010-03-18,0.37300355742048874,1.0213661788855741
2010-03-25,0.39908543177087313,0.9577262310294913
2010-04-01,0.5701026400750324,1.211805470096211
2010-04-08,0.7286049561245742,1.1413589202019203
2010-04-15,0.7243524512850854,1.0020242760547273
2010-04-22,0.6778815503021127,0.8408262253698867
2010-04-29,0.6461608490243399,0.7735914219486106
2010-05-06,0.6815561964744259,0.9116945892608754
2010-05-13,0.6657156269676947,0.8746128334781021
2010-05-20,0.7178171645879755,0.6404510716654715
2010-05-27,0.7668055135469924,0.5357295693455812
2010-06-03,0.7352746176356553,0.34011790758861127
2010-06-10,0.8531382100965862,0.3390700932860185
2010-06-17,1.1268140204528425,0.5372334034838258
2010-06-24,1.0579335893099988,0.2595812118992191
2010-07-01,1.0615221140666624,0.13075363758922026
2010-07-08,1.0112546511491198,-0.22600156607575933
2010-07-15,0.9518758592437945,-0.31447991452463475
2010-07-22,0.9310983206957931,-0.5947115179801842
2010-07-29,0.9562362620090427,-0.7357866243274851
2010-08-05,0.8430051727465991,-0.8323724217890094
2010-08-12,0.9051086940394523,-0.9292140022453161
2010-08-19,0.8631844047624445,-0.8684485528577086
2010-08-26,0.7344251005657575,-0.9693157627716623
2010-09-02,0.7846833353381464,-0.8500987111842827
2010-09-09,1.1340890260315408,-0.47618177606811724
2010-09-16,1.0001458593452193,-0.5714664310977241
2010-09-23,0.6548150302154716,-0.5993049741143451
2010-09-30,0.40822846470638896,-0.642182944920467
2010-10-07,0.1376945392282638,-0.5745488176752798
2010-10-14,-0.06957865003920971,-0.5831597066475719
2010-10-21,-0.26804234394522486,-0.5894199801027318
2010-10-28,-0.23733722854619463,-0.13588339254148502
2010-11-04,-0.05579829031117349,-0.032873162455383964
2010-11-11,-0.19806516984727157,0.02224706596279885
2010-11-18,-0.21167037883099604,0.36239761896730815
2010-11-25,-0.2533861072994285,0.3261838649104715
2010-12-02,-0.3594441714892867,0.3622897803207271
2010-12-09,-0.3731870601497886,0.33992119671880056
2010-12-16,-0.5584815092379977,0.35882932276196094
2010-12-23,-0.3800558673359435,0.9273423080830137
2010-12-30,-0.41776487619193237,0.6667951228745786
2011-01-06,-0.5993315760016217,0.6104749964148988
2011-01-13,-0.6859132727563407,0.6348666478752072
2011-01-20,-0.8022853487022314,0.48723919852550834
2011-01-27,-0.887521797976579,0.34322310958338187
2011-02-03,-0.9460412349637445,0.39062462696510636
2011-02-10,-0.9873525997932623,0.47341595959532246
2011-02-17,-0.9490589570470561,0.5329153627370904
2011-02-24,-0.9855180619537982,0.4947951594922549
2011-03-03,-0.9932650090275064,0.3750328104054187
2011-03-10,-1.0354175347348153,0.5744935746916806
2011-03-17,-0.8410555888015743,1.0302084695295761
2011-03-24,-0.8895636712829768,0.9289436694653505
2011-03-31,-0.82826289754142,0.826795148443543
2011-04-07,-0.791575034216369,0.5747031025929478
2011-04-14,-0.7402185998741856,0.41108673878091695
2011-04-21,-0.5747928173040304,0.32962405125242306
2011-04-28,-0.43997531036712045,0.3293506137554759
2011-05-05,-0.37437893678686407,0.2010543349660409
2011-05-12,-0.15736291759000018,0.10436732542129856
2011-05-19,0.06282484247722425,-0.020227352449368474
2011-05-26,0.1979848491713293,-0.2592771232672751
2011-06-02,0.45441156196399823,0.03612994760510463
2011-06-09,0.5003709477338193,-0.006608472289351991
2011-06-16,0.5271645447196445,-0.16036652079864988
2011-06-23,0.5124022179892126,-0.31737126671105986
2011-06-30,0.5560601395536794,-0.5390798916655803
2011-07-07,0.7141714659717271,-0.6876863209735671
2011-07-14,0.699882100976101,-0.7163030021816571
2011-07-21,0.6539172835068479,-0.8238397319626753
2011-07-28,0.7161421035437114,-0.7870523466186022
2011-08-04,0.6923359792465354,-0.7020648221695135
2011-08-11,0.6140322075357662,-0.7754485148021127
2011-08-18,0.6279823152501791,-0.8801978494652923
2011-08-25,0.65786872224008,-0.929838403905608
2011-09-01,0.5098067508302524,-0.9355344730493209
2011-09-08,0.4199355650338519,-0.9300683840865361
