date_mesure;00387X0184_PZCC1;00281X0002_F1;00207X0133_F1;00281X0004_F1;00146B0007_F1;00155C0017_F1;00471X0010_H1;00463X0036_H1;00182X0010_P1;00115X0011_P1;00291X0031_P1;00171X0051_P1;00113X0002_P1;00365X0003_P1;00198X0123_P1;00104X0054_P1;00263X0006_P1;00792X0010_S1;01046X0010_S1;00855X0001_S1;01568X0101_S1;00794X0021_S1;00493X0061_S1;01293X0071_S1;00805X0002_S1;00625X0002_S1;00443X0042_S1;00671X0052_S1;01308X0082_S1;01277X0192_S1;00502X0003_S1;01031X0023_S1;01306X0023_S1;01066X0133_S1;00813X0043_S1;00847X0043_S1;01034X0014_S1;00654X0014_S1;00843X0024_S1;01561X0044_S1;00801X0005_S1;00335X0005_S1;01045X0015_S1;00807X0015_S1;00487X0015_S1;01553X1015_S1;00611X0035_S1;00821X0035_S1;01074X0006_S1;00665X0016_S1;00638X0116_S1;00845X0036_S1;00332X0007_S1;00501X0017_S1;00791X0017_S1;01287X0017_S1;00444X0008_S1;00484X0018_S1;00497X0018_S1;01028X0018_S1;01543X0028_S1;00608X0028_S1;01293X0048_S1;01024X0058_S1;00496X0019_S1;01264X0029_S1;00634X0039_S1;01042X0049_S1;00516X0059_S1;00341X0050_PZ1;00067X0183_PZ1;00253X0044_PZ1;00061X0117_PZ1;00254X0037_PZ1;00634X0147_PZ1;00225X0077_FC2;00461X0040_FE2;00148D0177_F2;00197X0049_F2;00271X0002_P2;00286X0405_PZST2;00471X0095_PZ2013;00216X0073_PZ3;00263X0129_PZASA4;00442X0050_P4;00378X0162_PZCAT4;00068X0147_PZ5;00663X0124_F_2008;00633X0132_FR.PAC;00651X0092_F;00637X0093_F;00465X0007_F;00837X0027_F;00238X0037_F;00817X0145_PZ_SN;00358X0216_PIEZO;00636X0020_P;01031X0031_P;00182X0031_P;00643X0031_P;00347X0002_P;00478X0002_P;00245X0003_P;00491X0013_P;00632X0023_P;01022X0073_P;00622X0014_P;00338X0014_P;01064X0054_P;00643X0015_P;00512X0206_P;00453X0026_P;00332X0036_P;00836X0007_P;00815X0067_P;00326X0018_P;00065X0148_P;00615X0019_P;00331X0051_F.SEP;00616X0040_PZ
2010-01-21;-2.792857142857143;-9.01;-3.26;-28.607142857142858;-5.402857142857143;-6.295714285714285;-13.744285714285715;-45.42428571428571;-10.962857142857143;-15.721428571428572;-24.312857142857144;-29.301428571428573;-0.4571428571428572;-25.602857142857143;-20.174285714285713;-4.653125;-13.922857142857143;-42.64142857142857;-32.7;-16.791428571428572;-10.665714285714285;-40.09571428571429;-14.808571428571428;-35.948571428571434;-33.612857142857145;-75.06428571428572;-37.28857142857142;-7.890000000000001;-13.03;-14.120000000000001;-5.637142857142857;-27.81;-15.882857142857144;-17.72714285714286;-27.454285714285714;-22.602857142857143;-33.54;-66.16;-25.527142857142856;-15.471428571428573;-45.75428571428572;-58.43857142857143;-15.071428571428571;-40.20857142857143;-31.514285714285712;-11.177142857142856;-21.560000000000002;-12.005714285714285;-20.824285714285715;-62.73571428571428;-8.838571428571429;-13.22;-20.975714285714282;-24.47;-35.12428571428571;-23.085714285714285;-41.25428571428572;-53.49714285714286;-54.42142857142857;-27.854285714285716;-24.761428571428574;-41.93714285714286;-27.624285714285715;-23.851428571428574;-15.647142857142857;-24.87;-18.288571428571426;-17.37;-15.47;-57.26571428571429;-25.437142857142856;-40.707142857142856;-13.192857142857141;-14.268571428571429;-25.22142857142857;-2.2585714285714285;-27.94142857142857;-4.917142857142857;-2.967142857142857;-20.014285714285712;-19.345714285714283;-14.284285714285714;-13.331428571428571;-32.27;-11.429999999999998;-22.637142857142855;-2.391428571428571;-5.762857142857143;-17.341428571428573;-29.972857142857144;-24.655714285714286;-73.89714285714285;-5.888571428571429;-15.774285714285714;-23.895714285714288;-25.948571428571427;-34.75714285714286;-30.25;-19.835714285714285;-20.608571428571427;-44.50142857142857;-34.09285714285715;-32.45285714285714;-21.06714285714286;-28.110000000000003;-3.66;-72.9857142857143;-52.58285714285715;-35.58571428571429;-25.135714285714283;-1.4714285714285715;-47.964285714285715;-50.63142857142857;-10.524285714285714;-24.49285714285714;-31.744285714285716;-0.9842857142857142;-20.382857142857144;-28.324285714285715;-9.677142857142856
2010-01-28;-2.6457142857142855;-9.041428571428572;-3.24;-28.56714285714286;-5.37;-6.257142857142857;-13.674285714285714;-45.355714285714285;-11.255714285714287;-16.297142857142855;-24.34;-29.542857142857144;-0.48;-26.052857142857142;-20.107142857142858;-4.773333333333333;-13.745714285714286;-42.59285714285715;-32.63428571428572;-16.71857142857143;-10.695714285714287;-40.08142857142857;-14.661428571428571;-35.85;-33.534285714285716;-75.02285714285713;-37.128571428571426;-7.54;-12.977142857142857;-14.095714285714285;-4.492857142857143;-27.706;-15.845714285714285;-17.72714285714286;-27.41;-22.285714285714285;-33.56714285714286;-66.04571428571428;-25.485714285714288;-15.468571428571428;-45.73142857142857;-58.402857142857144;-15.002857142857142;-40.16857142857143;-31.557142857142857;-11.178571428571429;-21.381428571428568;-11.971428571428573;-20.69;-62.45285714285715;-8.821428571428571;-13.188571428571427;-20.759999999999998;-24.462857142857143;-35.044285714285714;-23.068571428571428;-41.25142857142857;-53.5;-53.83;-27.77285714285714;-24.725714285714286;-42.035714285714285;-27.625714285714285;-23.572857142857142;-15.638571428571428;-24.849999999999998;-18.27285714285714;-17.32857142857143;-15.438571428571427;-57.01428571428572;-25.657142857142855;-40.42285714285714;-13.212857142857143;-14.047142857142857;-25.205714285714286;-2.204285714285714;-27.921428571428574;-4.7057142857142855;-2.8885714285714283;-19.942857142857143;-19.34;-14.214285714285714;-13.292857142857143;-32.238571428571426;-11.4;-22.632857142857144;-1.4814285714285715;-5.717142857142858;-17.32;-29.947142857142858;-24.63;-73.84857142857143;-5.822857142857144;-15.875714285714285;-23.832857142857144;-25.91;-34.76714285714286;-30.154;-18.744285714285716;-20.62714285714286;-44.32;-34.075714285714284;-32.24857142857143;-21.094285714285714;-28.102857142857143;-3.6214285714285714;-72.96857142857144;-52.44428571428572;-35.565714285714286;-25.135714285714283;-1.2142857142857142;-47.91857142857143;-50.49428571428571;-10.514285714285714;-24.36285714285714;-31.582857142857144;-0.8985714285714286;-20.065714285714286;-27.92571428571429;-9.662857142857144
2010-02-04;-2.34;-8.935714285714285;-3.18;-28.368571428571425;-5.344285714285715;-6.232857142857143;-13.522857142857143;-45.27285714285715;-8.718571428571428;-16.52857142857143;-24.364285714285717;-29.48428571428571;-0.5028571428571429;-25.69142857142857;-20.018571428571427;-4.848571428571428;-13.485714285714286;-42.47571428571428;-32.58;-16.434285714285714;-10.638571428571428;-40.034285714285716;-14.301428571428572;-35.90571428571429;-33.43714285714286;-74.94714285714285;-37.25428571428571;-6.3428571428571425;-12.911428571428571;-14.074285714285713;-2.962857142857143;-27.602;-15.811428571428573;-17.73;-27.354285714285712;-21.21142857142857;-33.59;-64.59571428571428;-25.271428571428572;-15.422857142857143;-45.69714285714286;-58.362857142857145;-14.937142857142858;-40.11;-31.584285714285716;-11.171428571428573;-20.978571428571428;-11.94;-20.382857142857144;-61.41285714285714;-8.812857142857144;-13.137142857142859;-20.395714285714288;-24.422857142857143;-34.80285714285714;-23.087142857142858;-41.24857142857143;-53.478571428571435;-53.037142857142854;-27.60571428571429;-24.737142857142857;-42.151428571428575;-27.632857142857144;-23.065714285714286;-15.577142857142857;-24.84714285714286;-18.27285714285714;-17.284285714285716;-15.307142857142859;-56.24285714285714;-25.655714285714286;-40.10142857142857;-13.324285714285713;-13.757142857142856;-25.198571428571427;-2.1028571428571428;-27.849999999999998;-4.497142857142857;-2.757142857142857;-19.83857142857143;-19.354285714285716;-14.062857142857142;-13.245714285714286;-32.20285714285715;-11.348571428571429;-22.645714285714288;-1.6099999999999999;-5.718571428571429;-17.34;-29.91142857142857;-24.622857142857146;-73.80428571428571;-5.75;-15.835714285714285;-23.678571428571427;-25.845714285714283;-34.76714285714286;-30.058;-17.34857142857143;-20.665714285714284;-43.965714285714284;-34.04;-32.08142857142857;-21.08857142857143;-28.111428571428572;-3.5928571428571425;-72.92857142857143;-52.18428571428571;-35.582857142857144;-25.15142857142857;-1.2214285714285715;-47.90428571428571;-50.33714285714286;-10.482857142857142;-24.202857142857145;-31.41142857142857;-0.96;-19.268571428571427;-27.555714285714284;-9.618571428571428
2010-02-11;-2.4914285714285715;-8.77142857142857;-3.09;-28.2;-5.192857142857143;-6.187142857142858;-13.255714285714287;-45.18;-8.815714285714286;-16.684285714285714;-24.367142857142856;-29.382857142857144;-0.53;-25.740000000000002;-19.947142857142858;-5.0128571428571425;-13.167142857142858;-42.361428571428576;-32.510000000000005;-15.954285714285716;-10.554285714285713;-40.03142857142858;-14.01;-35.885714285714286;-33.30857142857143;-74.93714285714285;-37.78000000000001;-6.922857142857143;-12.94;-14.03;-5.175714285714286;-27.497999999999998;-15.777142857142858;-17.725714285714286;-27.228571428571428;-19.77285714285714;-33.58142857142857;-64.50285714285714;-24.85571428571429;-15.35;-45.67714285714286;-58.362857142857145;-14.857142857142858;-39.98571428571428;-31.617142857142856;-11.17;-20.61285714285714;-11.888571428571428;-20.13;-60.175714285714285;-8.827142857142857;-13.069999999999999;-20.41857142857143;-24.395714285714284;-34.65857142857143;-23.092857142857145;-41.19;-53.5;-52.540000000000006;-27.095714285714287;-24.73857142857143;-42.300000000000004;-27.638571428571428;-22.732857142857142;-15.477142857142857;-24.84;-18.271428571428572;-17.23857142857143;-15.232857142857142;-55.09142857142857;-25.732857142857142;-39.80285714285714;-13.481428571428571;-13.447142857142856;-25.19142857142857;-2.0742857142857143;-27.74857142857143;-4.551428571428572;-2.5828571428571427;-19.735714285714288;-19.391428571428573;-13.795714285714284;-13.218571428571428;-32.17142857142857;-11.382857142857144;-22.64428571428571;-0.7785714285714286;-5.721428571428572;-17.352857142857143;-29.802857142857142;-24.594285714285714;-73.77285714285715;-5.75;-15.734285714285715;-23.58142857142857;-25.734285714285715;-34.75571428571429;-29.962;-21.118571428571425;-20.695714285714285;-43.521428571428565;-33.964285714285715;-31.915714285714284;-21.05;-28.091428571428573;-3.564285714285714;-72.89571428571428;-52.074285714285715;-35.58714285714286;-25.16;-1.4857142857142858;-47.88857142857143;-50.19285714285714;-10.45857142857143;-24.057142857142857;-31.240000000000002;-1.1542857142857144;-18.807142857142857;-27.165714285714284;-9.6
2010-02-18;-2.511428571428571;-8.64;-3.05;-28.141428571428573;-5.191428571428572;-6.117142857142857;-13.041428571428572;-45.09285714285715;-10.294285714285715;-16.88714285714286;-24.361428571428572;-29.431428571428572;-0.5528571428571428;-25.81714285714286;-19.87142857142857;-5.068571428571429;-12.917142857142858;-42.290000000000006;-32.432857142857145;-15.768571428571429;-10.487142857142857;-40.02571428571429;-13.965714285714286;-35.84571428571429;-33.15857142857143;-74.88142857142857;-37.26857142857143;-6.952857142857143;-12.905714285714286;-13.998571428571427;-4.848571428571428;-27.394;-15.709999999999999;-17.724285714285713;-27.05;-19.439999999999998;-33.537142857142854;-64.96857142857142;-24.632857142857144;-15.315714285714288;-45.62714285714286;-58.362857142857145;-14.725714285714286;-39.848571428571425;-31.662857142857142;-11.17;-20.37857142857143;-11.848571428571429;-20.05857142857143;-60.294285714285714;-8.812857142857144;-13.012857142857143;-20.357142857142858;-24.442857142857143;-34.54714285714286;-23.041428571428572;-41.07571428571429;-53.50714285714286;-52.660000000000004;-26.694285714285716;-24.72142857142857;-42.379999999999995;-27.640000000000004;-22.62857142857143;-15.40857142857143;-24.84;-18.25714285714286;-17.158571428571427;-15.194285714285714;-54.68;-25.904285714285717;-39.47571428571428;-13.651428571428571;-13.142857142857142;-25.172857142857143;-2.0757142857142856;-27.665714285714284;-4.588571428571429;-2.491428571428571;-19.57857142857143;-19.42142857142857;-13.581428571428571;-13.154285714285715;-32.13142857142857;-11.379999999999999;-22.642857142857142;-0.6557142857142857;-5.664285714285714;-17.33857142857143;-29.724285714285713;-24.537142857142857;-73.72571428571429;-5.75;-15.69;-23.41857142857143;-25.59142857142857;-34.71714285714286;-29.866;-21.37;-20.715714285714284;-43.24;-33.88142857142857;-31.657142857142855;-21.009999999999998;-28.075714285714287;-3.6271428571428572;-72.85571428571428;-51.86571428571428;-35.58428571428571;-25.157142857142855;-1.3628571428571428;-47.848571428571425;-50.057142857142864;-10.43142857142857;-23.81142857142857;-30.995714285714286;-1.0471428571428572;-18.544285714285714;-26.618571428571425;-9.588571428571429
2010-02-25;-1.9985714285714287;-8.598571428571429;-2.97;-27.915714285714284;-5.252857142857144;-6.047142857142857;-12.81;-44.98571428571428;-7.142857142857143;-16.30857142857143;-24.364285714285717;-29.314285714285713;-0.5771428571428572;-25.88714285714286;-19.755714285714284;-4.74;-12.678571428571429;-42.14142857142857;-32.325714285714284;-15.709999999999999;-10.45142857142857;-39.88428571428572;-13.172857142857143;-35.92;-32.965714285714284;-74.29857142857144;-36.56285714285714;-5.452857142857143;-12.854285714285714;-14.002857142857142;-1.9842857142857144;-27.29;-15.65857142857143;-17.717142857142857;-26.857142857142858;-19.49142857142857;-33.47714285714286;-64.78;-24.55;-15.312857142857142;-45.53000000000001;-58.34428571428572;-14.608571428571429;-39.65428571428571;-31.60571428571429;-11.164285714285715;-19.807142857142857;-11.79857142857143;-20.01571428571429;-59.88285714285714;-8.788571428571428;-12.968571428571428;-20.132857142857144;-24.364285714285717;-34.07714285714286;-23.055714285714284;-40.949999999999996;-53.395714285714284;-51.98285714285714;-26.458571428571428;-24.72142857142857;-42.37428571428571;-27.645714285714284;-21.67142857142857;-15.274285714285714;-24.84;-18.251428571428573;-17.072857142857142;-15.065714285714288;-54.455714285714286;-25.434285714285714;-39.07857142857143;-13.755714285714285;-12.83;-25.15142857142857;-1.9514285714285715;-27.584285714285716;-4.255714285714285;-2.3328571428571427;-19.38714285714286;-19.451428571428572;-13.35;-13.15;-32.08;-11.290000000000001;-22.634285714285713;-0.97;-5.67;-17.34714285714286;-29.687142857142856;-24.52857142857143;-73.64999999999999;-5.724285714285714;-15.754285714285714;-23.028571428571432;-25.422857142857143;-34.64857142857143;-29.77;-14.782857142857141;-20.74285714285714;-42.80285714285714;-33.77;-31.39428571428571;-20.919999999999998;-28.041428571428572;-3.583809523809524;-72.8;-51.61857142857143;-35.59571428571429;-25.172857142857143;-1.1039999999999999;-47.84428571428572;-49.94;-10.407142857142857;-23.46857142857143;-30.752857142857145;-0.62;-17.25142857142857;-26.124285714285715;-9.487142857142857
2010-03-04;-2.0242857142857145;-8.528571428571428;-2.97;-27.400000000000002;-5.344285714285713;-5.998571428571429;-12.354285714285714;-44.84285714285715;-5.215714285714285;-15.20142857142857;-24.297142857142855;-28.849999999999998;-0.6014285714285714;-25.804285714285715;-19.635714285714283;-4.792857142857143;-12.358571428571429;-41.94;-32.2;-15.680000000000001;-10.435714285714285;-39.82142857142857;-11.945714285714287;-35.92;-32.72857142857143;-74.17714285714285;-37.13857142857143;-5.5928571428571425;-12.801428571428572;-13.984285714285715;-3.8185714285714285;-26.75;-15.597142857142858;-17.714285714285715;-26.532857142857143;-19.38714285714286;-33.34428571428571;-63.5;-24.554285714285715;-15.31;-45.51;-58.325714285714284;-14.491428571428571;-39.348571428571425;-31.552857142857142;-11.164285714285715;-19.177142857142858;-11.687142857142858;-19.904285714285717;-57.91285714285714;-8.80857142857143;-12.912857142857144;-20.037142857142857;-24.23428571428571;-33.82285714285714;-23.10571428571429;-40.84428571428572;-53.401428571428575;-50.64142857142857;-25.81142857142857;-24.761428571428574;-42.49285714285714;-27.65;-20.872857142857146;-14.968571428571428;-24.84;-18.282857142857143;-17.0;-14.930000000000001;-53.67714285714286;-24.90857142857143;-38.69857142857143;-13.534285714285714;-12.45142857142857;-25.12;-1.8857142857142857;-27.482857142857142;-4.172857142857143;-2.1357142857142857;-19.145714285714288;-19.47;-12.894285714285715;-13.221428571428572;-32.03285714285714;-11.299999999999999;-22.582857142857144;-0.5514285714285714;-5.748571428571429;-17.37857142857143;-29.54;-24.464285714285715;-73.62;-5.698571428571428;-15.722857142857142;-22.787142857142857;-25.172857142857143;-34.544285714285714;-29.27722222222222;-19.76142857142857;-20.777142857142856;-41.894285714285715;-33.544285714285714;-31.178571428571427;-20.708571428571428;-27.925714285714285;-3.5404761904761908;-72.76;-51.42142857142857;-35.61;-25.17571428571429;-1.264095238095238;-47.854285714285716;-49.83857142857143;-10.381428571428572;-23.12;-30.568571428571428;-1.0457142857142858;-16.208571428571428;-25.761428571428574;-9.394285714285715
2010-03-11;-2.2714285714285714;-8.312857142857142;-2.95;-27.330000000000002;-5.4071428571428575;-5.92;-11.930000000000001;-44.75571428571429;-7.338571428571428;-15.455714285714285;-24.2;-28.881428571428568;-0.6271428571428571;-25.82857142857143;-19.54;-4.961428571428572;-12.09142857142857;-41.87428571428571;-32.104285714285716;-15.51;-10.429999999999998;-39.82142857142857;-11.79857142857143;-35.887142857142855;-32.49;-74.30857142857143;-37.00142857142857;-5.964285714285714;-12.77;-13.97857142857143;-5.2;-26.21;-15.505714285714285;-17.71;-26.101428571428574;-19.154285714285717;-33.23857142857143;-63.90714285714286;-24.427142857142858;-15.31;-45.52571428571429;-58.362857142857145;-14.34142857142857;-39.09285714285715;-31.577142857142857;-11.167142857142858;-18.881428571428568;-11.612857142857141;-19.787142857142857;-57.925714285714285;-8.81;-12.845714285714285;-20.052857142857142;-24.21857142857143;-33.73571428571429;-23.117142857142856;-40.69;-53.43285714285714;-50.53857142857142;-25.25142857142857;-24.737142857142857;-42.54571428571428;-27.66142857142857;-20.822857142857142;-14.887142857142859;-24.72142857142857;-18.282857142857143;-16.892857142857142;-14.874285714285715;-53.08571428571429;-25.330000000000002;-38.294285714285714;-13.422857142857142;-12.104285714285714;-25.09714285714286;-1.9314285714285713;-27.38;-4.297142857142857;-2.0285714285714285;-18.881428571428568;-19.485714285714288;-12.47;-13.29857142857143;-31.982857142857142;-11.370000000000001;-22.534285714285716;-0.4442857142857143;-5.757142857142857;-17.372857142857143;-29.388571428571428;-24.35571428571429;-73.57857142857142;-5.704285714285715;-15.66;-22.562857142857144;-24.852857142857143;-34.41428571428572;-28.784444444444446;-22.141428571428573;-20.798571428571428;-41.378571428571426;-33.244285714285716;-30.937142857142856;-20.46142857142857;-27.90142857142857;-3.4971428571428573;-72.76;-51.22714285714286;-35.612857142857145;-25.155714285714286;-1.4241904761904762;-47.825714285714284;-49.73142857142857;-10.352857142857143;-22.744285714285716;-30.349999999999998;-1.2514285714285713;-16.014285714285712;-25.388571428571428;-9.354285714285712
2010-03-18;-2.402857142857143;-8.127142857142857;-2.99;-27.342857142857145;-5.29;-5.851428571428571;-11.6;-44.66285714285714;-9.781428571428572;-15.965714285714284;-24.138571428571428;-29.107142857142858;-0.66;-25.868571428571425;-19.462857142857143;-5.078571428571428;-11.907142857142857;-41.824285714285715;-31.952857142857145;-15.362857142857143;-10.429999999999998;-39.77142857142858;-11.952857142857143;-35.84142857142857;-32.25142857142857;-74.46714285714286;-36.74285714285714;-5.991428571428571;-12.73857142857143;-13.98;-5.497142857142857;-25.67;-15.415714285714285;-17.705714285714286;-25.662857142857142;-19.044285714285714;-33.14142857142857;-64.26142857142858;-24.24857142857143;-15.312857142857142;-45.51142857142857;-58.362857142857145;-14.178571428571429;-38.84428571428572;-31.59857142857143;-11.164285714285715;-18.714285714285715;-11.549999999999999;-19.78;-58.441428571428574;-8.8;-12.787142857142857;-20.01571428571429;-24.259999999999998;-33.598571428571425;-23.12142857142857;-40.52428571428572;-53.45142857142857;-51.10285714285715;-25.044285714285714;-24.7;-42.540000000000006;-27.669999999999998;-20.604285714285712;-14.907142857142857;-24.50714285714286;-18.27285714285714;-16.759999999999998;-14.844285714285714;-53.05142857142857;-25.63714285714286;-37.88428571428572;-13.48;-11.822857142857144;-25.052857142857142;-1.97;-27.264285714285712;-4.38;-1.9742857142857144;-18.624285714285715;-19.494285714285713;-12.14;-13.241428571428571;-31.947142857142858;-11.39;-22.49857142857143;-0.43142857142857144;-5.74;-17.362857142857145;-29.292857142857144;-24.237142857142857;-73.53285714285714;-5.724285714285714;-15.780000000000001;-22.312857142857144;-24.527142857142856;-34.277142857142856;-28.291666666666668;-23.13714285714286;-20.82;-40.97714285714286;-33.08142857142857;-30.76571428571429;-20.294285714285714;-27.881428571428568;-3.794285714285714;-72.74428571428572;-50.99428571428571;-35.607142857142854;-25.145714285714284;-1.5842857142857143;-47.787142857142854;-49.63857142857143;-10.335714285714285;-22.217142857142857;-30.117142857142856;-1.252857142857143;-15.997142857142858;-25.00142857142857;-9.35
2010-03-25;-2.494285714285714;-7.935714285714285;-3.01;-27.37857142857143;-5.271428571428571;-5.785714285714286;-11.334285714285715;-44.57857142857143;-11.842857142857143;-16.54285714285714;-24.092857142857145;-29.398571428571426;-0.7299999999999999;-25.475714285714282;-19.397142857142857;-5.174285714285714;-11.817142857142857;-41.77571428571429;-31.76571428571429;-15.252857142857142;-10.429999999999998;-39.68571428571429;-12.105714285714285;-35.83714285714286;-32.05714285714286;-74.49571428571429;-36.348571428571425;-5.855714285714286;-12.65857142857143;-14.01142857142857;-5.265714285714286;-25.33142857142857;-15.34;-17.701428571428572;-25.235714285714288;-19.054285714285715;-33.041428571428575;-64.4857142857143;-24.18285714285714;-15.31857142857143;-45.44285714285714;-58.34142857142857;-14.041428571428572;-38.62428571428571;-31.617142857142856;-11.15;-18.62142857142857;-11.508571428571429;-19.75857142857143;-58.862857142857145;-8.781428571428572;-12.72;-19.987142857142857;-24.274285714285714;-33.44285714285714;-23.12142857142857;-40.35857142857143;-53.45142857142857;-51.51714285714286;-24.98;-24.88;-42.49142857142857;-27.669999999999998;-20.271428571428572;-14.952857142857143;-24.40285714285714;-18.26;-16.64857142857143;-14.815714285714288;-53.12428571428571;-25.885714285714283;-37.471428571428575;-13.641428571428571;-11.59;-25.03;-1.9928571428571427;-27.142857142857142;-4.421428571428572;-1.9528571428571428;-18.419999999999998;-19.50142857142857;-11.874285714285715;-13.174285714285714;-31.921428571428574;-11.379999999999999;-22.475714285714282;-0.41714285714285715;-5.698571428571428;-17.34;-29.208571428571428;-24.11285714285714;-73.47;-5.741428571428571;-15.962857142857144;-22.124285714285715;-24.240000000000002;-34.128571428571426;-27.982857142857142;-23.37142857142857;-20.834285714285716;-40.66571428571429;-33.034285714285716;-30.722857142857144;-20.174285714285713;-27.860000000000003;-3.865714285714286;-72.70714285714286;-50.74857142857143;-35.60142857142857;-25.13714285714286;-1.5314285714285716;-47.74142857142857;-49.540000000000006;-10.312857142857142;-21.71142857142857;-29.922857142857143;-1.1714285714285713;-16.048571428571428;-24.724285714285713;-9.331428571428571
