date_mesure;06211X0041_P3CAPT;07223C0113_S;07208X0197_F1C;06003X0088_P;05794X0021_PZ1;04992X0011_SONDAG;04994X0204_S;05002X0114_SONDAG;03462X0043_F;03182X0027_PZ;03107X0008_F;04915X0009_F1AEP1;02551X0022_FAEP;05696X0002_FAEP;01815X0006_FAEP;03787X0109_60A;03795X0037_55;03078X0014_214;00115X0011_P1;00632X0023_P;00263X0006_P1;00801X0005_S1;02584X0024_FCH7;02218X0033_P6;02182X0004_P2;02203X0002_S1;01551X1013_S1;07545X0002_F1;09258X0005_F;08754X0028_P;08031X0302_P1;08046X0005_F2;09508X0063_F;01168X0065_P;01011X0045_P;00583X0005_S1;09916X0098_LANSAR;10912X0111_BAR4;09914X0370_PERRIE;10897X0010_F3;09406X0643_P130;09668X0106_16;05082X0181_PZ;05865X0126_S;04851X0091_PZ
2009-09-17;-1.084235783153426;-0.5021912920720296;2.2657780592647594;-0.8600520198093664;-1.5109834280669074;-1.1389767432360396;-0.2572862190150522;1.159101175526442;-1.0932289001308861;-0.5830664303289417;-1.0981701067633627;-1.6964649166707202;-0.8684723427180547;-1.7810016914782196;-1.1383854500311226;-1.232358887772961;-0.038771826126340184;-1.1347082310580683;-1.3358907752663067;-0.2507189427238398;-0.7188664729212674;-0.6166792713774911;-1.3375528119154607;-2.1902446742828783;0.5117390776734035;-0.27304630460778945;-1.2678233187081323;-1.337415010563316;-1.231962567648461;-0.8190916885997647;-0.49557260643409773;0.9562090352461088;-1.128047336865634;-1.3111748498659117;-0.6899862955826368;0.1610129713603389;-0.9735273752225507;-1.5859291846008583;0.9479337399729884;-1.1877817154412798;-1.0627801217685482;0.07525864271811435;-1.3112630248477941;2.0627469495130315;-1.077204148004576
2009-09-24;-1.1309727088000678;-0.5394305761267654;2.2975234138828724;-0.9163386115302924;-1.5735289545268056;-1.1890254743768587;-0.30551828456106256;1.2453760363862936;-1.159135176693869;-0.6543311952928803;-1.139196628478392;-1.9393512780190572;-0.8857621491810564;-1.680697059098892;-1.154074788383516;-1.1992586944010808;-0.038771826126340184;-1.1594889071511345;-1.361060203362541;-0.33630032704604523;-0.814003214441149;-0.754206464220005;-1.3395896149246804;-2.205218587058661;0.43511932130962755;-0.46146830281702367;-1.3471994854102631;-1.3445603872958423;-1.2250922245185532;-0.574312088852387;-0.5623986286919512;0.7256890774300323;-0.9023862397577566;-1.3676373633047512;-0.7665097677441178;0.10150204101105273;-1.0158781673387094;-1.482171152613724;0.9051640219523539;-1.2084268042247646;-0.9480083833390487;-0.12861173285807503;-1.398966244654174;1.9295414190290456;-1.109162094421876
2009-10-01;-1.1813047825733753;-0.5906345917020279;2.302058464542601;-0.9697387113680934;-1.6070354865588945;-1.3357785334846877;-0.3588274096382264;1.3051047862123435;-1.2070670141942204;-0.7023258329216552;-1.1489648479343508;-2.0264237471816675;-0.9030519556440582;-1.6217879892888143;-1.1586508454029651;-1.1694685203663837;-0.09604627431297155;-1.1842695832442007;-1.3893079068374528;-0.4027385069803916;-0.8719501388214397;-0.754206464220005;-1.3423053522702975;-2.2127055434465523;0.8054481437345027;-0.5477337959730545;-1.4265756521123942;-1.5339128707078313;-1.286925312687672;-0.7263721432409099;-0.6292246509498047;0.8917990470327927;-0.7699735298845385;-1.4240998767435906;-0.8430332399055958;0.054858338845388106;-1.0102313950565553;-1.3635905446284262;0.8312890544621653;-1.2377645619697115;-0.8332366449095492;-0.4314192024638813;-1.4816578519001904;1.8347171430912927;-1.109162094421876
2009-10-08;-1.2208514119666902;-0.5952895022088698;2.2975234138828724;-1.0159225814980835;-1.602567948954615;-1.3535924886365036;-0.4197521240121284;1.2918317306954432;-1.125183458464454;-0.7721362149271467;-1.083843384894622;-1.820199478112326;-0.9255287040459613;-1.588353111829038;-1.1802236856375083;-1.1694685203663837;-0.2392323947795525;-1.0851468788719336;-1.322672298640225;-0.4353945615243891;-0.9359512194802682;-0.8103400123189829;-1.3871150184730547;-2.236102282158716;0.371269524339793;0.04250378877875704;-1.5059518188145251;-1.4374502848187056;-1.2388329107783602;-0.8561795067433078;-0.6936640295555915;0.713824079601264;-0.6841850136286537;-1.2641227553335421;-0.8717295419661518;-0.005456793265377669;-0.8775322464259251;-1.2301873606449674;0.7865752583496846;-1.2681889033348344;-0.7280292180158406;-0.6292933905231263;-1.5568320403056588;1.7602123548544872;-1.1411200408391764
2009-10-15;-1.2460174488533422;-0.632528786263607;2.320198667181522;-1.0606632056865117;-1.6182043305695888;-1.3951583839907442;-0.46798418955813875;1.2851952029369935;-1.1431578975270862;-0.8084957888883386;-1.1561282088687206;-1.6552200628568516;-0.9255287040459613;-1.6201958522669189;-1.197874191283951;-1.1827085977151366;-0.525604635712717;-1.0603662027788674;-1.3769948053227479;-0.4387727740634293;-0.976600554493308;-0.9394471729466626;-1.3565629733348146;-2.2323588039647695;0.7032884685827802;0.04023364422201166;-1.5853279855166296;-1.4588864150162901;-1.1392129353947824;-0.9377727066590995;-0.7509434772051808;0.8460340554075408;-0.5592321747342078;-1.2358914986141238;-0.9673838821679985;-0.060142513045802266;-0.8323580681686885;-1.0078487206725344;0.7457496184208965;-1.2899205757385062;-0.6515147257295081;-0.5933162654214447;-1.817435893444617;1.6981250313238156;-1.1602948086895595
2009-10-22;-1.2136611157133599;-0.574342404928081;2.2793832112439514;-1.0953011082840038;-1.5913991049439178;-1.4502968166035133;-0.5212933146352995;1.3714700637968449;-1.10920617929767;-0.8550360435586655;-1.1216138334576655;-1.4948234091362518;-0.954921375033072;-1.5596946454349458;-1.1946055791272028;-1.2290488684357779;-0.8692513248325128;-1.0603662027788674;-1.3972752078175565;-0.44890741168052756;-0.976600554493308;-0.9647072695911929;-1.3993358365283524;-2.2707294554527135;0.5526029477341053;0.08109624624329301;-1.6647041522187607;-1.4481683499174978;-1.1666943079143965;-0.9414814884734547;-0.8058362812027019;0.9019690451717376;-0.5051481101381047;-1.2358914986141238;-0.9769493161881859;-0.1059820134499913;-0.45967109754649066;-0.7163380593753464;0.8565620696561782;-1.329037586065102;-0.46979280654946703;-0.5693315153536594;-1.7021688045562315;1.6123316388087061;-1.1730779872564923
2009-10-29;-1.2424223007266777;-0.5976169574622914;2.329268768500985;-1.112620059582751;-1.5958666425482;-1.3739512945242955;-0.5746024397124633;1.1657377032848917;-1.0293197834637506;-0.8812149368107245;-1.0174194925941002;-1.391711274601581;-0.9514634137404767;-1.6122351671574497;-1.2017965258720498;-1.2720791198192238;-1.069711893485725;-1.010804850592735;-1.3737354549217973;-0.4556638367585968;-1.066403872624953;-1.009614108070392;-1.3599576450168394;-2.2566914122254205;0.8054481437345027;0.2695182444525385;-1.7440803189208915;-1.2909700618018831;-1.1289074206999379;-0.9303551430303916;-0.844022579635763;1.0358740206678398;-0.44173920681853673;-1.2076602418947027;-1.0152110522689264;-0.1550383209000827;-0.5302557510734218;-0.5730531580597793;0.8857232410338824;-1.3562021765696755;-0.38371400272734346;-0.680260984417169;-1.6169713910300338;1.5197650837266143;-1.198644344390326
2009-11-05;-1.0159279687467935;-0.5952895022088698;2.2975234138828724;-1.0707659272774477;-1.5377886536925784;-0.9073953262624141;-0.6279115647896303;0.9201861762222385;-0.5420127688768498;-0.9073938300627836;-0.24573015557332273;-1.1923611478345504;-0.9635662782645771;-1.5780042211867276;-1.2240230885379417;-1.3184193905398651;-1.2415352380456244;-0.8869014701273995;-1.1763636806419648;-0.44440312829514994;-1.1562071907565983;-0.9226071085169665;-1.3891518214822711;-2.2857033682285013;0.5628189152491696;0.846134961863923;-1.8234564856230224;-0.14413709623115553;-1.0155467590565532;0.026510565072992816;-0.7127571787721212;1.1579139983351718;-0.25710740009391025;-0.746549715477507;-0.8621641079459645;-0.1896189966435854;-0.5584896124841943;-0.4124752514130219;0.9187725685952829;-1.3768472653531494;-0.35980322388786296;-0.9291027663704603;-1.288710768326154;1.3335031131346;-1.166686397973026
2009-11-12;-0.9799764874801465;-0.6278738757567638;2.28391826190368;-1.1183930433489995;-1.5400224224947197;-0.8403809235484357;-0.6812206898667973;0.7542729822609867;0.08509543841941031;-0.9117569789381269;0.7903523213887503;-0.995302401834956;-0.9825850653738765;-1.5716356730991496;-1.256709210105431;-1.407789912643948;-1.3847213585122051;-0.8373401179412671;-1.1665856294391121;-0.4387727740634293;-1.2460105088882434;-0.981547334020889;-1.4040883768831924;-2.306292498295203;0.32018968676389997;0.6077697834064598;-2.2415042969209296;0.3917661587084368;-1.0121115874915994;0.627333218998375;-0.47170616991343584;1.1596089980249975;-0.0743405611139786;-0.426595472657413;-1.1012999584505916;-0.22580807591004723;-0.5754299293306584;-0.21484090477086074;0.8896113972175762;-1.419224026540295;-0.35023891235207194;-1.243902611010163;-1.025601108907013;1.1641740489600418;-1.1539032194061092
2009-11-19;-1.0590697462667717;-0.665113159811501;2.274848160584217;-1.1140633055243125;-1.5578925729118318;-0.7012624166485266;-0.7345298149439612;0.5087214551983346;0.5604194936312243;-0.9335727233148435;1.2422952748844638;-0.7844953712307389;-0.9895009879590754;-1.5915373858728248;-1.2854729970848195;-1.467370260713342;-1.4992702548854704;-0.8125594418482008;-0.8975081463383502;-0.4680506160683922;-1.2594161406478628;-1.082587720599066;-1.297495686067547;-2.3278174979103925;0.1669501740363479;0.8211633717398028;-1.9239996301124058;0.42034766563854875;-1.0121115874915994;0.4418941282806642;-0.3953335730473167;1.125709004228516;-0.05942081915643402;-0.32308086468620545;-1.139561694531332;-0.27325597983718347;-0.5810767016128126;-0.1407280247800503;0.8721146943909535;-1.4616007877274406;-0.30719951044100796;-1.261891173561;-0.6772940359616747;0.8684126168684799;-1.1539032194061092
