date_mesure,A,C,B,D
2009-10-22,-0.1855867070971425,0.5948728913500656,-0.7677707902264767,-0.1198780990987951
2009-10-29,-0.4147867776109249,0.5912572418764481,-0.7137611227246277,-0.2468334024213532
2009-11-05,-0.5143775777855267,0.585633910880025,-0.425924613176479,-0.26059984263968977
2009-11-12,-0.6276364251277726,0.5415173532573191,-0.4338754143251018,-0.23120878227358366
2009-11-19,-0.6829538680163918,0.4965524861078879,-0.5495317254207344,-0.24821872881249363
2009-11-26,-0.6963350499211658,0.48439269742051416,-0.48260133650182835,-0.18125431857408658
2009-12-03,-0.7453229140316768,0.44603605432429133,-0.34620605745057786,-0.18652361073568835
2009-12-10,-0.7933810020430678,0.40566935640803786,-0.3686248387664104,-0.2078408290861451
2009-12-17,-0.6592064117948995,0.4154798282937647,-0.37002268766139873,-0.2675826432962814
2009-12-24,-0.2157743580659643,0.6382371809736949,-0.23835588212412862,-0.4919855806640906
2009-12-31,-0.3382684016417198,0.718257013333265,0.11533316842568339,-0.5607214399382188
2010-01-07,-0.20064967955728044,0.8235789119542123,0.1566042452206107,-0.6289277747264095
2010-01-14,0.5000789209723137,1.0715775150697766,0.4408449919545189,-0.6551253823871128
2010-01-21,0.3161309860799165,1.118223836298482,0.4152789205201319,-0.6869395305703917
2010-01-28,0.11442816648005684,1.1085816577351482,0.33566195900744117,-0.6981744514376176
2010-02-04,0.567755039719895,1.1351909882870883,0.4372656922255247,-0.6534627685638146
2010-02-11,0.9693246493093394,1.3088503119447958,0.42873068584619545,-0.6631953921219684
2010-02-18,1.4241858537162142,1.5689041147165022,0.6831711003994165,-0.6615446666233258
2010-02-25,1.3467291801221568,1.6506492000328885,0.6631430323509782,-0.8248664096170719
2010-03-04,1.3809212695502726,1.690670671021547,0.7456304951804898,-0.7271041451341906
2010-03-11,1.2082814172733674,1.7221412819906332,0.697113537856723,-0.7152171964651327
2010-03-18,0.9988705287883507,1.704465707436927,0.662245563802041,-0.6863850899654429
2010-03-25,1.1948952026533808,1.6800622019154048,0.7385130800373243,-0.5534386188531158
2010-04-01,1.2460859053578346,1.7413653868393206,0.8626283077152422,-0.5934657561689771
2010-04-08,0.9646289118654868,1.757857359043692,0.7805091685034059,-0.6010061410446955
2010-04-15,0.7225747435476911,1.6804373355840667,0.6065414339763773,-0.5496246309059803
2010-04-22,0.5272303953862775,1.583022640458064,0.47072133911257463,-0.513801632344708
2010-04-29,0.4930221496011812,1.5261366635014793,0.5602079516233592,-0.48218507345518424
2010-05-06,0.7425311746261034,1.558441036533024,0.8326684024249321,-0.46381897494109714
2010-05-13,0.779065852763079,1.5364708044629536,0.8068159323499101,-0.5094335526518246
2010-05-20,0.4820586086787263,1.4640059714085654,0.5264306323189287,-0.516955098807419
2010-05-27,0.29365900549294977,1.3718479952274412,0.4394452000909826,-0.46396851901256825
2010-06-03,0.10937208496446174,1.2667825750304054,0.2943904532790049,-0.4200028753364419
2010-06-10,0.10508599995931014,1.224408936276743,0.36257118890600054,-0.3888267613840483
2010-06-17,0.09417575880662968,1.2318527530051797,0.37689652504524707,-0.27813630070964174
2010-06-24,-0.18537191955039883,1.1309733333509016,0.10155404937460875,-0.26224144599242505
2010-07-01,-0.3835082510236464,1.007622685474797,-0.10123547569034873,-0.2207971361179607
2010-07-08,-0.5609976912630223,0.9126662747756025,-0.3246303616058481,-0.1445339759501479
2010-07-15,-0.7471856230016714,0.8157239733362652,-0.5575355864098693,-0.10952175767481831
2010-07-22,-0.891007319827025,0.7195648291892867,-0.6720840664295161,-0.011681118513251931
2010-07-29,-0.996039673538322,0.6237431775597688,-0.8476154290900045,0.053957929321787335
2010-08-05,-1.0919220854468659,0.5224047786559536,-0.9779153596042991,0.09882563186330329
2010-08-12,-1.2360879061630778,0.4887284793402521,-1.1373626221351902,0.08240839424383328
2010-08-19,-1.232538031557845,0.42094136224197654,-1.220553883077964,0.12191019505036016
2010-08-26,-1.3077152119203208,0.35745655469514725,-1.2984355518917614,0.11963830891551053
2010-09-02,-1.1754149564707954,0.3797722257970707,-1.287452514768254,0.10688746760926593
2010-09-09,-0.8093056722511853,0.6982290141415778,-1.2490844829260572,-0.2689117860296667
2010-09-16,-0.9131358174336616,0.6403606344160723,-1.240932223768882,-0.3051306546388088
2010-09-23,-0.9441215459947607,0.6023405878953935,-1.1345162764952026,-0.19676642907974018
2010-09-30,-0.8986295572562145,0.5536221379705646,-1.011557067516462,-0.2198722413683059
2010-10-07,-0.6023059492274823,0.5384187430676912,-0.6002745582187115,-0.2923990271882694
2010-10-14,-0.4264949224105409,0.5316118870597418,-0.3218002729115643,-0.279651783271842
2010-10-21,-0.5242210479308306,0.5139599205990497,-0.3009196160865387,-0.27936156152142666
2010-10-28,0.04084954684477314,0.6095484863212525,-0.19633452585679473,-0.3653365124392253
2010-11-04,0.13450679271731106,0.7377119278312911,-0.018210818429454267,-0.48930518470191664
2010-11-11,0.08180266030722819,0.7710043079092126,0.20945116846305764,-0.5374027078216295
2010-11-18,0.30803782667421764,0.9496097491542079,0.327173046008274,-0.599330723324722
2010-11-25,0.28005400756702903,1.0680047331193756,0.4020903584350575,-0.6176976518310718
2010-12-02,0.235710163000168,1.0360991776264437,0.4026708614371999,-0.6077477605669139
2010-12-09,0.1264518126246461,0.9739173013314929,0.41438728827111193,-0.6491259016457691
2010-12-16,0.221774635595762,0.999333823038399,0.44288404744426657,-0.6459911438495335
2010-12-23,1.0788541428667218,1.2653074434425449,0.5903398334118762,-0.7945321625557615
