date_mesure,B,C,A
2005-03-17,-1.6987718117451334,0.14665746108202005,-0.7600690155373986
2005-03-24,-1.545330231854941,0.14739802766838805,-0.7835489187768752
2005-03-31,-1.515296555144549,0.07368680866632699,-0.8114717362809565
2005-04-07,-1.2697103857721688,0.19528878263229243,-0.8115821964028307
2005-04-14,-0.9877636849854794,0.38786133501497183,-0.8228013707263067
2005-04-21,-0.5497976814981166,0.5308705167756327,-0.7195360086298522
2005-04-28,-0.620899572811786,0.39419521303857374,-0.6586636635813553
2005-05-05,-0.5034378651005511,0.27620111600489805,-0.6329714376177648
2005-05-12,-0.570554586518761,0.15592204740984977,-0.6078557537697504
2005-05-19,-0.54163564942922,0.06716882523128903,-0.588313744834836
2005-05-26,-0.6480961632371482,-0.12027101740714685,-0.5806226876242528
2005-06-02,-0.6589903991600271,-0.3131039664442038,-0.6040271263715782
2005-06-09,-0.7331406828314492,-0.48313927398778694,-0.60448124996737
2005-06-16,-0.8444296311022764,-0.696067466808993,-0.6672048048665933
2005-06-23,-0.8218264550739266,-0.9237747850161909,-0.7301637108478318
2005-06-30,-0.6108213002073374,-0.9203939473646082,-0.7337452966997468
2005-07-07,-0.4123656825483462,-0.9156076163073505,-0.7596644767178257
2005-07-14,-0.5117384865557261,-1.1200476114149431,-0.7902611707019347
2005-07-21,-0.40459564274570925,-1.1511470172295872,-0.8223483859275109
2005-07-28,-0.21113674342669708,-1.016337182882291,-0.8173188265936426
2005-08-04,-0.11668145722770729,-0.9980561173653315,-0.8202439760326858
2005-08-11,-0.17145364331757984,-1.1182790507940314,-0.8607146245163196
2005-08-18,0.31872022091772634,-1.1120681078415753,-0.8785357670174666
2005-08-25,0.5754689900596599,-1.1320548123728633,-0.8883606006680491
2005-09-01,0.3424328044603443,-1.281578403122784,-0.9181265207826289
2005-09-08,0.0636643864356834,-1.1278219528109394,-0.9338223005841979
2005-09-15,-0.1870295385638363,-1.0382054889272483,-0.9423671997931553
2005-09-22,-0.5021105047450847,-1.1227918927808926,-0.9701876766047198
2005-09-29,-0.36641943861299864,-1.0480527215176463,-0.9913230069504148
2005-10-06,-0.5105806080802968,-0.9547725599235624,-1.0121293059653325
2005-10-13,-0.7092043864460547,-1.0506910675257057,-1.0510464369674914
2005-10-20,-0.8407689080429779,-1.0629082478600342,-1.0884226985108931
2005-10-27,-0.960812732640078,-1.1213479349357773,-1.1331963171414918
2005-11-03,-1.0339757110439236,-1.0545722245878455,-1.1860855049231587
2005-11-10,-1.1439256657933137,-1.1032023690410733,-1.2540592945950941
2005-11-17,-1.246957989828522,-1.1452213872531591,-1.3130229051771374
2005-11-24,-1.3092022530980336,-1.1335742525137915,-1.3610795273461944
2005-12-01,-1.3989492201994531,-0.9703654338603629,-1.4077447663971432
2005-12-08,-1.5288074450267715,-0.792466169471127,-1.4286498187773917
2005-12-15,-1.6109963437033192,-0.8350371418712496,-1.4939137603576897
2005-12-22,-1.6826267558456522,-0.814931552592694,-1.5384552463029046
2005-12-29,-1.6543133377358283,-0.5891460292022184,-1.580826978084374
2006-01-05,-1.7896497176494135,-0.535253699554212,-1.6043295837590779
2006-01-12,-1.8898986801847335,-0.6344727026878195,-1.649738327632635
2006-01-19,-1.967645190348084,-0.5038755282985358,-1.6756355985904907
2006-01-26,-2.0004828790539597,-0.6107502198347093,-1.7216006995691484
2006-02-02,-2.070817747158064,-0.7048530878680913,-1.782200786933899
2006-02-09,-2.106475664393656,-0.7225561957957916,-1.8149897758304654
2006-02-16,-1.8559707778605032,0.06905231683478152,-1.7428844689227283
2006-02-23,-2.003968356113059,0.12024678102041786,-1.6590396712086644
2006-03-02,-1.7853303134461942,0.43163040602810976,-1.5844030087891132
2006-03-09,-0.975474149219913,1.1912215121727918,-1.1842258706610314
2006-03-16,-1.2275362666595242,0.9737756050143731,-0.9420054029601427
2006-03-23,-0.8077493840353479,1.1215529824358696,-0.8030694140764377
2006-03-30,-0.006789943852280489,1.3421818122517364,-0.6093878787002384
2006-04-06,0.27433902279948097,1.3144709273377315,-0.3985612044704746
2006-04-13,0.476822508498714,1.1203575756052189,-0.1788127416498032
2006-04-20,0.3103673724956304,0.7675903041397314,-0.07460950887894713
2006-04-27,0.11598911158159131,0.5106016595198191,-0.009613931034936074
2006-05-04,-0.08831585227078431,0.30633480223835907,0.02943895760188034
2006-05-11,0.027123328600634933,0.3018532176852393,0.10392542418888853
2006-05-18,0.20509078300274505,0.24049320096472648,0.14628155654236707
2006-05-25,0.34600001034984995,0.2770518690384694,0.15624682835128398
2006-06-01,0.6040850490461644,0.2664594561511999,0.20145124173251416
2006-06-08,0.2487768281246301,-0.07194758038976073,0.20553511689905107
2006-06-15,-0.0735581706811258,-0.33337526077152424,0.19676915495521827
2006-06-22,-0.22930383914783053,-0.5352215628348121,0.1308549530431633
2006-06-29,-0.34140237307072047,-0.7033569065575791,0.05377465504457668
2006-07-06,-0.4693927257555051,-0.8684568662577689,-0.03431085654521904
2006-07-13,-0.6473686511764568,-1.1342992751101346,-0.140559183714403
2006-07-20,-0.8435797816383025,-1.3480916117640565,-0.25521539001852056
2006-07-27,-0.7743608286363498,-1.412832371525537,-0.31309484393999676
2006-08-03,-0.3676164194755705,-1.2922725692582673,-0.281865017266129
2006-08-10,-0.019812011307794974,-1.0270956710495585,-0.26420209748210954
2006-08-17,0.050651071518645785,-0.7349795924948344,-0.18664303815655953
2006-08-24,0.07561459676089644,-0.6686538923909617,-0.16679114446103271
2006-08-31,0.0386381441788195,-0.6732235945394279,-0.16706227717149988
