date_mesure;09892X0679_EXH70;09648X0083_F90-1;10906X0039_C2-1;10964X0119_NYLS-1;09364X0017_111111;08635X0015_LZG211;09914X0391_V1191;10136X0222_C1;10163X0157_F1;10906X0038_C2-2;09653X0244_CH52;09652X0199_COURB2;08614X0010_SCE2;10605X0016_F2;10388X0028_F2;10404X0056_S1003;10402X0133_SRAE13;10897X0010_F3;10915X0316_F3;10915X0255_F2N3;10912X0112_BAR3;10912X0110_TOR3;09405X0229_S3;09907X0321_MLS3;09914X0350_CH14;09646X0074_B4;10916X0061_F1N4;10912X0061_F3N4;10912X0111_BAR4;10396X0162_F5;10403X0154_SRAE16;10403X0314_F136;09897X0081_DDEP6;10405X0124_F17;10157X0104_1777;09145X0257_CNRP88;10153X0069_VLHR8;09134X0245_CNR459;10401X0294_DRN379;09395X0065_NICOLA;10403X0350_PEZENA;10148X0031_POMPA;10401X0128_CLAIRA;10613X0036_INRA;09655X0266_CAISSA;10912X0134_BARQUA;10972X0003_ALENYA;10403X0235_2031B;09382X0052_C;09894X0077_DRAC;08626X0014_BERNAD;10403X0216_SAUZED;09648X0082_UCHAUD;10616X0029_PRADE;10396X0068_SADE;09912X0278_FORAGE;08627X0059_GAUCHE;09914X0380_TEMPIE;09381X0096_MAIRIE;09914X0370_PERRIE;10406X0060_DRILLE;09388X0111_OULE;10916X0090_PHARE;09913X0158_AIRE;09124X0293_SISE;10795X0028_CARSTE;09805X0030_F;09911X0280_F;08807X0011_F;09903X0111_F;09541X0021_F;09908X0351_F;09824X0002_F;09526X0212_F;09546X0022_F;09523X0032_F;09793X0003_F;08323X0205_F;08811X0055_F;09533X0016_F;10072X0026_F;08565X0007_F;10603X0027_F;09395X0067_F;10384X0048_F;10407X0071_GOLF;09128X0053_CAL;09905X0064_CMBSAL;10903X0034_PZSTGL;09656X0175_RODIL;10406X0077_ASL;09125X0083_HBCM;09917X0192_P5CEHM;09888X0111_LACAN;09388X0114_MAISON;09912X0254_BRUN;10782X0008_COUMBO;08627X0010_SO;09911X0303_BRES-P;09655X0107_P;10592X0012_AEP;09916X0098_LANSAR;10908X0263_FIGUER;BSS002PTEJ_MONTFR;10402X0046_BOUR;09911X0302_BRES-S;09894X0005_S;08854X0015_S;09651X0009_S;08854X0040_FREBAS;09888X0094_JONCAS;10405X0171_VALRAS;09628X0043_BUEGES;09915X0181_AUNES;09911X0317_P3BIS;09655X0265_CLOS;09914X0284_FAGET;09634X0074_CLARET;10972X0137_PONT;09388X0052_VIGNOT;10154X0076_MAMERT;09882X0208_FONCAU;09908X0174_MASJAU;10963X0059_MEDALU;09645X0025_PEILOU;10162X0226_V;09625X0231_LADOUX
2009-10-22;-29.83857142857143;-16.124285714285715;-3.184285714285714;-15.311428571428573;0.2;0.11;-3.7228571428571433;-24.71;-3.724285714285714;-4.888571428571429;-2.2685714285714282;-9.462857142857143;0.24;-23.165714285714284;-10.198571428571428;-6.590000000000001;-3.718571428571429;-79.72428571428573;-10.897142857142857;-5.912857142857143;-3.185714285714286;-2.492857142857143;-17.12142857142857;-12.04857142857143;-4.151428571428571;-9.771428571428572;-2.0657142857142854;-3.2328571428571427;-3.005714285714286;-7.571428571428571;-4.297142857142857;-5.335714285714286;-6.194285714285714;-2.8185714285714285;-5.508571428571429;-5.081428571428572;-4.805714285714286;-4.2457142857142856;-4.002857142857143;-9.328571428571427;-24.017142857142858;-8.407142857142857;-13.714285714285714;-5.644285714285714;-3.3285714285714287;-1.2666666666666666;-3.531428571428571;-4.597142857142857;-4.658571428571428;-12.791047619047621;0.32;-4.505714285714285;-2.512857142857143;-0.7857142857142857;-10.405714285714286;-4.6000000000000005;0.12571428571428572;-5.162857142857143;-10.226;-5.348571428571428;-3.7214285714285715;-41.11714285714286;-2.6042857142857145;-5.691428571428572;-7.304285714285714;-12.492857142857144;-3.9357142857142855;-25.96857142857143;1.1928571428571428;-77.20857142857143;-90.44285714285715;-18.49857142857143;-36.61571428571428;-23.842857142857145;-16.818571428571428;-2.6514285714285717;-3.87;-25.577142857142857;-33.05285714285714;-127.446;-60.02428571428572;-21.747142857142855;-5.2942857142857145;-44.02285714285714;-16.28;-2.277142857142857;-17.05;-44.94857142857143;-15.76;-2.5;-3.6685714285714286;-13.565714285714288;-2.2114285714285713;-145.7057142857143;-48.85857142857143;-10.47;-10.354285714285714;0.2571428571428572;-5.147142857142858;-3.0799999999999996;-5.591428571428572;-4.761428571428572;-7.314285714285715;-7.871428571428572;-3.65;-5.258571428571429;-11.571428571428571;0.2414285714285714;-3.0342857142857143;0.24428571428571427;0.13;-6.3500000000000005;-1.26;-5.444285714285714;-28.903333333333332;-2.54;-4.46;-55.38285714285714;-7.297142857142857;-6.5371428571428565;-32.747142857142855;0.4741666666666666;-8.34;-51.208571428571425;-20.562857142857144;-32.05;0.5033333333333333
2009-10-29;-29.96857142857143;-16.754285714285714;-3.3428571428571425;-15.262857142857143;0.2;0.11;-3.712857142857143;-24.61285714285714;-3.9642857142857144;-4.988571428571428;-2.23;-9.448571428571428;0.23857142857142857;-22.284285714285716;-10.212857142857144;-6.4471428571428575;-3.5242857142857145;-79.76;-10.884285714285713;-5.912857142857143;-3.1028571428571428;-2.4442857142857144;-17.325714285714287;-12.25;-4.192857142857143;-9.709999999999999;-2.04;-3.1042857142857145;-2.922857142857143;-7.528571428571429;-4.29;-5.575714285714286;-6.264285714285714;-2.7985714285714285;-5.677142857142857;-5.085714285714286;-4.687142857142858;-4.227142857142858;-3.822857142857143;-9.571428571428571;-24.05;-8.48;-13.601428571428572;-5.652857142857143;-3.3099999999999996;-1.2971428571428572;-3.511428571428571;-4.811428571428571;-4.6899999999999995;-11.176666666666668;0.31428571428571433;-4.637142857142857;-2.5014285714285713;-0.7828571428571429;-10.437142857142858;-4.718571428571429;0.11571428571428573;-5.085714285714286;-10.226500000000001;-5.327142857142857;-3.3871428571428575;-41.61;-2.5628571428571427;-5.660000000000001;-7.467142857142858;-12.502857142857142;-4.152857142857143;-25.367142857142856;0.8914285714285715;-88.51857142857143;-90.44714285714285;-18.375714285714285;-36.61857142857143;-23.84;-16.857142857142858;-2.65;-3.89;-25.578571428571426;-32.862857142857145;-127.172;-60.035714285714285;-21.724285714285713;-5.340000000000001;-46.541428571428575;-16.285714285714285;-2.1542857142857144;-17.075714285714287;-45.19428571428572;-16.30857142857143;-2.66;-3.1057142857142854;-15.865714285714287;-2.2014285714285715;-145.86285714285714;-52.535714285714285;-10.504285714285714;-10.415714285714285;0.2557142857142857;-5.052857142857143;-3.0985714285714283;-5.578571428571428;-4.797142857142857;-7.231428571428571;-8.01142857142857;-3.2600000000000002;-5.162857142857143;-11.714285714285714;0.24714285714285714;-3.04;0.24285714285714285;0.13;-5.948571428571428;-1.75;-5.43;-28.9;-2.674285714285714;-4.434285714285714;-66.89285714285714;-7.24;-6.494285714285715;-32.93142857142857;0.47125;-8.311428571428571;-51.18;-20.24857142857143;-32.68142857142857;0.4985714285714286
2009-11-05;-29.794285714285714;-17.2;-3.4814285714285718;-15.288571428571428;0.2;0.11;-3.7014285714285715;-24.46142857142857;-4.111428571428571;-5.088571428571428;-2.217142857142857;-9.461428571428572;0.2642857142857143;-22.854285714285712;-10.112857142857143;-6.381428571428572;-3.302857142857143;-79.78714285714285;-10.864285714285714;-5.877142857142857;-3.02;-2.3728571428571428;-17.482857142857142;-12.402857142857144;-4.25;-9.685714285714285;-1.98;-2.935714285714286;-2.8299999999999996;-7.515714285714286;-4.267142857142857;-5.591428571428572;-6.332857142857143;-2.78;-5.774285714285715;-5.089999999999999;-4.861428571428571;-4.217142857142857;-3.724285714285714;-9.968571428571428;-24.034285714285716;-8.435714285714285;-13.497142857142858;-5.668571428571428;-3.2971428571428567;-1.3342857142857143;-3.5042857142857144;-4.824285714285715;-4.717142857142858;-13.647142857142857;0.33571428571428574;-4.635714285714285;-2.54;-0.7685714285714286;-10.302857142857144;-4.845714285714286;0.16999999999999998;-5.061428571428571;-10.227;-5.3028571428571425;-3.0485714285714285;-40.65428571428571;-2.5214285714285714;-5.687142857142858;-7.524285714285715;-12.517142857142858;-3.3600000000000003;-24.754285714285714;0.7642857142857142;-96.48571428571428;-90.41;-18.414285714285715;-36.57714285714286;-23.82857142857143;-16.87142857142857;-2.65;-3.1614285714285715;-25.562857142857144;-31.67285714285714;-126.898;-59.99;-21.047142857142855;-5.398571428571429;-46.37428571428571;-16.248571428571427;-1.9928571428571427;-17.627142857142857;-45.44428571428572;-19.407142857142855;-2.682857142857143;-2.4699999999999998;-16.25;-2.1885714285714286;-145.80714285714285;-52.81428571428571;-10.682857142857143;-10.35142857142857;0.2842857142857143;-5.0842857142857145;-3.085714285714286;-5.565714285714286;-4.811428571428571;-7.145714285714286;-8.040000000000001;-2.8042857142857143;-5.191428571428572;-11.874285714285715;0.25857142857142856;-3.0414285714285714;0.37;0.13;-5.538571428571428;-1.7857142857142858;-5.451428571428571;-28.996;-2.73;-4.464285714285714;-75.8;-7.182857142857143;-6.514285714285714;-33.03285714285715;0.4683333333333333;-8.311428571428573;-51.19857142857143;-20.524285714285718;-32.97857142857143;0.5057142857142857
2009-11-12;-29.56;-17.467142857142857;-3.6571428571428575;-15.307142857142859;0.2;0.11;-3.697142857142857;-24.49142857142857;-4.218571428571429;-5.215714285714285;-2.204285714285714;-9.517142857142858;0.2557142857142857;-23.467142857142857;-10.057142857142859;-6.3914285714285715;-3.15;-79.84285714285714;-10.877142857142857;-5.8342857142857145;-2.9257142857142857;-2.327142857142857;-17.922857142857143;-12.538571428571428;-4.3342857142857145;-9.76142857142857;-1.94;-2.7714285714285714;-2.7157142857142857;-7.505714285714285;-4.258571428571428;-5.604285714285714;-6.381428571428572;-2.775714285714286;-5.824285714285714;-5.097142857142857;-5.0200000000000005;-4.215714285714285;-3.5828571428571427;-10.532857142857143;-24.014285714285712;-8.427142857142856;-13.445714285714287;-5.668571428571428;-3.3242857142857143;-1.34;-3.505714285714286;-4.837142857142857;-4.741666666666667;-15.77;0.33;-4.631428571428572;-2.605714285714286;-0.7628571428571428;-10.257142857142856;-4.925714285714286;0.15285714285714286;-5.0842857142857145;-10.227500000000001;-5.324285714285715;-2.8414285714285716;-38.95285714285715;-2.4785714285714286;-5.757142857142857;-7.561428571428571;-12.547142857142857;-2.567142857142857;-24.384285714285713;0.8985714285714286;-101.20142857142856;-90.43142857142857;-18.41142857142857;-36.60857142857143;-23.798571428571428;-16.837142857142858;-2.6385714285714283;-2.948571428571429;-25.554285714285715;-32.355714285714285;-126.624;-59.99714285714286;-21.24142857142857;-5.451428571428571;-45.14857142857143;-16.19142857142857;-1.8285714285714287;-18.32857142857143;-45.70428571428572;-19.72;-2.692857142857143;-2.184285714285714;-18.242857142857144;-2.19;-145.8557142857143;-51.38285714285714;-10.811428571428573;-10.428571428571429;0.27;-5.194285714285714;-3.1;-5.568571428571429;-4.82;-7.045714285714285;-8.057142857142859;-2.5171428571428573;-5.306;-12.032857142857143;0.24857142857142858;-3.0528571428571425;0.2557142857142857;0.13;-5.208571428571429;-1.8471428571428572;-5.485714285714286;-29.092;-2.762857142857143;-4.51;-80.37285714285714;-7.135714285714286;-6.555714285714286;-33.294285714285714;0.4657142857142857;-8.335714285714285;-51.31285714285714;-20.857142857142858;-33.20857142857143;0.4942857142857143
2009-11-19;-29.762857142857143;-17.662857142857142;-3.814285714285714;-15.29857142857143;0.2;0.11;-3.685714285714286;-24.56;-4.283492063492064;-5.3428571428571425;-2.205714285714286;-9.58;0.24857142857142858;-23.97714285714286;-10.051428571428572;-6.368571428571428;-3.04;-79.89857142857143;-10.792857142857143;-5.7942857142857145;-2.9057142857142857;-2.28;-18.407142857142855;-12.620000000000001;-4.4071428571428575;-9.795714285714284;-1.9157142857142857;-2.5885714285714285;-2.672857142857143;-7.472857142857143;-4.241428571428572;-5.618571428571428;-6.4157142857142855;-2.77;-5.847142857142857;-5.107142857142857;-5.131428571428572;-4.201428571428571;-3.474285714285714;-10.807142857142859;-23.958571428571428;-8.44142857142857;-13.397142857142857;-5.6657142857142855;-3.3242857142857143;-1.3014285714285714;-3.5100000000000002;-4.85;-4.75;-16.59;0.32;-4.624285714285714;-2.642857142857143;-0.7585714285714287;-10.267142857142858;-5.01;0.13285714285714287;-5.081428571428572;-10.228000000000002;-5.337142857142857;-2.692857142857143;-38.26571428571429;-2.4657142857142857;-5.784285714285715;-7.561428571428571;-12.575714285714286;-4.255714285714285;-24.37;1.237142857142857;-104.94285714285715;-90.49;-18.428571428571427;-36.67;-23.794285714285714;-16.84714285714286;-2.65;-3.5214285714285714;-25.56;-32.75;-126.35;-60.048571428571435;-21.424285714285713;-5.512857142857143;-44.135714285714286;-16.14857142857143;-1.7257142857142858;-18.874285714285715;-45.98142857142857;-19.72;-2.665714285714286;-2.144285714285714;-18.47;-2.1757142857142857;-146.0442857142857;-49.90857142857143;-10.91;-10.327142857142858;0.26;-5.22;-3.084285714285714;-5.56;-4.822857142857143;-6.984285714285714;-8.07;-2.3099999999999996;-5.401428571428572;-12.180000000000001;0.24428571428571427;-3.0528571428571425;0.25;0.13;-4.957142857142857;-1.9442857142857142;-5.5128571428571425;-29.188;-2.775714285714286;-4.537142857142857;-83.46857142857142;-7.088571428571428;-6.589999999999999;-33.53285714285715;0.4642857142857143;-8.344285714285714;-51.37428571428571;-21.22;-33.37;0.48142857142857143
2009-11-26;-28.987142857142857;-17.81142857142857;-3.8557142857142854;-15.285714285714286;0.2;0.11;-3.672857142857143;-24.555;-4.348412698412698;-5.448571428571428;-2.1957142857142857;-9.615714285714287;0.25;-26.592857142857145;-10.171428571428573;-6.295714285714285;-2.9200000000000004;-79.86857142857143;-10.642857142857142;-5.788571428571428;-2.8085714285714287;-2.1671428571428573;-18.801428571428573;-12.678571428571429;-4.468571428571429;-9.787142857142857;-1.8771428571428572;-2.415714285714286;-2.434285714285714;-7.521428571428571;-4.194285714285714;-5.615714285714286;-6.442857142857143;-2.7457142857142856;-5.851428571428571;-5.111428571428571;-5.118571428571428;-4.19;-3.358571428571429;-11.031428571428572;-23.944285714285716;-8.441428571428572;-13.307142857142855;-5.671428571428572;-3.3385714285714285;-1.3314285714285714;-3.4842857142857144;-4.845714285714286;-4.761428571428572;-17.41;0.32571428571428573;-4.598571428571428;-2.6885714285714286;-0.7442857142857143;-10.397142857142857;-5.064285714285715;0.14285714285714285;-5.078571428571428;-10.2285;-5.351428571428571;-2.457142857142857;-37.857142857142854;-2.4971428571428573;-5.782857142857142;-7.557142857142857;-12.598571428571429;-3.71;-24.20285714285714;1.6971428571428573;-105.74857142857142;-90.4342857142857;-18.375714285714285;-36.604285714285716;-23.78;-16.872857142857143;-2.6571428571428575;-3.507142857142857;-25.56;-32.71714285714285;-124.85666666666667;-60.00142857142857;-21.31714285714286;-5.5600000000000005;-43.395714285714284;-16.142857142857142;-1.58;-19.204285714285714;-46.228571428571435;-19.72;-2.6242857142857146;-1.967142857142857;-18.087142857142858;-2.1571428571428575;-146.2;-48.63857142857143;-10.93;-10.34;0.26571428571428574;-5.22;-3.0599999999999996;-5.56;-4.827142857142857;-6.935714285714285;-8.06857142857143;-1.957142857142857;-5.507142857142857;-12.321428571428571;0.25285714285714284;-3.05;0.25;0.13;-4.668571428571428;-1.9614285714285715;-5.532857142857144;-29.284;-2.781428571428571;-4.54;-85.64285714285714;-7.04;-6.611428571428571;-33.61857142857143;0.46;-8.322857142857144;-51.298571428571435;-21.367142857142856;-33.505714285714284;0.4857142857142857
2009-12-03;-29.62857142857143;-17.935714285714287;-3.9057142857142857;-15.322857142857144;0.2;0.11;-3.665714285714286;-24.55;-4.413333333333333;-5.515714285714286;-2.2014285714285715;-9.65;0.25142857142857145;-23.75142857142857;-10.074285714285713;-6.2942857142857145;-2.814285714285714;-79.92714285714285;-10.518571428571429;-5.792857142857143;-2.738571428571429;-2.1357142857142857;-19.247142857142855;-12.74;-4.514285714285714;-9.831428571428571;-1.8857142857142857;-2.224285714285714;-2.3842857142857143;-7.492857142857143;-4.182857142857143;-5.617142857142857;-6.461428571428571;-2.7399999999999998;-5.854285714285714;-5.12;-5.202857142857143;-4.185714285714286;-3.2342857142857144;-11.125714285714285;-23.92571428571429;-8.46;-13.265714285714285;-5.681428571428571;-3.327142857142857;-1.3342857142857143;-3.435714285714286;-4.848571428571428;-4.7700000000000005;-18.23;0.33;-4.578571428571428;-2.717142857142857;-0.7428571428571429;-10.290000000000001;-5.018571428571428;0.14285714285714285;-5.087142857142857;-10.229000000000001;-5.368571428571428;-2.2514285714285713;-37.61857142857143;-2.5357142857142856;-5.778571428571429;-7.562857142857142;-12.618571428571428;-3.8271428571428574;-24.40285714285714;2.0757142857142856;-105.76285714285714;-90.46285714285715;-18.41;-36.63857142857143;-23.777142857142856;-16.81;-2.6228571428571428;-3.0228571428571427;-25.55857142857143;-31.830000000000002;-123.36333333333333;-60.00142857142857;-20.89428571428571;-5.601428571428571;-42.871428571428574;-16.148571428571426;-1.4928571428571427;-19.134285714285713;-46.48857142857143;-19.72;-2.6057142857142854;-1.6585714285714286;-18.458571428571428;-2.1514285714285717;-146.39857142857142;-47.93571428571429;-11.045;-10.327142857142858;0.26142857142857145;-5.275714285714286;-3.05;-5.554285714285713;-4.828571428571428;-6.991428571428571;-8.08;-1.7457142857142858;-5.588571428571428;-12.455714285714285;0.27142857142857146;-3.072857142857143;0.25;0.13;-4.428571428571429;-1.9985714285714287;-5.557142857142857;-29.38;-2.7914285714285714;-4.57;-87.10571428571428;-7.007142857142857;-6.62;-33.83142857142857;0.4585714285714286;-8.342857142857143;-51.42285714285714;-21.664285714285715;-33.50571428571429;0.47714285714285715
2009-12-10;-29.307142857142857;-18.122857142857143;-4.204285714285715;-15.305714285714286;0.2;0.11;-3.6571428571428575;-24.544999999999998;-4.444285714285714;-5.667142857142857;-2.2114285714285713;-9.688571428571427;0.26;-23.035714285714285;-10.084285714285715;-6.268571428571428;-2.718571428571429;-79.94571428571429;-10.528571428571428;-5.7871428571428565;-2.7085714285714286;-2.1142857142857143;-19.708571428571428;-12.79857142857143;-4.602857142857142;-9.874285714285715;-1.912857142857143;-2.084285714285714;-2.3528571428571428;-7.4157142857142855;-4.161428571428572;-5.618571428571428;-6.485714285714287;-2.735714285714286;-5.87;-5.13;-5.257142857142857;-4.1571428571428575;-3.2657142857142856;-11.228571428571428;-23.927142857142858;-8.485;-13.219999999999999;-5.685714285714285;-3.345714285714286;-1.3457142857142856;-3.4728571428571433;-4.8500000000000005;-4.771428571428571;-19.05;0.33;-4.552857142857143;-2.7842857142857143;-0.7271428571428571;-10.299999999999999;-5.04;0.15142857142857144;-5.085714285714286;-10.2295;-5.4;-2.04;-37.371428571428574;-2.412857142857143;-5.78;-7.591428571428572;-12.634285714285713;-3.9442857142857144;-24.475714285714286;2.6385714285714283;-105.77;-90.47571428571429;-18.38;-36.64;-23.75;-16.69;-2.64;-3.488571428571429;-25.552857142857142;-32.25142857142857;-121.87;-60.01;-20.942857142857143;-5.625714285714286;-42.728571428571435;-16.1;-1.3957142857142857;-19.07;-46.73142857142857;-19.717142857142854;-2.6128571428571425;-1.522857142857143;-18.935714285714287;-2.14;-146.58142857142857;-47.92857142857143;-11.16;-10.467142857142857;0.27142857142857146;-5.384285714285714;-3.044285714285714;-5.565714285714286;-4.822857142857144;-6.977142857142858;-8.088571428571429;-1.6500000000000001;-5.691428571428572;-12.577142857142857;0.2557142857142857;-3.0914285714285716;0.25;0.13;-4.372857142857143;-2.0185714285714282;-5.58;-29.25;-2.8057142857142856;-4.587142857142857;-88.63571428571429;-6.97;-6.63;-33.99;0.45285714285714285;-8.334285714285715;-51.434285714285714;-21.934285714285714;-33.52285714285714;0.47714285714285715
2009-12-17;-29.927142857142858;-18.07;-4.421428571428572;-15.287142857142857;0.2;0.11;-3.63;-24.54;-4.454285714285715;-5.8500000000000005;-2.162857142857143;-9.69;0.25285714285714284;-23.884285714285713;-10.157142857142857;-6.24;-2.617142857142857;-79.95142857142856;-10.508571428571429;-5.804285714285714;-2.6571428571428575;-2.017142857142857;-19.717142857142857;-12.817142857142857;-4.6499999999999995;-9.942857142857141;-2.004285714285714;-1.9014285714285715;-2.25;-7.457142857142857;-4.128571428571428;-5.618571428571428;-6.498571428571429;-2.774285714285714;-5.885714285714286;-5.14;-5.265714285714286;-4.148571428571429;-2.967142857142857;-10.888571428571428;-23.877142857142854;-8.51;-13.147142857142857;-5.6657142857142855;-3.3000000000000003;-1.3071428571428572;-3.482;-4.845714285714286;-4.7700000000000005;-19.01142857142857;0.33;-4.521428571428571;-2.7271428571428573;-0.7342857142857142;-10.352857142857143;-5.002857142857143;0.16;-5.088571428571428;-10.23;-5.412857142857143;-1.84;-37.715714285714284;-2.257142857142857;-5.71;-7.574285714285714;-12.64857142857143;-4.631428571428572;-24.82857142857143;3.108571428571428;-105.75428571428571;-90.4057142857143;-18.434285714285714;-36.56285714285714;-23.728571428571428;-16.63142857142857;-2.642857142857143;-3.6385714285714283;-25.55857142857143;-32.58142857142857;-122.33;-59.987142857142864;-20.96;-5.578571428571428;-42.20428571428572;-16.062857142857144;-1.2428571428571427;-18.44142857142857;-46.99285714285714;-17.55928571428571;-2.4971428571428573;-1.2814285714285716;-18.284285714285716;-2.11;-146.77428571428572;-46.60142857142857;-11.04857142857143;-10.902857142857142;0.2742857142857143;-5.412857142857143;-2.947142857142857;-5.582857142857143;-4.798571428571429;-6.985714285714286;-8.045714285714286;-1.4385714285714286;-5.722857142857143;-12.68857142857143;0.25;-2.891428571428572;0.24;0.13;-3.9414285714285713;-1.9785714285714284;-5.598571428571428;-29.119999999999997;-2.692857142857143;-4.591428571428572;-86.15857142857143;-6.932857142857143;-6.637142857142857;-34.067142857142855;0.4442857142857143;-8.317142857142857;-51.40714285714286;-22.150000000000002;-33.85142857142857;0.47428571428571425
2009-12-24;-29.467142857142857;-16.854285714285712;-4.427142857142857;-15.308571428571428;0.2;0.11;-3.5728571428571425;-24.535;-4.394285714285714;-5.904285714285714;-1.6471428571428572;-9.324285714285713;0.2814285714285714;-27.75;-10.231428571428571;-6.201428571428571;-2.5342857142857143;-79.98857142857142;-10.592857142857143;-5.785714285714286;-2.4757142857142855;-1.912857142857143;-16.307142857142857;-12.745714285714286;-4.64;-9.832857142857142;-1.967142857142857;-1.6814285714285713;-2.1557142857142857;-7.47;-4.094285714285714;-5.54;-6.517142857142857;-2.8128571428571427;-5.837142857142857;-5.108333333333333;-5.258571428571429;-4.077142857142857;-2.814285714285714;-8.84142857142857;-23.72;-8.501428571428571;-13.09;-5.582857142857143;-3.0542857142857143;-1.23;-3.476;-4.774285714285715;-4.595714285714286;-13.510000000000002;0.33142857142857146;-4.45;-2.21;-0.7214285714285714;-10.382857142857144;-4.925714285714286;0.18285714285714286;-5.0200000000000005;-10.132857142857144;-5.4071428571428575;-1.697142857142857;-43.08;-2.162857142857143;-5.637142857142857;-6.982857142857143;-12.65;-3.687142857142857;-24.837142857142855;3.5042857142857144;-95.75285714285714;-90.39857142857143;-18.389999999999997;-36.56857142857143;-23.72;-16.657142857142855;-2.64;-3.66;-25.56142857142857;-32.574285714285715;-122.79;-59.934285714285714;-21.092857142857145;-5.4957142857142856;-47.39857142857143;-16.034285714285716;-1.1414285714285715;-13.025714285714287;-47.24571428571429;-15.401428571428568;-2.295714285714286;-1.1157142857142859;-13.335714285714285;-2.065714285714286;-146.95285714285714;-53.14142857142857;-10.665714285714285;-10.685714285714285;0.2914285714285714;-5.3;-2.6371428571428575;-5.582857142857143;-4.747142857142857;-6.941428571428572;-7.547142857142857;-1.2657142857142856;-5.604285714285714;-12.787142857142857;0.2542857142857143;-2.9450000000000003;0.24428571428571427;0.13;-3.7057142857142855;-1.707142857142857;-5.598571428571428;-28.99;-2.4257142857142857;-4.562857142857142;-46.957142857142856;-6.901428571428572;-6.398571428571429;-34.28142857142857;0.4442857142857143;-8.32;-51.50142857142857;-22.14428571428571;-33.91857142857143;0.48714285714285716
