date_mesure,D,A,B,C
2010-01-21,-0.8259645139834009,0.5633441205045066,-0.40640122976169507,-0.681101896089406
2010-01-28,-0.7616843390463247,0.628984946692582,-0.4145766213352402,-0.6122260762529849
2010-02-04,-0.6896056784294504,0.8412088267837124,-0.3981108210342881,-0.47020195525652886
2010-02-11,-0.6202886192380899,0.8202089391530604,-0.39362970891405086,-0.34410066090450564
2010-02-18,-0.5400900793830054,0.8284706276045875,-0.3829741844793183,-0.2537709415290781
2010-02-25,-0.42606649056666096,1.079634834301195,-0.33563737199532034,-0.08712126126350253
2010-03-04,-0.3285666016921466,1.1832165087321405,-0.2753597472415106,0.11405918798990272
2010-03-11,-0.2453704054461113,1.077530760623126,-0.22464886844433238,0.22462235031137545
2010-03-18,-0.14959476091279117,0.9870098104455041,-0.18457484175951744,0.3013954285778024
2010-03-25,-0.07120452206439104,0.9349065976585068,-0.13569324231759394,0.3658297521396597
2010-04-01,0.02427558098777266,0.9686810499569871,-0.09934620724872034,0.4147720961971019
2010-04-08,0.0913151946598601,0.867354094963162,-0.091685514973537,0.44266980213658425
2010-04-15,0.13159663313969527,0.7368071230790207,-0.06134551247141884,0.44078542959511546
2010-04-22,0.16004492868573658,0.6062113348721324,-0.06046896746069258,0.41104265455232003
2010-04-29,0.19028721776000457,0.5041209008295802,-0.04941436351687517,0.3866132122138689
2010-05-06,0.21822786313575612,0.42329879566661666,-0.05598281717791809,0.3554846607385159
2010-05-13,0.20781251107183954,0.30933615019774063,-0.07579939285257306,0.29613810170926214
2010-05-20,0.1775348281457082,0.1897361775798408,-0.12132904861827068,0.2183116713753476
2010-05-27,0.1568270027855994,0.1276956633698445,-0.121685077765433,0.15681033625820237
2010-06-03,0.15887946503528388,0.025103227326864742,-0.1748641854003712,0.0762205013808945
2010-06-10,0.14726869736255144,-0.053310494341353695,-0.16212129966021113,0.025190192272897573
2010-06-17,0.09195893728271981,-0.18856666345383524,-0.212337278529076,-0.0546132891217543
2010-06-24,0.0207213929874481,-0.34056621979626056,-0.33025527713743863,-0.16679058776529718
2010-07-01,-0.06313906432411667,-0.4512640718831189,-0.4306757456135434,-0.2759609805103844
2010-07-08,-0.1269597385673492,-0.5539605404547016,-0.5247847468173851,-0.3380977680923172
2010-07-15,-0.18564880921144167,-0.6046750728170671,-0.5512022828381985,-0.4041140062590713
2010-07-22,-0.23127627503131454,-0.7059741007079434,-0.5966968594547104,-0.515169708406873
2010-07-29,-0.30470959532630665,-0.8013795903507744,-0.6564903072826782,-0.5930927314448787
2010-08-05,-0.37725612869368497,-0.8586522880704726,-0.7213142874143678,-0.6745515734255704
2010-08-12,-0.41912035739781567,-0.7928520512799138,-0.7102347459416312,-0.6846616285280779
2010-08-19,-0.45722148855064143,-0.5963523901322945,-0.6864900466982718,-0.6664142651284072
2010-08-26,-0.5145617990473418,-0.5661434990918227,-0.6790961509240594,-0.687902837483772
2010-09-02,-0.5658247580400846,-0.6227904265011742,-0.6442193761400801,-0.7411421256584433
2010-09-09,-0.6103449980857929,-0.5601290212048301,-0.6448483970722283,-0.7392785897970124
2010-09-16,-0.664915022278904,-0.6374901608248961,-0.6536184523537406,-0.7676559043938913
2010-09-23,-0.7140027925182532,-0.6712302956997954,-0.6263807313313386,-0.7959312136596737
2010-09-30,-0.7523683691722264,-0.5995674665927493,-0.6167397165601165,-0.7989282298408665
2010-10-07,-0.8189043330289717,-0.6384299875406152,-0.6288044957853854,-0.8321971601270924
2010-10-14,-0.8864046836316712,-0.7021713184674427,-0.6349956038096538,-0.8813382412814834
2010-10-21,-0.9277616531836814,-0.735054441475022,-0.6633362266714218,-0.9130580586126312
2010-10-28,-0.9664984545246988,-0.7189537487345664,-0.6649445496938677,-0.9354931382462113
2010-11-04,-1.003868544378644,-0.6798106150963907,-0.6792535957515815,-0.9608079215642256
2010-11-11,-0.9718934867246458,-0.10706334654391947,-0.6325006695835927,-0.8456878045880549
2010-11-18,-0.97444725906717,0.13416160934111676,-0.6115424631964435,-0.7325993985921987
2010-11-25,-1.0105028671238512,0.06961016561827016,-0.5974618042142148,-0.7179354722492145
2010-12-02,-1.0302532403880504,0.05086362855301274,-0.6127096537248461,-0.7168579984526166
2010-12-09,-1.0844077637744751,0.12037399704460039,-0.625521373904529,-0.7140162437564566
2010-12-16,-1.0908431086500818,0.19727397985235384,-0.6288305210017416,-0.67915173724366
2010-12-23,-1.1153300540511255,0.32101611657339835,-0.6111943801747732,-0.6480317220558113
2010-12-30,-1.1379258213483683,0.4008535809148166,-0.6093577767183472,-0.5939137857842927
2011-01-06,-1.072191083358639,0.6490828303918046,-0.5051726176496636,-0.2951035410524967
2011-01-13,-1.0059324662391342,1.0740475510591077,-0.4042424641219131,-0.014582291066329162
2011-01-20,-0.9635143325496418,1.146628128427323,-0.32174809959574,0.15805864507140727
2011-01-27,-0.8726101174023516,1.0642351359164235,-0.2403315371742478,0.27846200381461245
2011-02-03,-0.7890643028148966,0.9592957470435941,-0.18735015151749052,0.35699096050133605
2011-02-10,-0.7275369993720231,0.852696557122225,-0.1282028600497999,0.4317261353545935
2011-02-17,-0.6670639637538945,0.7637467690245476,-0.10351552376543155,0.44860093057554284
2011-02-24,-0.6444358878262934,0.7716059786874905,-0.08457632463204665,0.46315438176527945
2011-03-03,-0.6318913159070005,0.7248131836139771,-0.072514532651479,0.480282953443151
2011-03-10,-0.5972219085181614,0.6186854515314593,-0.035138876484582415,0.48903229694974226
2011-03-17,-0.620275561033945,0.5301952164558996,-0.03969895116549246,0.45671446493767026
2011-03-24,-0.6154351256751898,0.4425531287790855,-0.028803011780076077,0.4382712286929628
2011-03-31,-0.6105127201839036,0.38207920026174447,-0.027077222889238722,0.40816928786503115
2011-04-07,-0.6350777674405775,0.29440838942403863,-0.03706997013733575,0.3610067998490967
2011-04-14,-0.6506696192922186,0.19983580516272545,-0.04409471025193902,0.3077821566103223
2011-04-21,-0.6649971265302057,0.08199352201839526,-0.07245653551193608,0.23615120266270362
2011-04-28,-0.6661143640768344,0.004843486590870236,-0.09231388603117094,0.21082468866825083
2011-05-05,-0.7172543725594408,-0.10927016671541659,-0.12835706585941475,0.13728024433713928
2011-05-12,-0.785122160654822,-0.2392465985197915,-0.21433751809586604,0.02926708301042047
2011-05-19,-0.8286292846181165,-0.3605341178166455,-0.2866177925028447,-0.08262428371096175
2011-05-26,-0.8799731467438179,-0.47086926610572144,-0.3600339459760298,-0.19415843816388562
2011-06-02,-0.949333500192433,-0.5387118399869992,-0.4426564080453023,-0.27057814562452803
2011-06-09,-1.0004089203481743,-0.6138066259273011,-0.4938779452613049,-0.3308580107303114
2011-06-16,-1.053774381119257,-0.6612622005353421,-0.5244816065112389,-0.4046880323715391
2011-06-23,-1.1161551228456683,-0.6922384247240381,-0.547021327076874,-0.47016015367526065
2011-06-30,-1.2000734726404325,-0.7756502697487628,-0.6396410671388318,-0.5473413205058509
2011-07-07,-1.3010104070115855,-0.8640713477385019,-0.7123847851073546,-0.6381923126487318
2011-07-14,-1.3445389523115754,-0.9076379528719987,-0.7466553959176015,-0.694460392991033
